Term	Adjusted P-value
GO:1990837	2.3270195216071027e-06
GO:0043565	1.0395366733515115e-05
GO:0003690	1.5191070368231118e-05
GO:0000987	7.635621436600478e-05
GO:0000978	7.635621436600478e-05
GO:0048407	8.083076284062268e-05
GO:0000977	8.27721534643687e-05
GO:0004714	0.000360730716893278
GO:0000976	0.0015277637925178
GO:0005161	0.0075812170735031
GO:0001228	0.008347081513966
GO:0016004	0.0099808831544894
GO:0140297	0.0294358687219385
GO:0004713	0.0375138454506784
GO:0001221	0.0375138454506784
GO:0019199	0.0451161729828687
