Term	Adjusted P-value
GO:1990837	0.00031640218743120535
GO:0043565	0.00031640218743120535
GO:0000977	0.00031640218743120535
GO:0003690	0.0003711365618249641
GO:0000987	0.0016439495838481
GO:0000978	0.0016647728953713
GO:0002151	0.0061394797104602
GO:0048018	0.014081014266816
GO:0005324	0.0174586155754636
GO:0015245	0.0195574813196423
GO:0000976	0.0195574813196423
GO:0019888	0.0373742375980869
GO:0001972	0.0381889181740654
GO:0005104	0.0418290284967683
GO:0008327	0.0496296862113089
GO:0008083	0.0496296862113089
