Term,Adjusted P-value
GO:0045892,2.5873299868461457e-10
GO:0000122,2.5873299868461457e-10
GO:0006357,1.3223046794033096e-09
GO:0007507,1.089005980252306e-07
GO:0043565,3.109537717192432e-07
GO:1990837,9.82826628296401e-07
GO:0003690,1.3729839938938168e-06
GO:0000976,1.3729839938938168e-06
GO:0000977,3.928830325557503e-06
GO:0006355,2.8915028540608973e-05
GO:2000050,3.9519869540786114e-05
GO:0007219,4.461499301940121e-05
GO:0072359,4.461499301940121e-05
GO:2000096,4.461499301940121e-05
GO:0007498,5.009446924234888e-05
GO:0030178,6.847772149189409e-05
GO:0060828,6.847772149189409e-05
GO:0030334,6.847772149189409e-05
GO:0045596,7.299343792567979e-05
GO:0001890,7.548325952034339e-05
GO:0045944,8.426826177839359e-05
GO:0045893,8.85388892443942e-05
GO:0048762,9.91915085006515e-05
GO:2000095,0.00011514315900205144
GO:0060070,0.00012864087769483368
GO:0030111,0.00012864087769483368
GO:0010557,0.00018740724271215336
GO:2000052,0.00020278907631153192
GO:0000987,0.00021730948600660023
GO:0000978,0.0002283941993589993
GO:0009968,0.0002353517792835333
GO:0008285,0.00026568525168396435
GO:0010468,0.00026568525168396435
GO:0008284,0.00026568525168396435
GO:0016055,0.00037723492023037617
GO:0045667,0.0006018553980285341
GO:0001501,0.0006844473862326707
GO:0010628,0.0006864669536636846
GO:0010718,0.000789697239424798
GO:0030335,0.0008183907784191658
GO:0001657,0.0008632319116708034
GO:0001837,0.0008632319116708034
GO:0060485,0.0008632319116708034
GO:0002040,0.0012999787413044
GO:0001654,0.0012999787413044
GO:0090090,0.0014118571654393
GO:0034341,0.0014118571654393
GO:0003197,0.0014159657146216
GO:0048522,0.0014468144901861
GO:0034097,0.0016380428194995
GO:0042127,0.0016535814011145
GO:0045597,0.0017856719249866
GO:0050767,0.0017856719249866
GO:0043009,0.0018536839696325
GO:0005501,0.0023451887233686
GO:0072178,0.0023548520124813
GO:0001822,0.0023548520124813
GO:0007423,0.0025673071601778
GO:0051492,0.00261604959544
GO:1902680,0.00261604959544
GO:0045746,0.0028295910831306
GO:0048018,0.0041766891959359
GO:1902679,0.0042514655258452
GO:0060429,0.0042514655258452
GO:0009954,0.0042514655258452
GO:0010595,0.0043966440707375
GO:0010717,0.0049128190972769
GO:0003180,0.0051751636663008
GO:0003198,0.0051920355844559
GO:0071635,0.0051920355844559
GO:0048706,0.0057384905598696
GO:0003176,0.005890781575036
GO:0150063,0.005890781575036
GO:0042476,0.005890781575036
GO:0003208,0.0060486554214466
GO:1901329,0.0060486554214466
GO:0045778,0.0060486554214466
GO:0030182,0.0061715982651203
GO:0051496,0.0062117620722751
GO:0035567,0.0062117620722751
GO:0048562,0.006467198696376
GO:0030278,0.006467198696376
GO:0003183,0.0067556198290786
GO:0051960,0.0067556198290786
GO:0048523,0.0069706249282388
GO:0051240,0.0071373487070204
GO:0048699,0.0071384391814853
GO:0120163,0.0072610908120983
GO:0007169,0.0073679742349353
GO:0001227,0.0080062366749066
GO:0001228,0.0080062366749066
GO:0030177,0.0082609318657417
GO:0005634,0.008653657200022
GO:0048738,0.0087863893544514
GO:0032233,0.0087863893544514
GO:0048332,0.0088061026209459
GO:0060284,0.0090818666467044
GO:1902036,0.009800010635046
