hsapiens,mmusculus
MT-CO1,mt-Co1
MT-CO2,mt-Co2
MT-ATP6,mt-Atp6
MT-CO3,mt-Co3
MT-ND3,mt-Nd3
MT-ND4L,mt-Nd4l
MT-ND4,mt-Nd4
MT-ND5,mt-Nd5
MT-CYB,mt-Cytb
LHFPL6,Lhfpl6
EBF2,Ebf2
SIX1,Six1
TCF4,Tcf4
GDF5,Gdf5
MEOX2,Meox2
KCTD12,Kctd12
SOX4,Sox4
FOXC1,Foxc1
FABP5,Fabp5
ITM2A,Itm2a
MYL12B,Myl12b
CD24,Cd24a
EEF1G,Eef1g
OSR1,Osr1
CRABP1,Crabp1
TIMP1,Timp1
WFDC2,Wfdc2
HDAC2,Hdac2
CNMD,Cnmd
COL6A2,Col6a2
MAP1B,Map1b
OGN,Ogn
MARCKS,Marcks
NR2F2,Nr2f2
RGS10,Rgs10
AKAP12,Akap12
LAMA4,Lama4
SERPINF1,Serpinf1
SOX9,Sox9
RPL36A,Rpl36a
RPL36A,Rpl36al
LAPTM4A,Laptm4a
SERPINH1,Serpinh1
CALM3,Calm3
SPOCK3,Spock3
DLK1,Dlk1
CSRP2,Csrp2
CNN3,Cnn3
PHPT1,Phpt1
HBZ,Hba-x
HBA1,Hba-a2
HBA1,Hba-a1
MECOM,Mecom
SPRY1,Spry1
PMP22,Pmp22
GYPC,Gypc
LGALS1,Lgals1
MFAP4,Mfap4
EGFL6,Egfl6
ANXA2,Anxa2
ITM2C,Itm2c
MEST,Mest
RPS20,Rps20
NDN,Ndn
FSCN1,Fscn1
HIC1,Hic1
SULF2,Sulf2
LUM,Lum
DCN,Dcn
TUBA1B,Tuba1b
GPC3,Gpc3
FLRT3,Flrt3
JUNB,Junb
PCOLCE,Pcolce
TUBB,Tubb5
TUBB2B,Tubb2b
TSHZ2,Tshz2
VIM,Vim
COL2A1,Col2a1
PGRMC1,Pgrmc1
EGR1,Egr1
PRMT1,Prmt1
IRF1,Irf1
COL9A2,Col9a2
IFITM3,Ifitm7
IFITM3,Ifitm1
IFITM3,Ifitm2
IFITM3,Ifitm6
IFITM3,Ifitm3
MFAP2,Mfap2
OSR2,Osr2
PPP1R14A,Ppp1r14a
COL1A1,Col1a1
PDIA3,Pdia3
GABARAP,Gabarap
CITED1,Cited1
TCF7L2,Tcf7l2
CEBPD,Cebpd
TUSC3,Tusc3
GNAS,Gnas
CPE,Cpe
ADAMTS6,Adamts6
RHOA,Rhoa
YBX1,Ybx1
UCHL1,Uchl1
MTCH1,Mtch1
CLIC1,Clic1
ISLR,Islr
MEIS2,Meis2
LRRC17,Lrrc17
RPS26,Rps26
MYL6,Myl6
LY6E,Ly6e
COL1A2,Col1a2
RPS29,Rps29
CNPY2,Cnpy2
PFN1,Pfn1
NFIB,Nfib
PTN,Ptn
AUTS2,Auts2
SOX6,Sox6
HMGA1,Hmga1
CRABP2,Crabp2
CXCL12,Cxcl12
SOCS3,Socs3
FOXP2,Foxp2
TPM1,Tpm1
COL9A1,Col9a1
FOS,Fos
SPARC,Sparc
RND3,Rnd3
RHOBTB3,Rhobtb3
UBC,Ubc
MIA,Mia
WWP2,Wwp2
GAS2,Gas2
SELENOP,Selenop
PDGFRA,Pdgfra
ZFP36L1,Zfp36l1
MLLT11,Mllt11
CITED2,Cited2
PPP1R15A,Ppp1r15a
NDFIP1,Ndfip1
S100A11,S100a11
SOX5,Sox5
ZFP36,Zfp36
PDIA6,Pdia6
RPL37A,Rpl37a
IGFBP2,Igfbp2
IGFBP5,Igfbp5
SUB1,Sub1
IER2,Ier2
FSTL1,Fstl1
CNN2,Cnn2
IGFBP4,Igfbp4
PFN2,Pfn2
HES1,Hes1
BOC,Boc
C1orf54,BC028528
FRZB,Frzb
ARF1,Arf1
COL3A1,Col3a1
COL5A2,Col5a2
NBL1,Nbl1
COL11A1,Col11a1
NENF,Nenf
STMN1,Stmn1
