Term	Adjusted P-value
GO:0048407	0.000590811168570324
GO:0031995	0.0045914596104551
GO:0001228	0.0045914596104551
GO:0005501	0.0045914596104551
GO:0033293	0.0045914596104551
GO:1990837	0.0058332729185453
GO:0043565	0.0058332729185453
GO:0003690	0.0094475165493122
GO:0031994	0.0094475165493122
GO:0005520	0.0134249241847997
GO:0001972	0.0288190543271172
GO:0035925	0.0311675174563489
GO:0000976	0.0372903039869995
GO:0019212	0.0407873408607819
GO:0004864	0.0454533343271754
GO:0000977	0.0454533343271754
