Term	Adjusted P-value
GO:1990837	2.095216237685456e-18
GO:0043565	7.238997452498936e-17
GO:0003690	1.699094422717313e-16
GO:0000977	2.4131873051017557e-11
GO:0000978	9.588516240978683e-11
GO:0000976	1.3045473300028862e-10
GO:0000987	1.3045473300028862e-10
GO:0140297	1.5678547632929257e-07
GO:0061629	5.113585660193923e-07
GO:0001228	2.456979283140788e-06
GO:0004714	1.9810739662795085e-05
GO:0005021	0.0008058219646673373
GO:0048018	0.0015581830725596
GO:0001227	0.0017911804101821
GO:0001221	0.0030658787420673
GO:0005109	0.0030658787420673
GO:0019199	0.0037804748389316
GO:0030414	0.0051948810204727
GO:0048407	0.0057745855316261
GO:0004713	0.0130355719425237
GO:0070888	0.0138928340559617
GO:0005005	0.0139197711336001
GO:0045296	0.0139197711336001
GO:0005501	0.0157369749055209
GO:0005003	0.0157369749055209
GO:0001664	0.0166347346993899
GO:0070696	0.0205365805077551
GO:0098641	0.0205365805077551
GO:0009008	0.0213969557317151
GO:0033550	0.0213969557317151
GO:0031995	0.0297907119517029
GO:0017017	0.0297907119517029
GO:0043425	0.0373306532607978
GO:0070016	0.0377539481301514
GO:0008330	0.0377539481301514
GO:0005104	0.0482629970637145
GO:0098632	0.0482629970637145
GO:0061135	0.0482629970637145
