Gene1,Gene2
Eomes,A2m
Eomes,Actn1
Eomes,Agtrap
Eomes,Alx1
Eomes,Alx4
Eomes,Amot
Eomes,Apln
Eomes,Aplnr
Eomes,Asb4
Eomes,Atic
Eomes,Axin2
Eomes,Bambi
Eomes,Bmpr1b
Eomes,Cachd1
Eomes,Cadm1
Eomes,Ccnd2
Eomes,Cdh11
Eomes,Cdh2
Eomes,Cdk6
Eomes,Cfc1
Eomes,Chst7
Eomes,Cited2
Eomes,Col23a1
Eomes,Cped1
Eomes,Cst3
Eomes,Cxcl12
Eomes,Cyp26a1
Eomes,Dhrs3
Eomes,Dixdc1
Eomes,Dkk1
Eomes,Dnmt3a
Eomes,Dusp4
Eomes,Emb
Eomes,Eomes
Eomes,Epb41l3
Eomes,Epha2
Eomes,Epha5
Eomes,Evx1
Eomes,Fam43a
Eomes,Farp1
Eomes,Fbn2
Eomes,Fgf5
Eomes,Fgf8
Eomes,Fgfbp3
Eomes,Flrt2
Eomes,Foxc1
Eomes,Gata4
Eomes,Gata6
Eomes,Gbx2
Eomes,Greb1
Eomes,Grsf1
Eomes,Gsc
Eomes,Hes1
Eomes,Hmga2
Eomes,Hmgcs1
Eomes,Igdcc3
Eomes,Itga9
Eomes,Kctd1
Eomes,Kdr
Eomes,Krt18
Eomes,Lamp5
Eomes,Laptm4b
Eomes,Lef1
Eomes,Lefty2
Eomes,Lrig3
Eomes,Maged1
Eomes,Map1b
Eomes,Mesp1
Eomes,Mest
Eomes,Mgst1
Eomes,Mixl1
Eomes,Msx1
Eomes,Msx2
Eomes,Myc
Eomes,Myo1b
Eomes,Nanog
Eomes,Ncam1
Eomes,Nin
Eomes,Nrarp
Eomes,Pbx1
Eomes,Pcdh18
Eomes,Pcdh7
Eomes,Pcdh8
Eomes,Pdgfra
Eomes,Pdgfrb
Eomes,Pdlim4
Eomes,Pid1
Eomes,Plcb1
Eomes,Pmp22
Eomes,Ppfibp1
Eomes,Ppfibp2
Eomes,Prdm6
Eomes,Prdx6
Eomes,Prex2
Eomes,Prickle1
Eomes,Prtg
Eomes,Ptn
Eomes,Rai14
Eomes,Rasgrp3
Eomes,Rbpms2
Eomes,Rhoj
Eomes,Rspo3
Eomes,S100a10
Eomes,S1pr3
Eomes,Sall3
Eomes,Sdc1
Eomes,Sema3e
Eomes,Sema5a
Eomes,Sema6a
Eomes,Six2
Eomes,Slc38a4
Eomes,Slc6a6
Eomes,Smoc1
Eomes,Snai1
Eomes,Sox4
Eomes,Sp5
Eomes,Spred2
Eomes,Tbx6
Eomes,Tenm4
Eomes,Traf3ip2
Eomes,Trh
Eomes,Tspan13
Eomes,Twist1
Eomes,Upp1
Eomes,Vim
Eomes,Wdr75
Eomes,Wls
Eomes,Wnt3
Eomes,Wnt5a
Eomes,Zic3
Eomes,Znhit6
T,Alx4
T,Amot
T,Aplnr
T,Arg1
T,Arl4d
T,Asb4
T,Bmp4
T,Cdh11
T,Cdx1
T,Cdx2
T,Cfc1
T,Cited1
T,Cldn6
T,Col23a1
T,Col9a1
T,Crabp1
T,Crabp2
T,Cxcl12
T,Cyp26a1
T,Dkk1
T,Dlc1
T,Emb
T,Eomes
T,Epha2
T,Epha5
T,Etv2
T,Fbn2
T,Fgf17
T,Fgf5
T,Fgfbp3
T,Fn1
T,Foxc1
T,Foxc2
T,Foxf1
T,Fzd10
T,Gata4
T,Gata6
T,Gbx2
T,Gpc3
T,Gsc
T,Hand1
T,Igf2
T,Igfbp4
T,Ina
T,Itga9
T,Kdr
T,Krt18
T,Krt8
T,L1td1
T,Lefty2
T,Lfng
T,Lhpp
T,Lhx1
T,Mesp1
T,Mesp2
T,Mixl1
T,Msx2
T,Myl7
T,Nanog
T,Nkx1-2
T,Nrp1
T,Osr1
T,Otx2
T,Pdgfra
T,Phlda1
T,Phlda2
T,Plagl1
T,Pmp22
T,Pou3f1
T,Pou5f1
T,Ppic
T,Prdm6
T,Prrx1
T,Ptn
T,Rarb
T,Rasgrp3
T,S100a10
T,S1pr3
T,Sema3e
T,Six2
T,Snai1
T,Snai2
T,Sox2
T,Sox3
T,Tbx2
T,Tbx3
T,Tcea3
T,Tmem88
T,Tnfrsf19
T,Trh
T,Ubl4b
T,Wnt2
T,Wnt3a
