,Outdegree
cdx1,234
ets2,197
mixl1,189
tbx2,170
t,161
foxf1,161
eomes,160
id1,156
sall3,153
hand1,142
sox2,139
tbx3,136
cdx2,134
id2,132
osr1,131
msx2,119
nkx1-2,114
sp5,112
lin28b,109
sox3,108
pou5f1,106
irx5,104
cdx4,102
snai2,99
zic2,99
zfp503,97
hes3,96
hes7,94
hes1,90
prrx2,86
hoxc8,80
lef1,77
alx3,76
evx1,75
hopx,72
zfp36l2,72
lin28a,71
zic5,70
etv2,69
plagl1,65
hoxb9,59
nanog,55
hoxa9,55
etv4,54
rarg,41
hmga2,38
sox4,37
alx4,37
id3,33
foxp1,30
hoxb8,28
gbx2,27
sall4,25
smad7,24
meis2,23
alx1,19
msx1,15
gata4,14
prrx1,12
prdm6,12
fli1,12
meox1,10
hoxd9,8
tbx6,8
gata6,7
myc,7
foxc1,7
peg3,5
msgn1,5
foxc2,5
lhx1,5
twist1,5
tcf7l1,5
pou3f1,3
ebf3,3
tcf7l2,3
tcf15,3
mesp2,2
six1,1
otx2,1
pbx1,1
snai1,1
gsc,0
mesp1,0
rarb,0
six2,0
zic3,0
