,Outdegree
Twist1,278
Prrx2,183
Rarg,83
Sox2,79
Msx2,73
Tcf7l1,61
Ets2,60
Fli1,50
Foxc1,50
Hes1,47
Sox4,44
Tcf7l2,44
Zfp36l2,44
Sox3,42
Alx1,37
Snai2,36
Smad7,35
Tbx3,35
Foxc2,34
Pou3f1,31
Osr1,29
Tbx2,27
Etv4,25
T,24
Pbx1,23
Sall4,22
Lef1,22
Id2,22
Foxp1,22
Alx3,20
Id3,19
Id1,18
Gata4,17
Six1,17
Snai1,16
Gata6,16
Sall3,14
Peg3,14
Etv2,14
Prdm6,13
Mixl1,13
Foxf1,13
Otx2,13
Hopx,12
Lin28a,12
Ebf3,10
Alx4,9
Prrx1,8
Meis2,8
Myc,8
Rarb,7
Six2,4
Msx1,3
Hmga2,2
Hand1,2
Hes3,2
Plagl1,2
Lin28b,1
Zic2,1
Lhx1,1
Meox1,1
Irx5,1
Zfp503,1
Gbx2,0
Gsc,0
Eomes,0
Evx1,0
Cdx2,0
Cdx1,0
Cdx4,0
Hoxc8,0
Nanog,0
Nkx1-2,0
Mesp2,0
Msgn1,0
Mesp1,0
Hoxb9,0
Hoxb8,0
Hoxd9,0
Hes7,0
Hoxa9,0
Pou5f1,0
Sp5,0
Tcf15,0
Tbx6,0
Zic3,0
Zic5,0
