,Outdegree
cdx2,105
gata6,91
lhx1,88
gata4,87
mixl1,68
sox4,67
irx5,37
mesp2,32
sall4,31
t,23
nkx1-2,20
cdx1,18
etv2,17
id2,15
pou5f1,11
cdx4,11
eomes,11
lin28a,11
sox3,9
mesp1,8
hoxb9,7
zic5,5
nanog,5
tbx3,4
hes3,4
hmga2,3
prdm6,2
tbx6,2
tcf15,1
hoxc8,1
peg3,1
snai1,1
zic3,1
hoxb8,1
ets2,0
evx1,0
foxc1,0
meis2,0
meox1,0
lef1,0
id3,0
hoxa9,0
hoxd9,0
id1,0
etv4,0
foxp1,0
foxf1,0
foxc2,0
gbx2,0
hand1,0
gsc,0
hes1,0
hes7,0
sall3,0
pbx1,0
plagl1,0
pou3f1,0
msx2,0
msx1,0
osr1,0
otx2,0
msgn1,0
sp5,0
smad7,0
sox2,0
zfp36l2,0
tcf7l2,0
zic2,0
zfp503,0
