Gene1,Gene2
Eomes,Amot
Eomes,Aplnr
Eomes,Arg1
Eomes,Arl4d
Eomes,Asb4
Eomes,Bmp4
Eomes,Cdx1
Eomes,Cdx2
Eomes,Cfc1
Eomes,Cited1
Eomes,Cldn6
Eomes,Crabp1
Eomes,Crabp2
Eomes,Cxcl12
Eomes,Cyp26a1
Eomes,Dkk1
Eomes,Dlc1
Eomes,Emb
Eomes,Eomes
Eomes,Epha2
Eomes,Epha5
Eomes,Etv2
Eomes,Fbn2
Eomes,Fgf17
Eomes,Fgf5
Eomes,Fgfbp3
Eomes,Fn1
Eomes,Foxc1
Eomes,Foxc2
Eomes,Foxf1
Eomes,Fzd10
Eomes,Gata4
Eomes,Gata6
Eomes,Gbx2
Eomes,Gpc3
Eomes,Gsc
Eomes,Hand1
Eomes,Igf2
Eomes,Igfbp4
Eomes,Ina
Eomes,Kdr
Eomes,Krt18
Eomes,Krt8
Eomes,L1td1
Eomes,Lefty2
Eomes,Lfng
Eomes,Lhpp
Eomes,Lhx1
Eomes,Mesp1
Eomes,Mesp2
Eomes,Mixl1
Eomes,Msx2
Eomes,Myl7
Eomes,Nanog
Eomes,Nkx1-2
Eomes,Nrp1
Eomes,Osr1
Eomes,Otx2
Eomes,Pdgfra
Eomes,Phlda1
Eomes,Phlda2
Eomes,Plagl1
Eomes,Pmp22
Eomes,Pou3f1
Eomes,Pou5f1
Eomes,Ppic
Eomes,Prdm6
Eomes,Ptn
Eomes,Rasgrp3
Eomes,S100a10
Eomes,Sema3e
Eomes,Snai1
Eomes,Sox2
Eomes,Sox3
Eomes,Tbx3
Eomes,Tcea3
Eomes,Tmem88
Eomes,Tnfrsf19
Eomes,Trh
Eomes,Wnt2
Eomes,Wnt3a
T,Amot
T,Aplnr
T,Arg1
T,Arl4d
T,Asb4
T,Bmp4
T,Cdx1
T,Cdx2
T,Cfc1
T,Cited1
T,Cldn6
T,Crabp1
T,Crabp2
T,Cxcl12
T,Cyp26a1
T,Dkk1
T,Dlc1
T,Emb
T,Eomes
T,Epha2
T,Epha5
T,Etv2
T,Fbn2
T,Fgf17
T,Fgf5
T,Fgfbp3
T,Fn1
T,Foxc1
T,Foxc2
T,Foxf1
T,Fzd10
T,Gata4
T,Gata6
T,Gbx2
T,Gpc3
T,Gsc
T,Hand1
T,Igf2
T,Igfbp4
T,Ina
T,Kdr
T,Krt18
T,Krt8
T,L1td1
T,Lefty2
T,Lfng
T,Lhpp
T,Lhx1
T,Mesp1
T,Mesp2
T,Mixl1
T,Msx2
T,Myl7
T,Nanog
T,Nkx1-2
T,Nrp1
T,Osr1
T,Otx2
T,Pdgfra
T,Phlda1
T,Phlda2
T,Plagl1
T,Pmp22
T,Pou3f1
T,Pou5f1
T,Ppic
T,Prdm6
T,Ptn
T,Rasgrp3
T,S100a10
T,Sema3e
T,Snai1
T,Sox2
T,Sox3
T,Tbx3
T,Tcea3
T,Tmem88
T,Tnfrsf19
T,Trh
T,Wnt2
T,Wnt3a
