,Outdegree
twist1,346
foxc1,293
gata4,290
tcf7l2,244
snai1,243
meis2,221
pou5f1,211
tcf7l1,200
prrx2,198
tbx6,196
gata6,178
foxf1,164
id3,161
hoxc8,159
tbx3,153
zic3,141
etv2,116
hoxa9,115
lin28b,115
sall3,112
cdx2,108
mesp2,106
hes1,105
myc,98
sall4,97
smad7,96
evx1,95
foxp1,92
cdx1,91
sox4,87
zfp36l2,84
lef1,78
t,78
id1,75
lin28a,69
ets2,69
rarg,66
prdm6,64
msx2,63
sp5,62
pbx1,53
foxc2,53
etv4,53
msx1,53
cdx4,50
hmga2,50
osr1,49
peg3,43
eomes,35
zfp503,35
hoxd9,35
mesp1,35
otx2,34
msgn1,32
six1,25
hoxb8,22
gbx2,21
prrx1,20
zic2,18
hand1,18
alx1,18
nkx1-2,17
alx3,15
snai2,15
pou3f1,15
six2,15
hoxb9,13
mixl1,13
rarb,13
hopx,12
ebf3,11
lhx1,9
fli1,8
zic5,7
hes7,5
id2,5
irx5,4
tbx2,4
alx4,2
gsc,1
tcf15,1
meox1,1
nanog,1
sox3,1
plagl1,1
hes3,0
sox2,0
