Gene1,Gene2
Alx1,Alx4
Alx1,Bmpr1b
Alx1,Cd248
Alx1,Clmp
Alx1,Col26a1
Alx1,Cped1
Alx1,Cyth3
Alx1,Dusp6
Alx1,Farp1
Alx1,Foxc1
Alx1,Itga9
Alx1,Lrig3
Alx1,Pdgfra
Alx1,Pdgfrb
Alx1,Rarb
Alx1,Rarg
Alx1,Sdc1
Alx1,Sema5a
Alx1,Six2
Alx1,St6galnac4
Alx1,Tbx3
Alx1,Tmem200b
Alx1,Twist1
Alx1,Wdr75
Twist1,1700017B05Rik
Twist1,A2m
Twist1,Actn1
Twist1,Alx1
Twist1,Alx3
Twist1,Alx4
Twist1,Amot
Twist1,Anxa7
Twist1,Arg1
Twist1,Atad3a
Twist1,Atic
Twist1,Bgn
Twist1,Bmpr1b
Twist1,Ccnd3
Twist1,Cd248
Twist1,Cd63
Twist1,Cdc14b
Twist1,Cdh11
Twist1,Cited1
Twist1,Clmp
Twist1,Cnn2
Twist1,Col23a1
Twist1,Col26a1
Twist1,Col3a1
Twist1,Col4a1
Twist1,Colec12
Twist1,Cped1
Twist1,Csrp2
Twist1,Cyth3
Twist1,Dchs1
Twist1,Ddr2
Twist1,Ddx31
Twist1,Dhrs3
Twist1,Dixdc1
Twist1,Dusp6
Twist1,Dusp7
Twist1,Ebf3
Twist1,Eif4ebp1
Twist1,Emilin1
Twist1,Eml3
Twist1,Eva1b
Twist1,Fam43a
Twist1,Farp1
Twist1,Fbln5
Twist1,Fhl3
Twist1,Fli1
Twist1,Flnc
Twist1,Flrt2
Twist1,Foxc1
Twist1,Frmd6
Twist1,Fstl1
Twist1,Fzd2
Twist1,Gusb
Twist1,Hapln1
Twist1,Hdac7
Twist1,Hopx
Twist1,Hspa9
Twist1,Id1
Twist1,Igfbp4
Twist1,Il11ra1
Twist1,Itga8
Twist1,Itga9
Twist1,Itgb5
Twist1,Itm2c
Twist1,Kctd1
Twist1,Lamp5
Twist1,Lin28b
Twist1,Lrig3
Twist1,Lrp1
Twist1,Lrrc58
Twist1,Lum
Twist1,Mfap2
Twist1,Mfap4
Twist1,Mmp2
Twist1,Mrc2
Twist1,Mrpl34
Twist1,Mthfd1
Twist1,Mthfd2
Twist1,Myc
Twist1,Myo1b
Twist1,Ncl
Twist1,Net1
Twist1,Nhp2
Twist1,Nid1
Twist1,Nol9
Twist1,Nolc1
Twist1,Obsl1
Twist1,Pcdh18
Twist1,Pcolce
Twist1,Pde4a
Twist1,Pdgfra
Twist1,Pdgfrb
Twist1,Pdlim4
Twist1,Peg3
Twist1,Phlda1
Twist1,Ppfibp2
Twist1,Prex2
Twist1,Prickle1
Twist1,Prrx1
Twist1,Prrx2
Twist1,Psmg1
Twist1,Ptgis
Twist1,Pus7
Twist1,Rab3il1
Twist1,Rai14
Twist1,Rarb
Twist1,Rarg
Twist1,Rbp1
Twist1,Reep5
Twist1,Rhoj
Twist1,Rin2
Twist1,S100a6
Twist1,S1pr2
Twist1,S1pr3
Twist1,Sdc1
Twist1,Sema5a
Twist1,Serpinf1
Twist1,Sh2d3c
Twist1,Sh3bp5
Twist1,Six1
Twist1,Six2
Twist1,Slc1a5
Twist1,Slc25a4
Twist1,Slc38a4
Twist1,Slc7a5
Twist1,Snai1
Twist1,Snai2
Twist1,Spred2
Twist1,Spry4
Twist1,Srm
Twist1,Ssbp3
Twist1,St6galnac4
Twist1,Sulf2
Twist1,Taf4b
Twist1,Tbx2
Twist1,Tbx3
Twist1,Tcf7l1
Twist1,Tmem119
Twist1,Tmem200b
Twist1,Tnfaip6
Twist1,Tns1
Twist1,Tpm4
Twist1,Traf3ip2
Twist1,Traf4
Twist1,Tril
Twist1,Twist1
Twist1,Ubl4b
Twist1,Vcam1
Twist1,Vegfc
Twist1,Wdr74
Twist1,Wdr75
Twist1,Wnt5a
Twist1,Znhit6
