,Outdegree
twist1,322
prrx2,229
tcf7l1,146
fli1,145
snai1,140
rarg,136
sox4,118
tcf7l2,106
six1,92
zfp36l2,85
foxc1,65
hes1,61
pbx1,56
ets2,55
otx2,55
sall4,54
snai2,50
sox3,44
sox2,44
alx1,44
tbx3,39
ebf3,39
lef1,35
foxc2,32
smad7,28
foxp1,28
pou3f1,26
tbx2,23
peg3,23
etv4,22
six2,22
msx2,21
id1,18
meis2,18
id3,16
lin28a,14
prrx1,13
msx1,12
rarb,9
myc,9
id2,8
alx4,6
alx3,6
hes3,5
gbx2,5
sall3,3
meox1,2
hmga2,2
zic3,2
hopx,2
sp5,1
irx5,1
zfp503,1
cdx4,0
cdx1,0
hand1,0
gsc,0
gata4,0
gata6,0
foxf1,0
eomes,0
etv2,0
evx1,0
cdx2,0
hes7,0
hoxb8,0
hoxc8,0
hoxd9,0
hoxb9,0
lhx1,0
hoxa9,0
osr1,0
nkx1-2,0
nanog,0
lin28b,0
mesp1,0
mesp2,0
mixl1,0
msgn1,0
plagl1,0
prdm6,0
pou5f1,0
t,0
tcf15,0
tbx6,0
zic2,0
zic5,0
