mmusculus,hsapiens
1700017B05Rik,C15orf39
Aldh1a2,ALDH1A2
Alpl,ALPL
Alx4,ALX4
Arl4c,ARL4C
Axin2,AXIN2
Bambi,BAMBI
Bcat1,BCAT1
Cachd1,CACHD1
Cadm1,CADM1
Cdh2,CDH2
Cdx2,CDX2
Cited2,CITED2
Crabp1,CRABP1
Cxcl12,CXCL12
Cyp26a1,CYP26A1
Dusp12,DUSP12
Dusp4,DUSP4
Dusp6,DUSP6
Epb41l3,EPB41L3
Epha1,EPHA1
Epha2,EPHA2
Epha4,EPHA4
Epha5,EPHA5
Etv4,ETV4
Fbn2,FBN2
Fgfbp3,FGFBP3
Foxp1,FOXP1
Gas1,GAS1
Gbx2,GBX2
Gpc3,GPC3
Greb1,GREB1
Greb1l,GREB1L
Grsf1,GRSF1
Gsc,GSC
Hapln1,HAPLN1
Hes1,HES1
Hes7,HES7
Hoxb8,HOXB8
Hoxb9,HOXB9
Hoxc8,HOXC8
Hoxd9,HOXD9
Id1,ID1
Ifitm1,IFITM1
Igdcc3,IGDCC3
Lamc1,LAMC1
Laptm4b,LAPTM4B
Lef1,LEF1
Lhpp,LHPP
Lima1,LIMA1
Limch1,LIMCH1
Lin28a,LIN28A
Lin28b,LIN28B
Lrig3,LRIG3
Map1b,MAP1B
Meis2,MEIS2
Meox1,MEOX1
Msgn1,MSGN1
Msx1,MSX1
Ncam1,NCAM1
Nin,NIN
Nkd1,NKD1
Nkx1-2,NKX1-2
Notch1,NOTCH1
Nrarp,NRARP
Odc1,ODC1
Pbx1,PBX1
Peg3,PEG3
Pim1,PIM1
Pitrm1,PITRM1
Plagl1,PLAGL1
Pou3f1,POU3F1
Prickle1,PRICKLE1
Prtg,PRTG
Ptk7,PTK7
Ptn,PTN
Pus7,PUS7
Rarg,RARG
Rin2,RIN2
Rrm2,RRM2
Rrp8,RRP8
Rspo3,RSPO3
Sall3,SALL3
Sall4,SALL4
Sema3e,SEMA3E
Sema6a,SEMA6A
Slc38a4,SLC38A4
Slc6a6,SLC6A6
Slc7a5,SLC7A5
Smoc1,SMOC1
Sp5,SP5
Spred2,SPRED2
Spry4,SPRY4
Ssbp3,SSBP3
T,TBXT
Tcf7l1,TCF7L1
Tcf7l2,TCF7L2
Tenm4,TENM4
Tnfrsf19,TNFRSF19
Tubb4b,TUBB4B
Ubl4b,UBL4B
Vim,VIM
Wls,WLS
Wnt5a,WNT5A
Zfp36l2,ZFP36L2
Zfp503,ZNF503
Zic3,ZIC3
Zic5,ZIC5
