mmusculus,hsapiens
Alx1,ALX1
Alx3,ALX3
Alx4,ALX4
Amot,AMOT
Apln,APLN
Bgn,BGN
Cd248,CD248
Cdh2,CDH2
Cdx2,CDX2
Col26a1,COL26A1
Col3a1,COL3A1
Col9a1,COL9A1
Cped1,CPED1
Cxcl12,CXCL12
Dact3,DACT3
Ddr2,DDR2
Dkk1,DKK1
Ebf3,EBF3
Emilin1,EMILIN1
Epha2,EPHA2
Epha5,EPHA5
Fbln5,FBLN5
Fbn2,FBN2
Flrt2,FLRT2
Foxc1,FOXC1
Fzd10,FZD10
Gbx2,GBX2
Greb1,GREB1
Hes3,HES3
Hoxb8,HOXB8
Hoxb9,HOXB9
Igdcc3,IGDCC3
Irx5,IRX5
Itga8,ITGA8
Itga9,ITGA9
Lamp5,LAMP5
Lhpp,LHPP
Lmo2,LMO2
Lrig3,LRIG3
Lum,LUM
Nid1,NID1
Odc1,ODC1
Pcdh8,PCDH8
Pdgfrb,PDGFRB
Phldb2,PHLDB2
Plagl1,PLAGL1
Prickle1,PRICKLE1
Prrx1,PRRX1
Psors1c2,PSORS1C2
Ptk7,PTK7
Ptn,PTN
Rab3il1,RAB3IL1
Rarb,RARB
Rhoj,RHOJ
Rnf213,RNF213
S1pr3,S1PR3
Sema3e,SEMA3E
Serpinf1,SERPINF1
Six1,SIX1
Smoc1,SMOC1
Snai2,SNAI2
Spry4,SPRY4
Tenm4,TENM4
Tmem200b,TMEM200B
Tnfaip6,TNFAIP6
Twist1,TWIST1
Ubl4b,UBL4B
Wnt5a,WNT5A
Zfp503,ZNF503
