mmusculus,hsapiens
Aldh1a2,ALDH1A2
Alx1,ALX1
Alx3,ALX3
Apln,APLN
Arg1,ARG1
Bgn,BGN
Cd248,CD248
Cdh2,CDH2
Cdx1,CDX1
Cdx2,CDX2
Cdx4,CDX4
Cited1,CITED1
Col26a1,COL26A1
Col9a1,COL9A1
Crabp1,CRABP1
Crabp2,CRABP2
Cxcl12,CXCL12
Cyp26a1,CYP26A1
Dact3,DACT3
Dchs1,DCHS1
Ddit4,DDIT4
Ddr2,DDR2
Dkk1,DKK1
Dll3,DLL3
Ebf3,EBF3
Emilin1,EMILIN1
Epha1,EPHA1
Epha2,EPHA2
Epha4,EPHA4
Epha5,EPHA5
Etv4,ETV4
Fbln5,FBLN5
Fbn2,FBN2
Fgf17,FGF17
Fgf8,FGF8
Fgfbp3,FGFBP3
Flrt2,FLRT2
Fn1,FN1
Fzd10,FZD10
Gbx2,GBX2
Gpc3,GPC3
Greb1,GREB1
Greb1l,GREB1L
Hes3,HES3
Hes7,HES7
Hoxb8,HOXB8
Hoxb9,HOXB9
Igdcc3,IGDCC3
Itga8,ITGA8
Itga9,ITGA9
Jpt1,JPT1
Lamp5,LAMP5
Lhpp,LHPP
Limch1,LIMCH1
Lmo2,LMO2
Lrig3,LRIG3
Ncam1,NCAM1
Nid1,NID1
Nin,NIN
Nkx1-2,NKX1-2
Notch1,NOTCH1
Nrarp,NRARP
Odc1,ODC1
Pdgfrb,PDGFRB
Plagl1,PLAGL1
Pou3f1,POU3F1
Prickle1,PRICKLE1
Prrx1,PRRX1
Psors1c2,PSORS1C2
Ptn,PTN
Rab3il1,RAB3IL1
Rarb,RARB
Rhoj,RHOJ
Rspo3,RSPO3
S1pr3,S1PR3
Sema3e,SEMA3E
Serpinf1,SERPINF1
Six1,SIX1
Smoc1,SMOC1
Snai2,SNAI2
Sox3,SOX3
Sp5,SP5
Spry4,SPRY4
Stambpl1,STAMBPL1
Tcea3,TCEA3
Tmem119,TMEM119
Tmem200b,TMEM200B
Tnfaip6,TNFAIP6
Tnfrsf19,TNFRSF19
Ubl4b,UBL4B
Vasn,VASN
Wnt3,WNT3
Wnt5a,WNT5A
Zfp503,ZNF503
Zic5,ZIC5
