mmusculus,hsapiens
1700017B05Rik,C15orf39
Aimp2,AIMP2
Ak2,AK2
Alpl,ALPL
Anxa7,ANXA7
Aplnr,APLNR
Apoe,APOE
Arl4c,ARL4C
Arl4d,ARL4D
Atad3a,ATAD3A
Atic,ATIC
Axin2,AXIN2
Bambi,BAMBI
Bcat1,BCAT1
Bcat2,BCAT2
Bst2,BST2
Cachd1,CACHD1
Cadm1,CADM1
Cald1,CALD1
Calm1,CALM1
Car14,CA14
Ccnd1,CCND1
Ccnd3,CCND3
Ccnjl,CCNJL
Cd24a,CD24
Cd63,CD63
Cdc14b,CDC14B
Cdc42ep5,CDC42EP5
Cdh1,CDH1
Cdh11,CDH11
Cdk6,CDK6
Cdkn1c,CDKN1C
Cdx1,CDX1
Cdx2,CDX2
Cdx4,CDX4
Cfc1,CFC1
Chchd10,CHCHD10
Chd3,CHD3
Chst7,CHST7
Cited2,CITED2
Cldn6,CLDN6
Cldn7,CLDN7
Clmp,CLMP
Cnn2,CNN2
Col23a1,COL23A1
Col3a1,COL3A1
Col4a1,COL4A1
Colec12,COLEC12
Cped1,CPED1
Crabp2,CRABP2
Crip2,CRIP2
Crym,CRYM
Csrp2,CSRP2
Cst3,CST3
Cyth3,CYTH3
Ddr2,DDR2
Ddx31,DDX31
Ddx56,DDX56
Desi1,DESI1
Dixdc1,DIXDC1
Dlc1,DLC1
Dll1,DLL1
Dnmt3a,DNMT3A
Dst,DST
Dusp12,DUSP12
Dusp4,DUSP4
Dusp7,DUSP7
Dusp9,DUSP9
Eef2k,EEF2K
Efna1,EFNA1
Efna3,EFNA3
Eif4ebp1,EIF4EBP1
Eml3,EML3
Epha5,EPHA5
Ets2,ETS2
Etv2,ETV2
Etv4,ETV4
Eva1b,EVA1B
Evx1,EVX1
Ezr,EZR
Fabp5,FABP5
Fam43a,FAM43A
Farp1,FARP1
Fdft1,FDFT1
Fdps,FDPS
Fgf17,FGF17
Fgf3,FGF3
Fhl3,FHL3
Fli1,FLI1
Flnc,FLNC
Foxp1,FOXP1
Fpgs,FPGS
Frmd6,FRMD6
Fstl1,FSTL1
Fzd2,FZD2
Gata4,GATA4
Gbx2,GBX2
Gcat,GCAT
Gclm,GCLM
Gldc,GLDC
Gnai2,GNAI2
Gng3,GNG3
Greb1l,GREB1L
Grsf1,GRSF1
Gusb,GUSB
Hapln1,HAPLN1
Hdac7,HDAC7
Hes1,HES1
Hmces,HMCES
Hmga2,HMGA2
Hmgcs1,HMGCS1
Hoxb8,HOXB8
Hspa9,HSPA9
Id1,ID1
Id2,ID2
Id3,ID3
Idi1,IDI1
Ifrd2,IFRD2
Igdcc3,IGDCC3
Il11ra1,IL11RA
Impdh1,IMPDH1
Ina,INA
Irx5,IRX5
Itgb5,ITGB5
Itm2c,ITM2C
Kcnk1,KCNK1
Kctd1,KCTD1
Krt18,KRT18
Krt8,KRT8
L1td1,L1TD1
Lamc1,LAMC1
Lefty2,LEFTY1
Lfng,LFNG
Lhpp,LHPP
Lhx1,LHX1
Lima1,LIMA1
Limch1,LIMCH1
Lin28a,LIN28A
Lin28b,LIN28B
Lix1,LIX1
Lmo1,LMO1
Lrp1,LRP1
Lrrc58,LRRC58
Maged2,MAGED2
Map1b,MAP1B
Meis2,MEIS2
Mesp2,MESP2
Mest,MEST
Mettl13,METTL13
Mfap2,MFAP2
Mfap4,MFAP4
Mixl1,MIXL1
Mmp2,MMP2
Mpc2,MPC2
Mrc2,MRC2
Mrpl34,MRPL34
Mrps34,MRPS34
Msmo1,MSMO1
Msx1,MSX1
Mthfd1,MTHFD1
Mthfd2,MTHFD2
Myc,MYC
Myl12b,MYL12B
Myl7,MYL7
Myo1b,MYO1B
Ncam1,NCAM1
Nefl,NEFL
Net1,NET1
Nipsnap1,NIPSNAP1
Nkd1,NKD1
Nkd2,NKD2
Nol9,NOL9
Nolc1,NOLC1
Nrarp,NRARP
Obsl1,OBSL1
Odc1,ODC1
Otx2,OTX2
Pacsin2,PACSIN2
Pbx1,PBX1
Pcdh18,PCDH18
Pcdh19,PCDH19
Pcdh7,PCDH7
Pcdh8,PCDH8
Pcolce,PCOLCE
Pcsk1n,PCSK1N
Pdlim4,PDLIM4
Pdzd4,PDZD4
Peg3,PEG3
Pgm2,PGM2
Phc1,PHC1
Phgdh,PHGDH
Phldb2,PHLDB2
Pid1,PID1
Pim1,PIM1
Pim2,PIM2
Pitrm1,PITRM1
Polg,POLG
Polr2e,POLR2E
Pou3f1,POU3F1
Ppan,PPAN
Ppfibp1,PPFIBP1
Ppfibp2,PPFIBP2
Ppic,PPIC
Prex2,PREX2
Prrx2,PRRX2
Psmg1,PSMG1
Ptgis,PTGIS
Ptk7,PTK7
Pus7,PUS7
Pwp2,PWP2
Rab25,RAB25
Rai14,RAI14
Rarg,RARG
Rasgrp2,RASGRP2
Rasgrp3,RASGRP3
Rbpms2,RBPMS2
Reep5,REEP5
Rhod,RHOD
Rin2,RIN2
Rrm2,RRM2
Rrp8,RRP8
Ruvbl1,RUVBL1
Ruvbl2,RUVBL2
S100a10,S100A10
S100a11,S100A11
S100a6,S100A6
S1pr2,S1PR2
Sall3,SALL3
Sall4,SALL4
Sdc1,SDC1
Sema5a,SEMA5A
Sema6a,SEMA6A
Serpinh1,SERPINH1
Sh3bp5,SH3BP5
Shc1,SHC1
Slc1a5,SLC1A5
Slc25a22,SLC25A22
Slc25a4,SLC25A4
Slc2a1,SLC2A1
Slc38a4,SLC38A4
Slc6a6,SLC6A6
Slc7a3,SLC7A3
Slc7a5,SLC7A5
Smad7,SMAD7
Smc6,SMC6
Smoc1,SMOC1
Snai1,SNAI1
Sox2,SOX2
Sox4,SOX4
Sparc,SPARC
Spint2,SPINT2
Spred2,SPRED2
Sqle,SQLE
Srm,SRM
Ssbp3,SSBP3
St6galnac4,ST6GALNAC4
Stmn2,STMN2
Sulf2,SULF2
Syce2,SYCE2
Taf4b,TAF4B
Tax1bp3,TAX1BP3
Tbx2,TBX2
Tbx6,TBX6
Tceal8,TCEAL8
Tcf15,TCF15
Tcf7l1,TCF7L1
Tmem47,TMEM47
Tmem88,TMEM88
Tnfrsf19,TNFRSF19
Tns1,TNS1
Top2a,TOP2A
Tpd52,TPD52
Tpm1,TPM1
Tpm4,TPM4
Traf4,TRAF4
Trh,TRH
Tril,TRIL
Tspan13,TSPAN13
Tuba1a,TUBA1A
Tubb4b,TUBB4B
Vim,VIM
Wdr74,WDR74
Wdr75,WDR75
Wfdc2,WFDC2
Wls,WLS
Wnt2,WNT2
Wnt3a,WNT3A
Wnt5b,WNT5B
Xpo5,XPO5
Ypel3,YPEL3
Zfp36l2,ZFP36L2
Zfp503,ZNF503
Znhit6,ZNHIT6
