mmusculus,hsapiens
1700017B05Rik,C15orf39
A2m,A2M
Adora2b,ADORA2B
Aldh1a2,ALDH1A2
Alx1,ALX1
Alx3,ALX3
Apoe,APOE
Arl4c,ARL4C
Bcat1,BCAT1
Bcat2,BCAT2
Bgn,BGN
Bmpr1b,BMPR1B
Bst2,BST2
Calm1,CALM1
Ccl6,CCL15
Ccnd1,CCND1
Cd248,CD248
Cd24a,CD24
Cdh1,CDH1
Cdx1,CDX1
Cdx4,CDX4
Cfc1,CFC1
Chchd10,CHCHD10
Cldn6,CLDN6
Cldn7,CLDN7
Clmp,CLMP
Col23a1,COL23A1
Col26a1,COL26A1
Col9a1,COL9A1
Cped1,CPED1
Crip2,CRIP2
Crym,CRYM
Csn3,CSN3
Cst3,CST3
Cxcl12,CXCL12
Cyth3,CYTH3
Dact3,DACT3
Ddx31,DDX31
Dhrs3,DHRS3
Dixdc1,DIXDC1
Dkk1,DKK1
Dll1,DLL1
Ebf3,EBF3
Eef1d,EEF1D
Eef2k,EEF2K
Emilin1,EMILIN1
Eml3,EML3
Ets2,ETS2
Etv2,ETV2
Eva1b,EVA1B
Fabp5,FABP5
Fam43a,FAM43A
Farp1,FARP1
Fbln5,FBLN5
Fgf5,FGF5
Fgfbp3,FGFBP3
Fhl3,FHL3
Fli1,FLI1
Flnc,FLNC
Flrt2,FLRT2
Foxc1,FOXC1
Frmd6,FRMD6
Gbx2,GBX2
Greb1l,GREB1L
Gsc,GSC
Hapln1,HAPLN1
Hdac7,HDAC7
Il11ra1,IL11RA
Ina,INA
Irx5,IRX5
Itga8,ITGA8
Itga9,ITGA9
Kcnk1,KCNK1
Kctd1,KCTD1
L1td1,L1TD1
Lamp5,LAMP5
Lfng,LFNG
Lima1,LIMA1
Limch1,LIMCH1
Lin28a,LIN28A
Lrp1,LRP1
Meox1,MEOX1
Mfap4,MFAP4
Mmp2,MMP2
Mrc2,MRC2
Mrpl34,MRPL34
Msgn1,MSGN1
Ncl,NCL
Nefl,NEFL
Nid1,NID1
Nkd2,NKD2
Odc1,ODC1
Osr1,OSR1
Otx2,OTX2
Pbx1,PBX1
Pcdh18,PCDH18
Pcdh19,PCDH19
Pcdh7,PCDH7
Pcdh8,PCDH8
Pcolce,PCOLCE
Pcsk1n,PCSK1N
Pde4a,PDE4A
Pdgfrb,PDGFRB
Pdlim4,PDLIM4
Pdzd4,PDZD4
Peg3,PEG3
Phc1,PHC1
Plagl1,PLAGL1
Plcb1,PLCB1
Plvap,PLVAP
Polg,POLG
Pou3f1,POU3F1
Ppfibp2,PPFIBP2
Prex2,PREX2
Prrx1,PRRX1
Prrx2,PRRX2
Rab25,RAB25
Rab3il1,RAB3IL1
Rarb,RARB
Rasgrp2,RASGRP2
Rhoj,RHOJ
Rin2,RIN2
Rnf213,RNF213
S100a6,S100A6
S1pr2,S1PR2
S1pr3,S1PR3
Sct,SCT
Sema3e,SEMA3E
Sema5a,SEMA5A
Sema6a,SEMA6A
Serpinf1,SERPINF1
Serpinh1,SERPINH1
Sertad4,SERTAD4
Sh2d3c,SH2D3C
Sh3bp5,SH3BP5
Six1,SIX1
Six2,SIX2
Slc25a4,SLC25A4
Slc7a3,SLC7A3
Smad7,SMAD7
Smpdl3b,SMPDL3B
Snai2,SNAI2
Sparc,SPARC
Srm,SRM
St6galnac4,ST6GALNAC4
Taf4b,TAF4B
Tbx2,TBX2
Tbx6,TBX6
Tcf15,TCF15
Tmem200b,TMEM200B
Tnfaip6,TNFAIP6
Tns1,TNS1
Tpm1,TPM1
Tpm4,TPM4
Traf3ip2,TRAF3IP2
Trh,TRH
Tril,TRIL
Tubb4b,TUBB4B
Uap1l1,UAP1L1
Ubl4b,UBL4B
Vcam1,VCAM1
Vegfc,VEGFC
Wnt3a,WNT3A
Zfp36l2,ZFP36L2
