mmusculus,hsapiens
Agtrap,AGTRAP
Alx1,ALX1
Alx3,ALX3
Alx4,ALX4
Amot,AMOT
Apln,APLN
Arg1,ARG1
Asb4,ASB4
Bgn,BGN
Bmp4,BMP4
Cd248,CD248
Cdh11,CDH11
Cdh2,CDH2
Cited1,CITED1
Col26a1,COL26A1
Col3a1,COL3A1
Col9a1,COL9A1
Cped1,CPED1
Dact3,DACT3
Dchs1,DCHS1
Ddr2,DDR2
Dkk1,DKK1
Dusp9,DUSP9
Ebf3,EBF3
Emilin1,EMILIN1
Eomes,EOMES
Epha2,EPHA2
Fbln5,FBLN5
Fbn2,FBN2
Fgf3,FGF3
Fli1,FLI1
Flrt2,FLRT2
Fn1,FN1
Foxc2,FOXC2
Foxf1,FOXF1
Gata4,GATA4
Gata6,GATA6
Gpc3,GPC3
Gsc,GSC
Hand1,HAND1
Hapln1,HAPLN1
Igf2,IGF2
Igfbp4,IGFBP4
Itga8,ITGA8
Itga9,ITGA9
Kdr,KDR
Lamp5,LAMP5
Lmo1,LMO1
Lmo2,LMO2
Lum,LUM
Meis2,MEIS2
Mesp1,MESP1
Mesp2,MESP2
Msx2,MSX2
Nid1,NID1
Nrp1,NRP1
Osr1,OSR1
Pcdh8,PCDH8
Pdgfrb,PDGFRB
Phlda1,PHLDA1
Phlda2,PHLDA2
Pmp22,PMP22
Pou5f1,POU5F1
Prdm6,PRDM6
Prrx1,PRRX1
Prrx2,PRRX2
Prtg,PRTG
Psors1c2,PSORS1C2
Rab3il1,RAB3IL1
Rarb,RARB
Rasgrp3,RASGRP3
Rhoj,RHOJ
S1pr3,S1PR3
Sct,SCT
Serpinf1,SERPINF1
Six1,SIX1
Snai2,SNAI2
Stambpl1,STAMBPL1
Tbx3,TBX3
Tcf7l2,TCF7L2
Tmem119,TMEM119
Tmem200b,TMEM200B
Tnfaip6,TNFAIP6
Trh,TRH
Twist1,TWIST1
Ubl4b,UBL4B
Upp1,UPP1
Vasn,VASN
Vcam1,VCAM1
Wnt2,WNT2
Wnt3,WNT3
Zic3,ZIC3
