mmusculus,hsapiens
1700017B05Rik,C15orf39
Actn1,ACTN1
Agtrap,AGTRAP
Ak2,AK2
Aldh1a2,ALDH1A2
Alx4,ALX4
Anxa7,ANXA7
Ap3s1,AP3S1
Apln,APLN
Apoe,APOE
Arg1,ARG1
Arl4c,ARL4C
Atad3a,ATAD3A
Atic,ATIC
Bcat1,BCAT1
Bcat2,BCAT2
Bst2,BST2
Cachd1,CACHD1
Cadm1,CADM1
Cald1,CALD1
Calm1,CALM1
Car14,CA14
Ccnd1,CCND1
Ccnd2,CCND2
Ccnd3,CCND3
Cd24a,CD24
Cd63,CD63
Cdh1,CDH1
Cdkn1a,CDKN1A
Cdx1,CDX1
Cdx4,CDX4
Chchd10,CHCHD10
Chd3,CHD3
Cited2,CITED2
Cldn6,CLDN6
Cldn7,CLDN7
Clmp,CLMP
Cmtm8,CMTM8
Cnn2,CNN2
Col18a1,COL18A1
Col3a1,COL3A1
Crabp2,CRABP2
Crb3,CRB3
Crip2,CRIP2
Crym,CRYM
Csrp2,CSRP2
Cst3,CST3
Cxcl12,CXCL12
Cxxc5,CXXC5
Cyth3,CYTH3
Dact3,DACT3
Dchs1,DCHS1
Ddit4,DDIT4
Ddr2,DDR2
Ddx31,DDX31
Ddx56,DDX56
Desi1,DESI1
Dixdc1,DIXDC1
Dkk1,DKK1
Dll1,DLL1
Dll3,DLL3
Dnmt3a,DNMT3A
Dst,DST
Dusp12,DUSP12
Dusp4,DUSP4
Dusp6,DUSP6
Dusp7,DUSP7
Dusp9,DUSP9
Eef2k,EEF2K
Eif4ebp1,EIF4EBP1
Emb,EMB
Emg1,EMG1
Eml3,EML3
Eomes,EOMES
Epha1,EPHA1
Eras,ERAS
Ets2,ETS2
Etv4,ETV4
Eva1b,EVA1B
Evx1,EVX1
Ezr,EZR
Fabp5,FABP5
Fam43a,FAM43A
Farp1,FARP1
Fdft1,FDFT1
Fgf17,FGF17
Fgf5,FGF5
Fgf8,FGF8
Fgfbp3,FGFBP3
Fhl3,FHL3
Flnc,FLNC
Fn1,FN1
Foxp1,FOXP1
Frzb,FRZB
Fst,FST
Fstl1,FSTL1
Fzd10,FZD10
Fzd2,FZD2
Gas1,GAS1
Gcat,GCAT
Gldc,GLDC
Gnai2,GNAI2
Gng3,GNG3
Grb7,GRB7
Grsf1,GRSF1
Gusb,GUSB
Hapln1,HAPLN1
Hdac7,HDAC7
Hes3,HES3
Hmga2,HMGA2
Hmgcs1,HMGCS1
Hoxb8,HOXB8
Hspa9,HSPA9
Id1,ID1
Id2,ID2
Id3,ID3
Idi1,IDI1
