mmusculus,hsapiens
Aplnr,APLNR
Bambi,BAMBI
Cald1,CALD1
Cited2,CITED2
Cnn2,CNN2
Crabp1,CRABP1
Dlc1,DLC1
Dll1,DLL1
Emb,EMB
Eomes,EOMES
Epha1,EPHA1
Fgf8,FGF8
Gas1,GAS1
Gata4,GATA4
Gata6,GATA6
Hmga2,HMGA2
Hoxb8,HOXB8
Id1,ID1
Igfbp4,IGFBP4
Lef1,LEF1
Lhpp,LHPP
Lmo1,LMO1
Maged1,MAGED1
Meis2,MEIS2
Mrps6,MRPS6
Msx1,MSX1
Nkx1-2,NKX1-2
Pcdh7,PCDH7
Phlda2,PHLDA2
Pim1,PIM1
Pitrm1,PITRM1
Pmaip1,PMAIP1
Ppfibp1,PPFIBP1
Ptk7,PTK7
Rasgrp3,RASGRP3
Slc38a4,SLC38A4
Snai1,SNAI1
Sp5,SP5
Ssbp3,SSBP3
T,TBXT
Tax1bp3,TAX1BP3
Tcf7l1,TCF7L1
Tcf7l2,TCF7L2
Tubb4b,TUBB4B
Upp1,UPP1
Vim,VIM
Wls,WLS
Zic2,ZIC2
Zic3,ZIC3
Zic5,ZIC5
