mmusculus,hsapiens
Alpl,ALPL
Anxa7,ANXA7
Arl4c,ARL4C
Axin2,AXIN2
Bcat2,BCAT2
Bex1,BEX1
Cachd1,CACHD1
Ccnd1,CCND1
Cd24a,CD24
Cdc14b,CDC14B
Cdk6,CDK6
Cdx1,CDX1
Cdx2,CDX2
Cfc1,CFC1
Chchd10,CHCHD10
Cldn6,CLDN6
Cldn7,CLDN7
Clmp,CLMP
Col4a1,COL4A1
Colec12,COLEC12
Crip2,CRIP2
Dnmt3a,DNMT3A
Dusp4,DUSP4
Eef2k,EEF2K
Efna1,EFNA1
Eml3,EML3
Epha5,EPHA5
Ets2,ETS2
Etv2,ETV2
Etv4,ETV4
Evx1,EVX1
Fabp5,FABP5
Fam43a,FAM43A
Farp1,FARP1
Fgf17,FGF17
Fgf8,FGF8
Flnc,FLNC
Frmd6,FRMD6
Fst,FST
Fzd10,FZD10
Gcat,GCAT
Gnai2,GNAI2
Greb1l,GREB1L
Grsf1,GRSF1
Hdac7,HDAC7
Hoxb8,HOXB8
Id2,ID2
Idi1,IDI1
Igdcc3,IGDCC3
Igf2,IGF2
Jpt1,JPT1
Kctd1,KCTD1
Krt8,KRT8
Lamc1,LAMC1
Lhpp,LHPP
Limch1,LIMCH1
Lin28a,LIN28A
Lix1,LIX1
Lrp1,LRP1
Map1b,MAP1B
Mest,MEST
Mfap4,MFAP4
Mmp2,MMP2
Mpc2,MPC2
Mrc2,MRC2
Msx1,MSX1
Myc,MYC
Ncam1,NCAM1
Nkd1,NKD1
Nkx1-2,NKX1-2
Nme1,NME1
Nrarp,NRARP
Obsl1,OBSL1
Odc1,ODC1
Pacsin2,PACSIN2
Pcdh18,PCDH18
Pdlim4,PDLIM4
Pgm2,PGM2
Phc1,PHC1
Pid1,PID1
Pim1,PIM1
Pitrm1,PITRM1
Polg,POLG
Prex2,PREX2
Prrx2,PRRX2
Ptk7,PTK7
Rasgrp2,RASGRP2
Rhod,RHOD
Rin2,RIN2
Rrm2,RRM2
S100a11,S100A11
S1pr2,S1PR2
Sall3,SALL3
Sema5a,SEMA5A
Sema6a,SEMA6A
Slc25a22,SLC25A22
Slc38a4,SLC38A4
Slc7a3,SLC7A3
Smad7,SMAD7
Sox4,SOX4
Spred2,SPRED2
Srm,SRM
Syce2,SYCE2
Taf4b,TAF4B
Tax1bp3,TAX1BP3
Tcea3,TCEA3
Tpd52,TPD52
Tril,TRIL
Tuba1a,TUBA1A
Tubb4b,TUBB4B
Vim,VIM
Wfdc2,WFDC2
Wnt5b,WNT5B
Zfp36l2,ZFP36L2
Zfp503,ZNF503
