mmusculus,hsapiens
1700017B05Rik,C15orf39
Alpl,ALPL
Anxa7,ANXA7
Arl4c,ARL4C
Atic,ATIC
Axin2,AXIN2
Bcat1,BCAT1
Bcat2,BCAT2
Bex1,BEX1
Bex4,BEX4
Cachd1,CACHD1
Car14,CA14
Ccnd1,CCND1
Ccnjl,CCNJL
Cd24a,CD24
Cdc14b,CDC14B
Cdc42ep5,CDC42EP5
Cdk6,CDK6
Cdx1,CDX1
Cdx2,CDX2
Chchd10,CHCHD10
Chd3,CHD3
Cited2,CITED2
Cldn6,CLDN6
Cldn7,CLDN7
Col4a1,COL4A1
Colec12,COLEC12
Crabp2,CRABP2
Crip2,CRIP2
Ddx31,DDX31
Dnmt3a,DNMT3A
Dusp12,DUSP12
Dusp4,DUSP4
Dusp7,DUSP7
Eef2k,EEF2K
Efna1,EFNA1
Eml3,EML3
Epha1,EPHA1
Epha5,EPHA5
Ets2,ETS2
Etv2,ETV2
Etv4,ETV4
Evx1,EVX1
Fabp5,FABP5
Fam43a,FAM43A
Farp1,FARP1
Fgf17,FGF17
Fgf8,FGF8
Fgfbp3,FGFBP3
Flnc,FLNC
Foxp1,FOXP1
Frmd6,FRMD6
Fst,FST
Fzd10,FZD10
Gcat,GCAT
Gclm,GCLM
Gnai2,GNAI2
Greb1l,GREB1L
Grsf1,GRSF1
Gusb,GUSB
Hdac7,HDAC7
Hes3,HES3
Hmces,HMCES
Hmga2,HMGA2
Hoxb8,HOXB8
Hoxb9,HOXB9
Hspa9,HSPA9
Id2,ID2
Idi1,IDI1
Ifrd2,IFRD2
Igdcc3,IGDCC3
Igf2,IGF2
Itgb5,ITGB5
Jpt1,JPT1
Kctd1,KCTD1
Krt8,KRT8
Lamc1,LAMC1
Lhpp,LHPP
Limch1,LIMCH1
Lin28a,LIN28A
Lix1,LIX1
Lrp1,LRP1
Maged2,MAGED2
Map1b,MAP1B
Mest,MEST
Mfap4,MFAP4
Mmp2,MMP2
Mpc2,MPC2
Mrc2,MRC2
Mrps34,MRPS34
Msx1,MSX1
Myc,MYC
Myl12b,MYL12B
Ncam1,NCAM1
Net1,NET1
Nhp2,NHP2
Nkd1,NKD1
Nkx1-2,NKX1-2
Nme1,NME1
Nolc1,NOLC1
Nrarp,NRARP
Obsl1,OBSL1
Odc1,ODC1
Pacsin2,PACSIN2
Pcdh18,PCDH18
Pdlim4,PDLIM4
Pgm2,PGM2
Phc1,PHC1
Pid1,PID1
Pim1,PIM1
Pitrm1,PITRM1
Pmaip1,PMAIP1
Polg,POLG
Prex2,PREX2
Prrx2,PRRX2
Prtg,PRTG
Ptk7,PTK7
Rasgrp2,RASGRP2
Rbp1,RBP1
Rhod,RHOD
Rrm2,RRM2
S100a11,S100A11
S1pr2,S1PR2
Sall3,SALL3
Sall4,SALL4
Sema5a,SEMA5A
Sema6a,SEMA6A
Serpinh1,SERPINH1
Shc1,SHC1
Slc25a22,SLC25A22
Slc38a4,SLC38A4
Slc7a3,SLC7A3
Smad7,SMAD7
Smoc1,SMOC1
Sox4,SOX4
Sp5,SP5
Spred2,SPRED2
Srm,SRM
Ssbp3,SSBP3
Sulf2,SULF2
Syce2,SYCE2
Tax1bp3,TAX1BP3
Tcea3,TCEA3
Tmem47,TMEM47
Tnfrsf19,TNFRSF19
Top2a,TOP2A
Tpd52,TPD52
Tpm4,TPM4
Tril,TRIL
Tuba1a,TUBA1A
Tubb2b,TUBB2B
Tubb4b,TUBB4B
Vim,VIM
Wfdc2,WFDC2
Wls,WLS
Wnt5b,WNT5B
Zfp36l2,ZFP36L2
Zfp503,ZNF503
Zic2,ZIC2
