mmusculus,hsapiens
1700017B05Rik,C15orf39
Amot,AMOT
Apoe,APOE
Bambi,BAMBI
Cd24a,CD24
Cdh11,CDH11
Cfc1,CFC1
Chchd10,CHCHD10
Cited1,CITED1
Cldn6,CLDN6
Cldn7,CLDN7
Clmp,CLMP
Cnn2,CNN2
Crip2,CRIP2
Cyth3,CYTH3
Dixdc1,DIXDC1
Dlc1,DLC1
Dll1,DLL1
Emb,EMB
Eomes,EOMES
Epha1,EPHA1
Etv2,ETV2
Fbn2,FBN2
Fgf5,FGF5
Fgf8,FGF8
Fhl3,FHL3
Foxf1,FOXF1
Frmd6,FRMD6
Fst,FST
Hapln1,HAPLN1
Hdac7,HDAC7
Igf2,IGF2
Il11ra1,IL11RA
Ina,INA
Kctd1,KCTD1
Krt8,KRT8
L1td1,L1TD1
Lin28a,LIN28A
Lmo2,LMO2
Mettl13,METTL13
Mfap4,MFAP4
Mrc2,MRC2
Mrpl34,MRPL34
Nkd2,NKD2
Notch1,NOTCH1
Nrp1,NRP1
Otx2,OTX2
Pcdh18,PCDH18
Pcolce,PCOLCE
Pdgfra,PDGFRA
Pdlim4,PDLIM4
Phlda2,PHLDA2
Pid1,PID1
Pmaip1,PMAIP1
Ppfibp1,PPFIBP1
Ppic,PPIC
Prdm6,PRDM6
Psors1c2,PSORS1C2
Rasgrp2,RASGRP2
Sema5a,SEMA5A
Serpinh1,SERPINH1
Sh3bp5,SH3BP5
Slc38a4,SLC38A4
Smad7,SMAD7
Syce2,SYCE2
Tax1bp3,TAX1BP3
Tbx6,TBX6
Tcea3,TCEA3
Tcf7l1,TCF7L1
Tmem119,TMEM119
Tns1,TNS1
Vasn,VASN
Wnt3,WNT3
Ypel3,YPEL3
Zic3,ZIC3
