mmusculus,hsapiens
Agtrap,AGTRAP
Amot,AMOT
Aplnr,APLNR
Arl4d,ARL4D
Asb4,ASB4
Bambi,BAMBI
Bmp4,BMP4
Cdh11,CDH11
Cfc1,CFC1
Cnn2,CNN2
Dlc1,DLC1
Dusp9,DUSP9
Efna3,EFNA3
Emb,EMB
Eomes,EOMES
Epb41l3,EPB41L3
Epha4,EPHA4
Fbn2,FBN2
Fgf3,FGF3
Fgf5,FGF5
Foxc2,FOXC2
Foxf1,FOXF1
Frzb,FRZB
Fst,FST
Gas1,GAS1
Gata4,GATA4
Gata6,GATA6
Gsc,GSC
Hand1,HAND1
Igf2,IGF2
Igfbp4,IGFBP4
Ina,INA
Irx5,IRX5
Kdr,KDR
Krt8,KRT8
L1td1,L1TD1
Lef1,LEF1
Lefty2,LEFTY1
Lhx1,LHX1
Lmo1,LMO1
Meis2,MEIS2
Mesp1,MESP1
Mesp2,MESP2
Mixl1,MIXL1
Msx2,MSX2
Notch1,NOTCH1
Nrp1,NRP1
Osr1,OSR1
Otx2,OTX2
Pcdh7,PCDH7
Pcdh8,PCDH8
Pdgfra,PDGFRA
Phlda1,PHLDA1
Phlda2,PHLDA2
Phldb2,PHLDB2
Pid1,PID1
Pmp22,PMP22
Pou3f1,POU3F1
Ppfibp1,PPFIBP1
Ppic,PPIC
Prdm6,PRDM6
Psors1c2,PSORS1C2
Rasgrp3,RASGRP3
Sct,SCT
Slc7a3,SLC7A3
Snai1,SNAI1
Sp5,SP5
St6galnac4,ST6GALNAC4
Tax1bp3,TAX1BP3
Tbx3,TBX3
Tcf7l1,TCF7L1
Tcf7l2,TCF7L2
Tenm4,TENM4
Trh,TRH
Upp1,UPP1
Wnt2,WNT2
Wnt3,WNT3
Zic3,ZIC3
