mmusculus,hsapiens
Agtrap,AGTRAP
Amot,AMOT
Bcat1,BCAT1
Cald1,CALD1
Cdh2,CDH2
Cited1,CITED1
Cited2,CITED2
Crabp1,CRABP1
Dll1,DLL1
Dll3,DLL3
Emb,EMB
Epb41l3,EPB41L3
Epha1,EPHA1
Epha4,EPHA4
Fgf8,FGF8
Fn1,FN1
Frzb,FRZB
Gas1,GAS1
Gpc3,GPC3
Greb1,GREB1
Grsf1,GRSF1
Hes7,HES7
Hmga2,HMGA2
Hoxb8,HOXB8
Hoxc8,HOXC8
Id1,ID1
Id3,ID3
Ifitm1,IFITM1
Igf2,IGF2
Igfbp4,IGFBP4
Laptm4b,LAPTM4B
Lef1,LEF1
Lin28a,LIN28A
Maged1,MAGED1
Map1b,MAP1B
Meis2,MEIS2
Mogat2,MOGAT2
Msx1,MSX1
Nin,NIN
Odc1,ODC1
Pbx1,PBX1
Pcdh7,PCDH7
Peg3,PEG3
Phlda1,PHLDA1
Pitrm1,PITRM1
Pmaip1,PMAIP1
Pmp22,PMP22
Pou5f1,POU5F1
Prickle1,PRICKLE1
Prtg,PRTG
Ptk7,PTK7
Rbp1,RBP1
Rrm2,RRM2
Rrp8,RRP8
Rspo3,RSPO3
Sall4,SALL4
Sp5,SP5
Spry4,SPRY4
Ssbp3,SSBP3
T,TBXT
Tbx6,TBX6
Tcea3,TCEA3
Tenm4,TENM4
Tubb4b,TUBB4B
Wls,WLS
Wnt5a,WNT5A
Zic2,ZIC2
Zic3,ZIC3
Zic5,ZIC5
