mmusculus,hsapiens
Agtrap,AGTRAP
Aldh1a2,ALDH1A2
Alx1,ALX1
Alx3,ALX3
Alx4,ALX4
Amot,AMOT
Apln,APLN
Aplnr,APLNR
Arg1,ARG1
Arl4d,ARL4D
Asb4,ASB4
Bgn,BGN
Bmp4,BMP4
Cd248,CD248
Cdh11,CDH11
Cfc1,CFC1
Cited1,CITED1
Col26a1,COL26A1
Col3a1,COL3A1
Col9a1,COL9A1
Cped1,CPED1
Crabp1,CRABP1
Cxcl12,CXCL12
Dact3,DACT3
Dchs1,DCHS1
Ddr2,DDR2
Dkk1,DKK1
Dusp9,DUSP9
Ebf3,EBF3
Emilin1,EMILIN1
Eomes,EOMES
Epha2,EPHA2
Fbln5,FBLN5
Fbn2,FBN2
Fgfbp3,FGFBP3
Fli1,FLI1
Flrt2,FLRT2
Fn1,FN1
Foxc2,FOXC2
Foxf1,FOXF1
Gata4,GATA4
Gata6,GATA6
Gbx2,GBX2
Greb1,GREB1
Gsc,GSC
Hand1,HAND1
Hapln1,HAPLN1
Hes3,HES3
Hoxb9,HOXB9
Igf2,IGF2
Igfbp4,IGFBP4
Irx5,IRX5
Itga8,ITGA8
Itga9,ITGA9
Kdr,KDR
Lamp5,LAMP5
Lefty2,LEFTY1
Lmo1,LMO1
Lmo2,LMO2
Lum,LUM
Meox1,MEOX1
Mesp1,MESP1
Mesp2,MESP2
Msx2,MSX2
Nid1,NID1
Notch1,NOTCH1
Nrp1,NRP1
Osr1,OSR1
Otx2,OTX2
Pcdh7,PCDH7
Pcdh8,PCDH8
Pdgfra,PDGFRA
Pdgfrb,PDGFRB
Pdlim4,PDLIM4
Phlda1,PHLDA1
Phlda2,PHLDA2
Phldb2,PHLDB2
Plagl1,PLAGL1
Pmp22,PMP22
Pou3f1,POU3F1
Ppic,PPIC
Prdm6,PRDM6
Prrx1,PRRX1
Psors1c2,PSORS1C2
Ptn,PTN
Rab3il1,RAB3IL1
Rarb,RARB
Rasgrp3,RASGRP3
Rhoj,RHOJ
Rin2,RIN2
S1pr3,S1PR3
Sct,SCT
Sema3e,SEMA3E
Serpinf1,SERPINF1
Six1,SIX1
Slc7a3,SLC7A3
Snai1,SNAI1
Snai2,SNAI2
Sox2,SOX2
Spry4,SPRY4
Stambpl1,STAMBPL1
Tbx3,TBX3
Tcf7l2,TCF7L2
Tmem119,TMEM119
Tmem200b,TMEM200B
Tnfaip6,TNFAIP6
Trh,TRH
Tril,TRIL
Twist1,TWIST1
Ubl4b,UBL4B
Upp1,UPP1
Vasn,VASN
Wnt2,WNT2
Wnt3,WNT3
Zic3,ZIC3
