mmusculus,hsapiens
Actn1,ACTN1
Agtrap,AGTRAP
Apoe,APOE
Bcat1,BCAT1
Bcat2,BCAT2
Cadm1,CADM1
Cald1,CALD1
Ccnd1,CCND1
Ccnd2,CCND2
Cdh1,CDH1
Chchd10,CHCHD10
Cldn6,CLDN6
Cldn7,CLDN7
Cnn2,CNN2
Crip2,CRIP2
Cst3,CST3
Ddit4,DDIT4
Dll3,DLL3
Dusp6,DUSP6
Dusp9,DUSP9
Eif4ebp1,EIF4EBP1
Emb,EMB
Emg1,EMG1
Epha1,EPHA1
Fgf8,FGF8
Frzb,FRZB
Fstl1,FSTL1
Fzd2,FZD2
Gas1,GAS1
Gcat,GCAT
Gng3,GNG3
Hmga2,HMGA2
Hmgcs1,HMGCS1
Hspa9,HSPA9
Id1,ID1
Id2,ID2
Id3,ID3
Igfbp4,IGFBP4
Itm2c,ITM2C
Kcnk1,KCNK1
Krt18,KRT18
Laptm4b,LAPTM4B
Lef1,LEF1
Lhpp,LHPP
Lin28b,LIN28B
Lrrc58,LRRC58
Maged1,MAGED1
Mfap2,MFAP2
Mogat2,MOGAT2
Mrpl34,MRPL34
Mrps6,MRPS6
Msmo1,MSMO1
Mthfd1,MTHFD1
Mthfd2,MTHFD2
Nefl,NEFL
Nipsnap1,NIPSNAP1
Nol9,NOL9
Nolc1,NOLC1
Pbx1,PBX1
Pcsk1n,PCSK1N
Pdzd4,PDZD4
Peg3,PEG3
Phc1,PHC1
Pmaip1,PMAIP1
Polr2e,POLR2E
Ppfibp1,PPFIBP1
Ppic,PPIC
Prtg,PRTG
Pus7,PUS7
Rab25,RAB25
Rai14,RAI14
Rarg,RARG
Rbms1,RBMS1
Rbp1,RBP1
Rbpms2,RBPMS2
Reep5,REEP5
Rrm2,RRM2
Rrp8,RRP8
S100a10,S100A10
Sdc1,SDC1
Sema6a,SEMA6A
Serpinh1,SERPINH1
Slc25a4,SLC25A4
Slc6a6,SLC6A6
Slc7a3,SLC7A3
Sox2,SOX2
Sparc,SPARC
Sqle,SQLE
Srm,SRM
Stmn2,STMN2
Sulf2,SULF2
T,TBXT
Tceal8,TCEAL8
Tcf7l2,TCF7L2
Top2a,TOP2A
Tpm4,TPM4
Traf4,TRAF4
Tspan13,TSPAN13
Vim,VIM
Wdr75,WDR75
Wfdc2,WFDC2
Xpo5,XPO5
Ypel3,YPEL3
Zfp36l2,ZFP36L2
Zic2,ZIC2
Znhit6,ZNHIT6
