mmusculus,hsapiens
Apoe,APOE
Arl4c,ARL4C
Bambi,BAMBI
Bcat1,BCAT1
Bcat2,BCAT2
Cadm1,CADM1
Calm1,CALM1
Ccnd1,CCND1
Cdh1,CDH1
Chchd10,CHCHD10
Cldn7,CLDN7
Clmp,CLMP
Cnn2,CNN2
Crabp2,CRABP2
Crip2,CRIP2
Cst3,CST3
Cyth3,CYTH3
Dixdc1,DIXDC1
Fabp5,FABP5
Farp1,FARP1
Fgf5,FGF5
Foxc1,FOXC1
Frmd6,FRMD6
Gcat,GCAT
Hes1,HES1
Ina,INA
L1td1,L1TD1
Lin28a,LIN28A
Mfap4,MFAP4
Mrc2,MRC2
Mrpl34,MRPL34
Mthfd2,MTHFD2
Ncl,NCL
Nefl,NEFL
Nkd2,NKD2
Otx2,OTX2
Pbx1,PBX1
Pcdh18,PCDH18
Pcdh19,PCDH19
Pcolce,PCOLCE
Peg3,PEG3
Phc1,PHC1
Pmaip1,PMAIP1
Ppic,PPIC
Rasgrp2,RASGRP2
Rbms1,RBMS1
Rrm2,RRM2
Sall4,SALL4
Sema6a,SEMA6A
Serpinh1,SERPINH1
Six2,SIX2
Slc25a4,SLC25A4
Sox4,SOX4
Sparc,SPARC
St6galnac4,ST6GALNAC4
Tcf7l1,TCF7L1
Top2a,TOP2A
Tpm1,TPM1
Tpm4,TPM4
Wdr75,WDR75
Wfdc2,WFDC2
Zfp36l2,ZFP36L2
Zic5,ZIC5
