mmusculus,hsapiens
Aldh1a2,ALDH1A2
Apoe,APOE
Arl4c,ARL4C
Calm1,CALM1
Chchd10,CHCHD10
Cldn7,CLDN7
Clmp,CLMP
Crip2,CRIP2
Csn3,CSN3
Cyth3,CYTH3
Dixdc1,DIXDC1
Dll1,DLL1
Farp1,FARP1
Fhl3,FHL3
Flnc,FLNC
Foxc1,FOXC1
Frmd6,FRMD6
Hapln1,HAPLN1
Hdac7,HDAC7
Irx5,IRX5
Kctd1,KCTD1
L1td1,L1TD1
Mfap4,MFAP4
Mrc2,MRC2
Msgn1,MSGN1
Ncl,NCL
Nkd2,NKD2
Pcdh18,PCDH18
Pcdh19,PCDH19
Pcdh8,PCDH8
Pcolce,PCOLCE
Plcb1,PLCB1
Ppfibp2,PPFIBP2
Prex2,PREX2
Rasgrp2,RASGRP2
Rin2,RIN2
Rnf213,RNF213
Sema5a,SEMA5A
Sh2d3c,SH2D3C
Sh3bp5,SH3BP5
Slc25a4,SLC25A4
Slc7a3,SLC7A3
Smpdl3b,SMPDL3B
St6galnac4,ST6GALNAC4
Taf4b,TAF4B
Tbx2,TBX2
Tbx6,TBX6
Tns1,TNS1
Tril,TRIL
