mmusculus,hsapiens
Agtrap,AGTRAP
Amot,AMOT
Aplnr,APLNR
Arl4d,ARL4D
Asb4,ASB4
Cdh11,CDH11
Dlc1,DLC1
Emb,EMB
Epb41l3,EPB41L3
Fbn2,FBN2
Fgf3,FGF3
Foxc2,FOXC2
Foxf1,FOXF1
Gata4,GATA4
Gata6,GATA6
Igf2,IGF2
Kdr,KDR
Lefty2,LEFTY1
Lmo1,LMO1
Mesp1,MESP1
Mesp2,MESP2
Msx2,MSX2
Notch1,NOTCH1
Nrp1,NRP1
Pcdh7,PCDH7
Pcdh8,PCDH8
Pdgfra,PDGFRA
Phlda1,PHLDA1
Phlda2,PHLDA2
Phldb2,PHLDB2
Pmp22,PMP22
Prdm6,PRDM6
Rai14,RAI14
Rasgrp3,RASGRP3
Snai1,SNAI1
St6galnac4,ST6GALNAC4
Tbx3,TBX3
Tenm4,TENM4
Twist1,TWIST1
Upp1,UPP1
Wnt2,WNT2
Wnt5a,WNT5A
Zic3,ZIC3
