mmusculus,hsapiens
1700017B05Rik,C15orf39
Adora2b,ADORA2B
Agtrap,AGTRAP
Aimp2,AIMP2
Aldh1a2,ALDH1A2
Alx3,ALX3
Amot,AMOT
Anxa7,ANXA7
Ap3s1,AP3S1
Apln,APLN
Aplnr,APLNR
Apoe,APOE
Arl4c,ARL4C
Arl4d,ARL4D
Asb4,ASB4
Bambi,BAMBI
Bcat2,BCAT2
Bmpr1b,BMPR1B
Bst2,BST2
Cald1,CALD1
Car14,CA14
Ccl6,CCL15
Ccnd1,CCND1
Cdc14b,CDC14B
Cdh1,CDH1
Cdh11,CDH11
Cdk6,CDK6
Cfc1,CFC1
Chchd10,CHCHD10
Cldn6,CLDN6
Cldn7,CLDN7
Clmp,CLMP
Cnn2,CNN2
Col23a1,COL23A1
Col26a1,COL26A1
Col9a1,COL9A1
Colec12,COLEC12
Crip2,CRIP2
Cst3,CST3
Cxcl12,CXCL12
Cyth3,CYTH3
Dact3,DACT3
Ddx56,DDX56
Dhrs3,DHRS3
Dixdc1,DIXDC1
Dlc1,DLC1
Dnmt3a,DNMT3A
Dusp7,DUSP7
Dusp9,DUSP9
Ebf3,EBF3
Eef2k,EEF2K
Efna3,EFNA3
Emilin1,EMILIN1
Eomes,EOMES
Epcam,EPCAM
Epha1,EPHA1
Eras,ERAS
Etv2,ETV2
Eva1b,EVA1B
Fam43a,FAM43A
Farp1,FARP1
Fbn2,FBN2
Fgf5,FGF5
Fgf8,FGF8
Fgfbp3,FGFBP3
Fhl3,FHL3
Flnc,FLNC
Foxc1,FOXC1
Foxf1,FOXF1
Foxp1,FOXP1
Frmd6,FRMD6
Fst,FST
Gata4,GATA4
Gata6,GATA6
Gnai2,GNAI2
Gng3,GNG3
Hdac7,HDAC7
Hes3,HES3
Hopx,HOPX
Id3,ID3
Idi1,IDI1
Il11ra1,IL11RA
Ina,INA
Itga8,ITGA8
Itga9,ITGA9
Kcnk1,KCNK1
Kctd1,KCTD1
Kdr,KDR
Krt18,KRT18
Krt8,KRT8
L1td1,L1TD1
Lima1,LIMA1
Lin28a,LIN28A
Lmo1,LMO1
Lrp1,LRP1
Meox1,MEOX1
Mest,MEST
Mettl13,METTL13
Mfap4,MFAP4
Mmp2,MMP2
Mpc2,MPC2
Mrc2,MRC2
Mrpl12,MRPL12
Mrpl34,MRPL34
Msmo1,MSMO1
Mthfd2,MTHFD2
Ncl,NCL
Nefl,NEFL
Nin,NIN
Nkd2,NKD2
Notch1,NOTCH1
Nrp1,NRP1
Osr1,OSR1
Otx2,OTX2
Pcdh18,PCDH18
Pcdh19,PCDH19
Pcdh7,PCDH7
Pcolce,PCOLCE
Pcsk1n,PCSK1N
Pdgfra,PDGFRA
Pdgfrb,PDGFRB
Pdlim4,PDLIM4
Pdzd4,PDZD4
Pgm2,PGM2
Phc1,PHC1
Phlda2,PHLDA2
Phldb2,PHLDB2
Pid1,PID1
Pim2,PIM2
Plagl1,PLAGL1
Plvap,PLVAP
Pmaip1,PMAIP1
Polg,POLG
Pou3f1,POU3F1
Pou5f1,POU5F1
Ppfibp1,PPFIBP1
Ppfibp2,PPFIBP2
Ppic,PPIC
Prdm6,PRDM6
Prex2,PREX2
Prickle1,PRICKLE1
Prrx2,PRRX2
Psmg1,PSMG1
Psors1c2,PSORS1C2
Rab25,RAB25
Rab3il1,RAB3IL1
Rasgrp2,RASGRP2
Rasgrp3,RASGRP3
Rbpms2,RBPMS2
Rhod,RHOD
Rin2,RIN2
Rrm2,RRM2
Rrp8,RRP8
S100a6,S100A6
S1pr2,S1PR2
S1pr3,S1PR3
Sct,SCT
Sema3e,SEMA3E
Sema5a,SEMA5A
Sema6a,SEMA6A
Serpinf1,SERPINF1
Serpinh1,SERPINH1
Sh3bp5,SH3BP5
Six1,SIX1
Slc25a22,SLC25A22
Slc25a4,SLC25A4
Slc38a4,SLC38A4
Slc7a3,SLC7A3
Smad7,SMAD7
Smc6,SMC6
Smpdl3b,SMPDL3B
Sox2,SOX2
Sox4,SOX4
Sp5,SP5
Sparc,SPARC
Spint2,SPINT2
Spred2,SPRED2
Spry4,SPRY4
Sqle,SQLE
Srm,SRM
St6galnac4,ST6GALNAC4
Stmn2,STMN2
Syce2,SYCE2
Taf4b,TAF4B
Tax1bp3,TAX1BP3
Tcea3,TCEA3
Tcf15,TCF15
Tcf7l1,TCF7L1
Tcf7l2,TCF7L2
Tenm4,TENM4
Tmem119,TMEM119
Tns1,TNS1
Tpd52,TPD52
Tpm1,TPM1
Tpm4,TPM4
Traf3ip2,TRAF3IP2
Trh,TRH
Twist1,TWIST1
Uap1l1,UAP1L1
Upp1,UPP1
Vasn,VASN
Vegfc,VEGFC
Vim,VIM
Wdr74,WDR74
Wfdc2,WFDC2
Wnt3,WNT3
Ypel3,YPEL3
Zfp36l2,ZFP36L2
Zic2,ZIC2
Zic3,ZIC3
Zic5,ZIC5
