mmusculus,hsapiens
1700017B05Rik,C15orf39
Aimp2,AIMP2
Anxa7,ANXA7
Apoe,APOE
Arl4c,ARL4C
Atad3a,ATAD3A
Atic,ATIC
Axin2,AXIN2
Bambi,BAMBI
Bcat1,BCAT1
Bcat2,BCAT2
Bst2,BST2
Cachd1,CACHD1
Cadm1,CADM1
Cald1,CALD1
Ccnd1,CCND1
Cd24a,CD24
Cdc14b,CDC14B
Cdh1,CDH1
Cdk6,CDK6
Cdx4,CDX4
Chchd10,CHCHD10
Cldn6,CLDN6
Cldn7,CLDN7
Clmp,CLMP
Cnn2,CNN2
Col4a1,COL4A1
Colec12,COLEC12
Crip2,CRIP2
Csrp2,CSRP2
Cst3,CST3
Cyth3,CYTH3
Ddx31,DDX31
Ddx56,DDX56
Dixdc1,DIXDC1
Dlc1,DLC1
Dll1,DLL1
Dnmt3a,DNMT3A
Dusp12,DUSP12
Dusp7,DUSP7
Eef2k,EEF2K
Eml3,EML3
Ets2,ETS2
Etv2,ETV2
Eva1b,EVA1B
Evx1,EVX1
Fam43a,FAM43A
Farp1,FARP1
Fdft1,FDFT1
Fgf5,FGF5
Fhl3,FHL3
Flnc,FLNC
Foxp1,FOXP1
Fpgs,FPGS
Frmd6,FRMD6
Fzd2,FZD2
Gcat,GCAT
Gng3,GNG3
Greb1l,GREB1L
Grsf1,GRSF1
Gusb,GUSB
Hapln1,HAPLN1
Hdac7,HDAC7
Hes1,HES1
Hmces,HMCES
Hmga2,HMGA2
Hmgcs1,HMGCS1
Hspa9,HSPA9
Idi1,IDI1
Ifrd2,IFRD2
Il11ra1,IL11RA
Ina,INA
Irx5,IRX5
Itm2c,ITM2C
Kcnk1,KCNK1
Kctd1,KCTD1
Krt8,KRT8
L1td1,L1TD1
Lamc1,LAMC1
Lfng,LFNG
Limch1,LIMCH1
Lin28a,LIN28A
Lin28b,LIN28B
Lrp1,LRP1
Lrrc58,LRRC58
Maged2,MAGED2
Mettl13,METTL13
Mfap2,MFAP2
Mfap4,MFAP4
Mmp2,MMP2
Mpc2,MPC2
Mrc2,MRC2
Mrpl34,MRPL34
Mthfd1,MTHFD1
Mthfd2,MTHFD2
Myc,MYC
Myo1b,MYO1B
Ncam1,NCAM1
Nefl,NEFL
Net1,NET1
Nipsnap1,NIPSNAP1
Nkd1,NKD1
Nkd2,NKD2
Nol9,NOL9
Nolc1,NOLC1
Nrarp,NRARP
Obsl1,OBSL1
Otx2,OTX2
Pacsin2,PACSIN2
Pbx1,PBX1
Pcdh18,PCDH18
Pcdh7,PCDH7
Pcdh8,PCDH8
Pcolce,PCOLCE
Pcsk1n,PCSK1N
Pdlim4,PDLIM4
Pdzd4,PDZD4
Peg3,PEG3
Pgm2,PGM2
Phc1,PHC1
Phgdh,PHGDH
Pid1,PID1
Pim1,PIM1
Pmaip1,PMAIP1
Polg,POLG
Ppfibp1,PPFIBP1
Ppfibp2,PPFIBP2
Ppic,PPIC
Prex2,PREX2
Prrx2,PRRX2
Psmg1,PSMG1
Ptgis,PTGIS
Pus7,PUS7
Pwp2,PWP2
Rab25,RAB25
Rai14,RAI14
Rasgrp2,RASGRP2
Rbpms2,RBPMS2
Rhod,RHOD
Rin2,RIN2
Rrm2,RRM2
Rrp8,RRP8
Ruvbl2,RUVBL2
S1pr2,S1PR2
Sall3,SALL3
Sall4,SALL4
Sdc1,SDC1
Sema5a,SEMA5A
Sema6a,SEMA6A
Serpinh1,SERPINH1
Sh3bp5,SH3BP5
Shc1,SHC1
Slc1a5,SLC1A5
Slc25a22,SLC25A22
Slc25a4,SLC25A4
Slc2a1,SLC2A1
Slc38a4,SLC38A4
Slc6a6,SLC6A6
Slc7a3,SLC7A3
Slc7a5,SLC7A5
Smc6,SMC6
Sox4,SOX4
Sparc,SPARC
Spint2,SPINT2
Spred2,SPRED2
Spry4,SPRY4
Sqle,SQLE
Srm,SRM
Ssbp3,SSBP3
St6galnac4,ST6GALNAC4
Stmn2,STMN2
Sulf2,SULF2
Syce2,SYCE2
Taf4b,TAF4B
Tax1bp3,TAX1BP3
Tbx6,TBX6
Tcea3,TCEA3
Tcf7l1,TCF7L1
Tmem47,TMEM47
Tns1,TNS1
Top2a,TOP2A
Tpd52,TPD52
Tpm1,TPM1
Tpm4,TPM4
Traf4,TRAF4
Tril,TRIL
Tspan13,TSPAN13
Tubb4b,TUBB4B
Vim,VIM
Wdr74,WDR74
Wdr75,WDR75
Wfdc2,WFDC2
Wnt5b,WNT5B
Ypel3,YPEL3
Zfp36l2,ZFP36L2
Zic2,ZIC2
Zic5,ZIC5
Znhit6,ZNHIT6
