mmusculus,hsapiens
Amot,AMOT
Aplnr,APLNR
Arl4d,ARL4D
Bambi,BAMBI
Cachd1,CACHD1
Cald1,CALD1
Cdh11,CDH11
Cdh2,CDH2
Cited2,CITED2
Cnn2,CNN2
Crabp1,CRABP1
Dlc1,DLC1
Dll1,DLL1
Dll3,DLL3
Emb,EMB
Epb41l3,EPB41L3
Epha1,EPHA1
Epha4,EPHA4
Etv4,ETV4
Evx1,EVX1
Fgf3,FGF3
Fgf8,FGF8
Frzb,FRZB
Fst,FST
Fzd10,FZD10
Gas1,GAS1
Gata4,GATA4
Gata6,GATA6
Greb1,GREB1
Greb1l,GREB1L
Grsf1,GRSF1
Hes1,HES1
Hes3,HES3
Hmga2,HMGA2
Hoxb8,HOXB8
Hoxb9,HOXB9
Id1,ID1
Ifitm1,IFITM1
Igdcc3,IGDCC3
Igf2,IGF2
Igfbp4,IGFBP4
Jpt1,JPT1
Krt8,KRT8
Laptm4b,LAPTM4B
Lef1,LEF1
Maged1,MAGED1
Map1b,MAP1B
Meis2,MEIS2
Mrps6,MRPS6
Msx1,MSX1
Msx2,MSX2
Ncam1,NCAM1
Nin,NIN
Nkd1,NKD1
Nkx1-2,NKX1-2
Notch1,NOTCH1
Pbx1,PBX1
Pcdh7,PCDH7
Phlda1,PHLDA1
Phlda2,PHLDA2
Phldb2,PHLDB2
Pid1,PID1
Pim1,PIM1
Pitrm1,PITRM1
Pmaip1,PMAIP1
Pmp22,PMP22
Pou5f1,POU5F1
Ppfibp1,PPFIBP1
Ppic,PPIC
Prickle1,PRICKLE1
Prtg,PRTG
Ptk7,PTK7
Rasgrp3,RASGRP3
Rbp1,RBP1
Rspo3,RSPO3
Sall4,SALL4
Slc38a4,SLC38A4
Slc6a6,SLC6A6
Snai1,SNAI1
Sp5,SP5
Spry4,SPRY4
Ssbp3,SSBP3
T,TBXT
Tax1bp3,TAX1BP3
Tcea3,TCEA3
Tcf7l1,TCF7L1
Tcf7l2,TCF7L2
Tenm4,TENM4
Upp1,UPP1
Vim,VIM
Wls,WLS
Wnt3,WNT3
Wnt5a,WNT5A
Zfp503,ZNF503
Zic2,ZIC2
Zic3,ZIC3
Zic5,ZIC5
