mmusculus,hsapiens
Aldh1a2,ALDH1A2
Alx1,ALX1
Alx3,ALX3
Alx4,ALX4
Apln,APLN
Arg1,ARG1
Bcat1,BCAT1
Bgn,BGN
Cadm1,CADM1
Calm1,CALM1
Ccnd2,CCND2
Cd248,CD248
Cdh2,CDH2
Cdx1,CDX1
Cdx2,CDX2
Cdx4,CDX4
Cited2,CITED2
Col26a1,COL26A1
Col3a1,COL3A1
Col9a1,COL9A1
Cped1,CPED1
Crabp2,CRABP2
Dact3,DACT3
Dchs1,DCHS1
Ddr2,DDR2
Dixdc1,DIXDC1
Dkk1,DKK1
Dll1,DLL1
Dusp6,DUSP6
Ebf3,EBF3
Emilin1,EMILIN1
Epha1,EPHA1
Epha2,EPHA2
Etv4,ETV4
Fbln5,FBLN5
Fli1,FLI1
Flrt2,FLRT2
Fn1,FN1
Foxc1,FOXC1
Fzd10,FZD10
Gbx2,GBX2
Gpc3,GPC3
Greb1,GREB1
Hapln1,HAPLN1
Hes3,HES3
Hoxa9,HOXA9
Hoxb9,HOXB9
Hoxc8,HOXC8
Itga8,ITGA8
Itga9,ITGA9
Lamp5,LAMP5
Laptm4b,LAPTM4B
Lef1,LEF1
Limch1,LIMCH1
Lmo2,LMO2
Lrig3,LRIG3
Lum,LUM
Map1b,MAP1B
Meox1,MEOX1
Nid1,NID1
Nkd2,NKD2
Nrarp,NRARP
Odc1,ODC1
Pdgfrb,PDGFRB
Peg3,PEG3
Plagl1,PLAGL1
Prrx1,PRRX1
Prtg,PRTG
Ptn,PTN
Rab3il1,RAB3IL1
Rarb,RARB
Rbms1,RBMS1
Rhoj,RHOJ
Rin2,RIN2
Rnf213,RNF213
Rrm2,RRM2
S1pr3,S1PR3
Sall4,SALL4
Serpinf1,SERPINF1
Serpinh1,SERPINH1
Six1,SIX1
Smoc1,SMOC1
Snai2,SNAI2
Stambpl1,STAMBPL1
Tbx6,TBX6
Tmem119,TMEM119
Tmem200b,TMEM200B
Tnfaip6,TNFAIP6
Tubb4b,TUBB4B
Ubl4b,UBL4B
Vasn,VASN
Vcam1,VCAM1
Wdr75,WDR75
Wls,WLS
Zfp503,ZNF503
Zic5,ZIC5
