mmusculus,hsapiens
1700017B05Rik,C15orf39
A2m,A2M
Adora2b,ADORA2B
Agtrap,AGTRAP
Aldh1a2,ALDH1A2
Alx1,ALX1
Alx3,ALX3
Alx4,ALX4
Amot,AMOT
Anxa7,ANXA7
Ap3s1,AP3S1
Apln,APLN
Aplnr,APLNR
Apoe,APOE
Arg1,ARG1
Arl4d,ARL4D
Asb4,ASB4
Bambi,BAMBI
Bgn,BGN
Bmp4,BMP4
Bmpr1b,BMPR1B
Ccnd2,CCND2
Cd248,CD248
Cdh1,CDH1
Cdh11,CDH11
Cdkn1a,CDKN1A
Cfc1,CFC1
Chchd10,CHCHD10
Cited1,CITED1
Cldn6,CLDN6
Cldn7,CLDN7
Clmp,CLMP
Cnn2,CNN2
Col23a1,COL23A1
Col26a1,COL26A1
Col3a1,COL3A1
Col9a1,COL9A1
Crip2,CRIP2
Crym,CRYM
Csn3,CSN3
Cst3,CST3
Cxcl12,CXCL12
Cyp26a1,CYP26A1
Cyth3,CYTH3
Dact3,DACT3
Dchs1,DCHS1
Ddr2,DDR2
Dhrs3,DHRS3
Dixdc1,DIXDC1
Dkk1,DKK1
Dlc1,DLC1
Dll1,DLL1
Dll3,DLL3
Dusp9,DUSP9
Ebf3,EBF3
Eef2k,EEF2K
Eif4ebp1,EIF4EBP1
Emb,EMB
Emg1,EMG1
Emilin1,EMILIN1
Eomes,EOMES
Epb41l3,EPB41L3
Epha1,EPHA1
Epha4,EPHA4
Etv2,ETV2
Eva1b,EVA1B
Fam43a,FAM43A
Farp1,FARP1
Fbln5,FBLN5
Fbn2,FBN2
Fgf3,FGF3
Fgf5,FGF5
Fgf8,FGF8
Fgfbp3,FGFBP3
Fhl3,FHL3
Flnc,FLNC
Flrt2,FLRT2
Fn1,FN1
Foxc2,FOXC2
Foxf1,FOXF1
Frmd6,FRMD6
Frzb,FRZB
Fst,FST
Gas1,GAS1
Gsc,GSC
Hand1,HAND1
Hapln1,HAPLN1
Hdac7,HDAC7
Hes1,HES1
Hes7,HES7
Hspa9,HSPA9
Id3,ID3
Igf2,IGF2
Igfbp4,IGFBP4
Il11ra1,IL11RA
Ina,INA
Irx5,IRX5
Itga8,ITGA8
Itga9,ITGA9
Kcnk1,KCNK1
Kctd1,KCTD1
Kdr,KDR
Krt8,KRT8
L1td1,L1TD1
Lamp5,LAMP5
Lef1,LEF1
Lefty2,LEFTY1
Lfng,LFNG
Lhx1,LHX1
Lima1,LIMA1
Limch1,LIMCH1
Lmo2,LMO2
Lrig3,LRIG3
Lum,LUM
Meis2,MEIS2
Meox1,MEOX1
Mesp1,MESP1
Mesp2,MESP2
Mettl13,METTL13
Mfap4,MFAP4
Mixl1,MIXL1
Mpc2,MPC2
Mrc2,MRC2
Mrpl34,MRPL34
Mrps6,MRPS6
Msx2,MSX2
Nanog,NANOG
Nefl,NEFL
Nid1,NID1
Nin,NIN
Nkd2,NKD2
Nolc1,NOLC1
Notch1,NOTCH1
Nrp1,NRP1
Osr1,OSR1
Otx2,OTX2
Pbx1,PBX1
Pcdh18,PCDH18
Pcdh19,PCDH19
Pcdh7,PCDH7
Pcolce,PCOLCE
Pcsk1n,PCSK1N
Pde4a,PDE4A
Pdgfra,PDGFRA
Pdgfrb,PDGFRB
Pdlim4,PDLIM4
Pdzd4,PDZD4
Peg3,PEG3
Pgm2,PGM2
Phgdh,PHGDH
Phlda1,PHLDA1
Phlda2,PHLDA2
Phldb2,PHLDB2
Pid1,PID1
Pim2,PIM2
Plcb1,PLCB1
Plvap,PLVAP
Pmaip1,PMAIP1
Pmp22,PMP22
Polr2e,POLR2E
Pou5f1,POU5F1
Ppfibp1,PPFIBP1
Ppfibp2,PPFIBP2
Ppic,PPIC
Prdm6,PRDM6
Prex2,PREX2
Prickle1,PRICKLE1
Prrx1,PRRX1
Prtg,PRTG
Psors1c2,PSORS1C2
Rab25,RAB25
Rab3il1,RAB3IL1
Rai14,RAI14
Rarb,RARB
Rasgrp2,RASGRP2
Rbms1,RBMS1
Rbpms2,RBPMS2
Rhoj,RHOJ
Rin2,RIN2
Rspo3,RSPO3
Ruvbl2,RUVBL2
S100a10,S100A10
S100a6,S100A6
S1pr3,S1PR3
Sall4,SALL4
Sct,SCT
Sema5a,SEMA5A
Serpinf1,SERPINF1
Serpinh1,SERPINH1
Sertad4,SERTAD4
Sh2d3c,SH2D3C
Sh3bp5,SH3BP5
Six1,SIX1
Six2,SIX2
Slc25a4,SLC25A4
Slc38a4,SLC38A4
Smad7,SMAD7
Smc6,SMC6
Smpdl3b,SMPDL3B
Snai1,SNAI1
Snai2,SNAI2
Sox4,SOX4
Sp5,SP5
Sparc,SPARC
Spry4,SPRY4
St6galnac4,ST6GALNAC4
Stambpl1,STAMBPL1
T,TBXT
Taf4b,TAF4B
Tax1bp3,TAX1BP3
Tbx3,TBX3
Tbx6,TBX6
Tcea3,TCEA3
Tceal8,TCEAL8
Tcf15,TCF15
Tcf7l1,TCF7L1
Tcf7l2,TCF7L2
Tenm4,TENM4
Tmem119,TMEM119
Tmem200b,TMEM200B
Tnfaip6,TNFAIP6
Tns1,TNS1
Top2a,TOP2A
Tpm1,TPM1
Tpm4,TPM4
Traf3ip2,TRAF3IP2
Trh,TRH
Tril,TRIL
Twist1,TWIST1
Uap1l1,UAP1L1
Upp1,UPP1
Vasn,VASN
Vegfc,VEGFC
Vim,VIM
Wfdc2,WFDC2
Wnt2,WNT2
Wnt3,WNT3
Wnt5a,WNT5A
Ypel3,YPEL3
Zfp36l2,ZFP36L2
Zic2,ZIC2
Zic3,ZIC3
Zic5,ZIC5
