mmusculus,hsapiens
Agtrap,AGTRAP
Amot,AMOT
Aplnr,APLNR
Arl4d,ARL4D
Asb4,ASB4
Bambi,BAMBI
Cdh11,CDH11
Cdh2,CDH2
Cdx1,CDX1
Cited1,CITED1
Cited2,CITED2
Cnn2,CNN2
Crabp1,CRABP1
Cyp26a1,CYP26A1
Dlc1,DLC1
Dll3,DLL3
Dusp9,DUSP9
Efna3,EFNA3
Emb,EMB
Epb41l3,EPB41L3
Epha4,EPHA4
Evx1,EVX1
Fbn2,FBN2
Fgf17,FGF17
Fgf3,FGF3
Fgf8,FGF8
Frzb,FRZB
Fzd10,FZD10
Gas1,GAS1
Gata4,GATA4
Gata6,GATA6
Greb1,GREB1
Hes7,HES7
Hmga2,HMGA2
Hoxb8,HOXB8
Hoxb9,HOXB9
Id1,ID1
Igdcc3,IGDCC3
Igf2,IGF2
Igfbp4,IGFBP4
Irx5,IRX5
Jpt1,JPT1
Laptm4b,LAPTM4B
Lef1,LEF1
Lefty2,LEFTY1
Lfng,LFNG
Lrig3,LRIG3
Map1b,MAP1B
Meis2,MEIS2
Mixl1,MIXL1
Msx1,MSX1
Ncam1,NCAM1
Nin,NIN
Nkd1,NKD1
Nkx1-2,NKX1-2
Notch1,NOTCH1
Pcdh7,PCDH7
Pdgfra,PDGFRA
Phlda1,PHLDA1
Phlda2,PHLDA2
Phldb2,PHLDB2
Pim1,PIM1
Pmp22,PMP22
Ppfibp1,PPFIBP1
Prtg,PRTG
Ptk7,PTK7
Ptn,PTN
Rasgrp3,RASGRP3
Rbms1,RBMS1
Rspo3,RSPO3
Slc38a4,SLC38A4
Smoc1,SMOC1
Snai1,SNAI1
Sp5,SP5
Spry4,SPRY4
St6galnac4,ST6GALNAC4
T,TBXT
Tax1bp3,TAX1BP3
Tcf7l1,TCF7L1
Tcf7l2,TCF7L2
Tenm4,TENM4
Twist1,TWIST1
Upp1,UPP1
Wls,WLS
Wnt3,WNT3
Wnt5a,WNT5A
Zfp503,ZNF503
