mmusculus,hsapiens
Apln,APLN
Aplnr,APLNR
Arg1,ARG1
Arl4d,ARL4D
Bmp4,BMP4
Cdkn1a,CDKN1A
Cdx1,CDX1
Cdx2,CDX2
Cdx4,CDX4
Cfc1,CFC1
Cited1,CITED1
Col23a1,COL23A1
Cxcl12,CXCL12
Cyp26a1,CYP26A1
Epha2,EPHA2
Epha5,EPHA5
Fgf17,FGF17
Fgf3,FGF3
Fgfbp3,FGFBP3
Foxc2,FOXC2
Foxf1,FOXF1
Fzd10,FZD10
Gbx2,GBX2
Gsc,GSC
Hand1,HAND1
Hes3,HES3
Hes7,HES7
Hoxb8,HOXB8
Hoxb9,HOXB9
Igf2,IGF2
Jpt1,JPT1
Kdr,KDR
Lefty2,LEFTY1
Lhx1,LHX1
Lix1,LIX1
Mesp1,MESP1
Mixl1,MIXL1
Msx2,MSX2
Nkx1-2,NKX1-2
Nrp1,NRP1
Osr1,OSR1
Pdgfra,PDGFRA
Phlda1,PHLDA1
Plagl1,PLAGL1
Pmp22,PMP22
Pou5f1,POU5F1
Prdm6,PRDM6
Psors1c2,PSORS1C2
Ptn,PTN
Sct,SCT
Sema3e,SEMA3E
Six2,SIX2
Smoc1,SMOC1
Snai1,SNAI1
Sox3,SOX3
Tbx2,TBX2
Tbx3,TBX3
Tcea3,TCEA3
Trh,TRH
Ubl4b,UBL4B
Wnt3a,WNT3A
Zfp503,ZNF503
