mmusculus,hsapiens
Aplnr,APLNR
Arl4d,ARL4D
Bmp4,BMP4
Cdx1,CDX1
Cdx2,CDX2
Cfc1,CFC1
Cldn6,CLDN6
Col23a1,COL23A1
Crabp1,CRABP1
Crabp2,CRABP2
Cxcl12,CXCL12
Cyp26a1,CYP26A1
Dlc1,DLC1
Emb,EMB
Eomes,EOMES
Epha2,EPHA2
Epha5,EPHA5
Fgf17,FGF17
Fgf3,FGF3
Fgf5,FGF5
Fgfbp3,FGFBP3
Fn1,FN1
Foxc2,FOXC2
Foxf1,FOXF1
Fzd10,FZD10
Gata4,GATA4
Gata6,GATA6
Gbx2,GBX2
Gpc3,GPC3
Gsc,GSC
Hand1,HAND1
Igf2,IGF2
Igfbp4,IGFBP4
Ina,INA
Kdr,KDR
Krt18,KRT18
Krt8,KRT8
L1td1,L1TD1
Lefty2,LEFTY1
Lhpp,LHPP
Lhx1,LHX1
Lmo1,LMO1
Mesp1,MESP1
Mesp2,MESP2
Mixl1,MIXL1
Msx2,MSX2
Myl7,MYL7
Nanog,NANOG
Nkx1-2,NKX1-2
Nrp1,NRP1
Osr1,OSR1
Otx2,OTX2
Pdgfra,PDGFRA
Phlda1,PHLDA1
Phlda2,PHLDA2
Plagl1,PLAGL1
Pmp22,PMP22
Pou3f1,POU3F1
Pou5f1,POU5F1
Ppic,PPIC
Prdm6,PRDM6
Ptn,PTN
Rasgrp3,RASGRP3
S100a10,S100A10
Sct,SCT
Sema3e,SEMA3E
Six2,SIX2
Snai1,SNAI1
Sox2,SOX2
Sox3,SOX3
Tbx2,TBX2
Tbx3,TBX3
Tcea3,TCEA3
Tmem88,TMEM88
Tnfrsf19,TNFRSF19
Trh,TRH
Wnt2,WNT2
Wnt3a,WNT3A
