mmusculus,hsapiens
Alx1,ALX1
Alx3,ALX3
Apoe,APOE
Arl4c,ARL4C
Asb4,ASB4
Bambi,BAMBI
Bcat1,BCAT1
Bcat2,BCAT2
Bgn,BGN
Cadm1,CADM1
Calm1,CALM1
Ccnd1,CCND1
Ccnd2,CCND2
Cd248,CD248
Cdh1,CDH1
Cdx4,CDX4
Chchd10,CHCHD10
Cldn6,CLDN6
Cldn7,CLDN7
Clmp,CLMP
Cnn2,CNN2
Col23a1,COL23A1
Col26a1,COL26A1
Col3a1,COL3A1
Col9a1,COL9A1
Cped1,CPED1
Crabp2,CRABP2
Crip2,CRIP2
Cst3,CST3
Cyth3,CYTH3
Dact3,DACT3
Dixdc1,DIXDC1
Dll1,DLL1
Dnmt3a,DNMT3A
Dusp6,DUSP6
Dusp9,DUSP9
Ebf3,EBF3
Eef2k,EEF2K
Emilin1,EMILIN1
Ets2,ETS2
Etv2,ETV2
Eva1b,EVA1B
Fabp5,FABP5
Fam43a,FAM43A
Farp1,FARP1
Fbln5,FBLN5
Fgf5,FGF5
Fhl3,FHL3
Fli1,FLI1
Flnc,FLNC
Flrt2,FLRT2
Foxc1,FOXC1
Frmd6,FRMD6
Gata4,GATA4
Gata6,GATA6
Gbx2,GBX2
Gcat,GCAT
Greb1l,GREB1L
Grsf1,GRSF1
Hapln1,HAPLN1
Hdac7,HDAC7
Hes1,HES1
Hspa9,HSPA9
Il11ra1,IL11RA
Ina,INA
Irx5,IRX5
Itga8,ITGA8
Itga9,ITGA9
Kcnk1,KCNK1
Kctd1,KCTD1
L1td1,L1TD1
Lamp5,LAMP5
Lin28a,LIN28A
Lmo1,LMO1
Mesp2,MESP2
Mfap4,MFAP4
Mrc2,MRC2
Mrpl34,MRPL34
Mthfd2,MTHFD2
Ncl,NCL
Nefl,NEFL
Nid1,NID1
Nkd2,NKD2
Odc1,ODC1
Otx2,OTX2
Pbx1,PBX1
Pcdh18,PCDH18
Pcdh19,PCDH19
Pcdh8,PCDH8
Pcolce,PCOLCE
Pde4a,PDE4A
Pdgfrb,PDGFRB
Pdlim4,PDLIM4
Pdzd4,PDZD4
Peg3,PEG3
Phc1,PHC1
Phldb2,PHLDB2
Pmaip1,PMAIP1
Ppfibp2,PPFIBP2
Ppic,PPIC
Prex2,PREX2
Prrx1,PRRX1
Prrx2,PRRX2
Psmg1,PSMG1
Rab25,RAB25
Rab3il1,RAB3IL1
Rarb,RARB
Rasgrp2,RASGRP2
Rasgrp3,RASGRP3
Rbms1,RBMS1
Rhoj,RHOJ
Rin2,RIN2
Rrm2,RRM2
S1pr2,S1PR2
Sall4,SALL4
Sdc1,SDC1
Sema5a,SEMA5A
Sema6a,SEMA6A
Serpinh1,SERPINH1
Sh3bp5,SH3BP5
Six1,SIX1
Six2,SIX2
Slc25a4,SLC25A4
Slc2a1,SLC2A1
Slc38a4,SLC38A4
Snai2,SNAI2
Sox4,SOX4
Sparc,SPARC
Srm,SRM
Ssbp3,SSBP3
St6galnac4,ST6GALNAC4
Taf4b,TAF4B
Tbx2,TBX2
Tbx6,TBX6
Tcf7l1,TCF7L1
Tmem200b,TMEM200B
Tnfaip6,TNFAIP6
Tns1,TNS1
Top2a,TOP2A
Tpm1,TPM1
Tpm4,TPM4
Traf4,TRAF4
Tril,TRIL
Tubb4b,TUBB4B
Twist1,TWIST1
Vcam1,VCAM1
Wdr74,WDR74
Wdr75,WDR75
Wfdc2,WFDC2
Wnt2,WNT2
Wnt3a,WNT3A
Zfp36l2,ZFP36L2
Zic5,ZIC5
