mmusculus,hsapiens
1700017B05Rik,C15orf39
Actn1,ACTN1
Aldh1a2,ALDH1A2
Alx1,ALX1
Alx3,ALX3
Alx4,ALX4
Amot,AMOT
Aplnr,APLNR
Apoe,APOE
Arg1,ARG1
Arl4d,ARL4D
Asb4,ASB4
Axin2,AXIN2
Bambi,BAMBI
Bgn,BGN
Bmp4,BMP4
Bmpr1b,BMPR1B
Cachd1,CACHD1
Cadm1,CADM1
Cald1,CALD1
Calm1,CALM1
Ccnd2,CCND2
Cd248,CD248
Cdh1,CDH1
Cdh11,CDH11
Cdkn1a,CDKN1A
Cdx1,CDX1
Cdx2,CDX2
Cdx4,CDX4
Cfc1,CFC1
Cited1,CITED1
Cited2,CITED2
Cldn6,CLDN6
Clmp,CLMP
Cmtm8,CMTM8
Cnn2,CNN2
Col23a1,COL23A1
Col26a1,COL26A1
Col3a1,COL3A1
Col9a1,COL9A1
Cped1,CPED1
Crabp1,CRABP1
Crabp2,CRABP2
Crb3,CRB3
Crym,CRYM
Cst3,CST3
Cxcl12,CXCL12
Cxxc5,CXXC5
Cyp26a1,CYP26A1
Cyth3,CYTH3
Dact3,DACT3
Dchs1,DCHS1
Ddit4,DDIT4
Ddr2,DDR2
Dixdc1,DIXDC1
Dkk1,DKK1
Dlc1,DLC1
Dusp4,DUSP4
Dusp6,DUSP6
Ebf3,EBF3
Eif4ebp1,EIF4EBP1
Emb,EMB
Emilin1,EMILIN1
Eomes,EOMES
Epha2,EPHA2
Epha5,EPHA5
Etv2,ETV2
Etv4,ETV4
Eva1b,EVA1B
Fabp5,FABP5
Fam43a,FAM43A
Farp1,FARP1
Fbln5,FBLN5
Fgf17,FGF17
Fgf3,FGF3
Fgf5,FGF5
Fgfbp3,FGFBP3
Fhl3,FHL3
Fli1,FLI1
Flnc,FLNC
Flrt2,FLRT2
Fn1,FN1
Foxc2,FOXC2
Foxf1,FOXF1
Foxp1,FOXP1
Frmd6,FRMD6
Fzd10,FZD10
Gata4,GATA4
Gata6,GATA6
Gbx2,GBX2
Gpc3,GPC3
Grb7,GRB7
Gsc,GSC
Hand1,HAND1
Hapln1,HAPLN1
Hdac7,HDAC7
Hes1,HES1
Hes3,HES3
Hmga2,HMGA2
Hspa9,HSPA9
Igf2,IGF2
Igfbp4,IGFBP4
Il11ra1,IL11RA
Ina,INA
Itga8,ITGA8
Itga9,ITGA9
Kcnk1,KCNK1
Kctd1,KCTD1
Kdr,KDR
Krt8,KRT8
L1td1,L1TD1
Lamp5,LAMP5
Laptm4b,LAPTM4B
Lef1,LEF1
Lefty2,LEFTY1
