mmusculus,hsapiens
1700017B05Rik,C15orf39
A2m,A2M
Actn1,ACTN1
Adora2b,ADORA2B
Aldh1a2,ALDH1A2
Alx1,ALX1
Alx3,ALX3
Alx4,ALX4
Amot,AMOT
Anxa7,ANXA7
Apln,APLN
Apoe,APOE
Arg1,ARG1
Arl4c,ARL4C
Asb4,ASB4
Atad3a,ATAD3A
Atic,ATIC
Axin2,AXIN2
Bambi,BAMBI
Bcat1,BCAT1
Bcat2,BCAT2
Bgn,BGN
Bmp4,BMP4
Bmpr1b,BMPR1B
Cachd1,CACHD1
Cadm1,CADM1
Cald1,CALD1
Calm1,CALM1
Ccnd1,CCND1
Ccnd2,CCND2
Ccnd3,CCND3
Ccnjl,CCNJL
Cd248,CD248
Cd63,CD63
Cdc14b,CDC14B
Cdh1,CDH1
Cdh11,CDH11
Cdh2,CDH2
Cdk6,CDK6
Cdkn1a,CDKN1A
Cdx1,CDX1
Cdx2,CDX2
Cdx4,CDX4
Cfc1,CFC1
Chd3,CHD3
Cited1,CITED1
Cited2,CITED2
Clmp,CLMP
Cmtm8,CMTM8
Cnn2,CNN2
Col18a1,COL18A1
Col23a1,COL23A1
Col26a1,COL26A1
Col3a1,COL3A1
Col4a1,COL4A1
Col9a1,COL9A1
Colec12,COLEC12
Cped1,CPED1
Crabp1,CRABP1
Crabp2,CRABP2
Crym,CRYM
Csn3,CSN3
Csrp2,CSRP2
Cst3,CST3
Cxcl12,CXCL12
Cxxc5,CXXC5
Cyp26a1,CYP26A1
Cyth3,CYTH3
Dact3,DACT3
Dchs1,DCHS1
Ddit4,DDIT4
Ddr2,DDR2
Ddx31,DDX31
Dhrs3,DHRS3
Dixdc1,DIXDC1
Dkk1,DKK1
Dll3,DLL3
Dnmt3a,DNMT3A
Dst,DST
Dusp4,DUSP4
Dusp6,DUSP6
Dusp7,DUSP7
Dusp9,DUSP9
Ebf3,EBF3
Eef2k,EEF2K
Eif4ebp1,EIF4EBP1
Emilin1,EMILIN1
Eml3,EML3
Epb41l3,EPB41L3
Epha2,EPHA2
Epha4,EPHA4
Epha5,EPHA5
Ets2,ETS2
Etv2,ETV2
Etv4,ETV4
Eva1b,EVA1B
Evx1,EVX1
Fabp5,FABP5
Fam43a,FAM43A
Farp1,FARP1
Fbln5,FBLN5
Fgf17,FGF17
Fgf3,FGF3
Fgf5,FGF5
Fgf8,FGF8
Fgfbp3,FGFBP3
Fhl3,FHL3
Fli1,FLI1
Flnc,FLNC
Flrt2,FLRT2
Fn1,FN1
Foxc1,FOXC1
Foxp1,FOXP1
Frmd6,FRMD6
Frzb,FRZB
Fstl1,FSTL1
Fzd10,FZD10
Fzd2,FZD2
Gas1,GAS1
Gata4,GATA4
Gata6,GATA6
Gbx2,GBX2
Gcat,GCAT
Gpc3,GPC3
Grb7,GRB7
Greb1,GREB1
Greb1l,GREB1L
Grsf1,GRSF1
Gsc,GSC
Gusb,GUSB
Hapln1,HAPLN1
Hdac7,HDAC7
Hes1,HES1
Hes3,HES3
Hes7,HES7
Hmga2,HMGA2
Hmgcs1,HMGCS1
Hopx,HOPX
Hoxa9,HOXA9
Hspa9,HSPA9
Id1,ID1
Id2,ID2
Igdcc3,IGDCC3
Igfbp2,IGFBP2
Igfbp4,IGFBP4
Il11ra1,IL11RA
Irx5,IRX5
Itga8,ITGA8
Itga9,ITGA9
Itgb5,ITGB5
Itm2c,ITM2C
Kcnk1,KCNK1
Kctd1,KCTD1
Krt8,KRT8
L1td1,L1TD1
Lamc1,LAMC1
Lamp5,LAMP5
Laptm4b,LAPTM4B
Lef1,LEF1
Lefty2,LEFTY1
Lfng,LFNG
Lhpp,LHPP
Limch1,LIMCH1
Lin28a,LIN28A
Lin28b,LIN28B
Lix1,LIX1
Lmo1,LMO1
Lmo2,LMO2
Lrig3,LRIG3
Lrp1,LRP1
Lrrc58,LRRC58
Lum,LUM
Maged1,MAGED1
Map1b,MAP1B
Meox1,MEOX1
Mesp1,MESP1
Mesp2,MESP2
Mfap2,MFAP2
Mfap4,MFAP4
Mkrn1,MKRN1
Mmp2,MMP2
Mrc2,MRC2
Mrpl34,MRPL34
Msmo1,MSMO1
Msx1,MSX1
Msx2,MSX2
Mthfd1,MTHFD1
Mthfd2,MTHFD2
Myc,MYC
Myo1b,MYO1B
Nav2,NAV2
Ncam1,NCAM1
Ncl,NCL
Nefl,NEFL
Net1,NET1
Nhp2,NHP2
Nid1,NID1
Nipsnap1,NIPSNAP1
Nkd1,NKD1
Nkd2,NKD2
Nol9,NOL9
Nolc1,NOLC1
Nrarp,NRARP
Nrp1,NRP1
Obsl1,OBSL1
Odc1,ODC1
Osr1,OSR1
Otx2,OTX2
Pbx1,PBX1
Pcdh18,PCDH18
Pcdh19,PCDH19
Pcdh7,PCDH7
Pcdh8,PCDH8
Pcolce,PCOLCE
Pde4a,PDE4A
Pdgfra,PDGFRA
Pdgfrb,PDGFRB
Pdlim4,PDLIM4
Peg3,PEG3
Phc1,PHC1
Phldb2,PHLDB2
Pid1,PID1
Pim1,PIM1
Pim2,PIM2
Plagl1,PLAGL1
Plcb1,PLCB1
Plvap,PLVAP
Pmaip1,PMAIP1
Polg,POLG
Ppfibp1,PPFIBP1
Ppfibp2,PPFIBP2
Ppic,PPIC
Prex2,PREX2
Prickle1,PRICKLE1
Prrx1,PRRX1
Prrx2,PRRX2
Prtg,PRTG
Psmg1,PSMG1
Ptgis,PTGIS
Ptk7,PTK7
Ptn,PTN
Pus7,PUS7
Rab25,RAB25
Rab3il1,RAB3IL1
Rai14,RAI14
Rarb,RARB
Rarg,RARG
Rasgrp2,RASGRP2
Rasgrp3,RASGRP3
Rbms1,RBMS1
Rbp1,RBP1
Rbpms2,RBPMS2
Reep5,REEP5
Rhod,RHOD
Rhoj,RHOJ
Rin2,RIN2
Rrm2,RRM2
Rspo3,RSPO3
S100a11,S100A11
S100a6,S100A6
S1pr2,S1PR2
S1pr3,S1PR3
Sall3,SALL3
Sall4,SALL4
Sct,SCT
Sdc1,SDC1
Sema3e,SEMA3E
Sema5a,SEMA5A
Sema6a,SEMA6A
Serpinf1,SERPINF1
Serpinh1,SERPINH1
Sertad4,SERTAD4
Sfrp2,SFRP2
Sh2d3c,SH2D3C
Sh3bp5,SH3BP5
Six1,SIX1
Six2,SIX2
Slc1a5,SLC1A5
Slc25a4,SLC25A4
Slc2a1,SLC2A1
Slc38a4,SLC38A4
Slc6a6,SLC6A6
Slc7a5,SLC7A5
Smad7,SMAD7
Smoc1,SMOC1
Smpdl3b,SMPDL3B
Snai1,SNAI1
Snai2,SNAI2
Sox2,SOX2
Sox4,SOX4
Sparc,SPARC
Spred2,SPRED2
Spry4,SPRY4
Sqle,SQLE
Srm,SRM
Ssbp3,SSBP3
St6galnac4,ST6GALNAC4
Stambpl1,STAMBPL1
Stmn2,STMN2
Sulf2,SULF2
Taf4b,TAF4B
Tbx2,TBX2
Tbx3,TBX3
Tbx6,TBX6
Tceal8,TCEAL8
Tcf15,TCF15
Tcf7l1,TCF7L1
Tcf7l2,TCF7L2
Tenm4,TENM4
Tmem119,TMEM119
Tmem200b,TMEM200B
Tmem47,TMEM47
Tnfaip6,TNFAIP6
Tnfrsf19,TNFRSF19
Tns1,TNS1
Top2a,TOP2A
Tpm1,TPM1
Tpm4,TPM4
Traf3ip2,TRAF3IP2
Traf4,TRAF4
Trh,TRH
Tril,TRIL
Tspan13,TSPAN13
Tubb2b,TUBB2B
Twist1,TWIST1
Uap1l1,UAP1L1
Ubl4b,UBL4B
Vasn,VASN
Vcam1,VCAM1
Vegfc,VEGFC
Vim,VIM
Wdr74,WDR74
Wdr75,WDR75
Wfdc2,WFDC2
Wls,WLS
Wnt2,WNT2
Wnt3a,WNT3A
Wnt5a,WNT5A
Wnt5b,WNT5B
Xpo5,XPO5
Zfp36l2,ZFP36L2
Zfp503,ZNF503
Zic2,ZIC2
Zic3,ZIC3
Zic5,ZIC5
Znhit6,ZNHIT6
