mmusculus,hsapiens
Agtrap,AGTRAP
Alx1,ALX1
Amot,AMOT
Aplnr,APLNR
Arl4d,ARL4D
Asb4,ASB4
Bgn,BGN
Bmp4,BMP4
Cd248,CD248
Cdh11,CDH11
Cited1,CITED1
Col9a1,COL9A1
Crabp1,CRABP1
Cyp26a1,CYP26A1
Dchs1,DCHS1
Dkk1,DKK1
Dll3,DLL3
Ebf3,EBF3
Emb,EMB
Emilin1,EMILIN1
Eomes,EOMES
Epb41l3,EPB41L3
Epha2,EPHA2
Fbln5,FBLN5
Fbn2,FBN2
Fgf3,FGF3
Flrt2,FLRT2
Fn1,FN1
Foxc2,FOXC2
Frzb,FRZB
Gata4,GATA4
Gata6,GATA6
Gpc3,GPC3
Gsc,GSC
Hand1,HAND1
Hes7,HES7
Ifitm1,IFITM1
Igf2,IGF2
Igfbp4,IGFBP4
Itga8,ITGA8
Kdr,KDR
Lamp5,LAMP5
Laptm4b,LAPTM4B
Lmo1,LMO1
Lmo2,LMO2
Lrig3,LRIG3
Meis2,MEIS2
Mesp1,MESP1
Mesp2,MESP2
Msx2,MSX2
Nid1,NID1
Nin,NIN
Notch1,NOTCH1
Pcdh7,PCDH7
Pdgfrb,PDGFRB
Phlda1,PHLDA1
Phlda2,PHLDA2
Pmp22,PMP22
Pou5f1,POU5F1
Prrx1,PRRX1
Rab3il1,RAB3IL1
Rarb,RARB
Rasgrp3,RASGRP3
Rbms1,RBMS1
Rhoj,RHOJ
Rspo3,RSPO3
S1pr3,S1PR3
Serpinf1,SERPINF1
Six1,SIX1
Snai1,SNAI1
Snai2,SNAI2
Sp5,SP5
T,TBXT
Tcea3,TCEA3
Tcf7l2,TCF7L2
Tmem119,TMEM119
Tmem200b,TMEM200B
Tnfaip6,TNFAIP6
Twist1,TWIST1
Upp1,UPP1
Vasn,VASN
Wnt2,WNT2
Wnt3,WNT3
Wnt5a,WNT5A
