mmusculus,hsapiens
A2m,A2M
Adora2b,ADORA2B
Aldh1a2,ALDH1A2
Alx1,ALX1
Alx3,ALX3
Alx4,ALX4
Apln,APLN
Arg1,ARG1
Asb4,ASB4
Bgn,BGN
Bmp4,BMP4
Bmpr1b,BMPR1B
Ccnd2,CCND2
Cd248,CD248
Cdx1,CDX1
Cdx2,CDX2
Cdx4,CDX4
Cfc1,CFC1
Cited1,CITED1
Clmp,CLMP
Col23a1,COL23A1
Col26a1,COL26A1
Col3a1,COL3A1
Col9a1,COL9A1
Cped1,CPED1
Crabp2,CRABP2
Crb3,CRB3
Crym,CRYM
Csn3,CSN3
Cxcl12,CXCL12
Cyp26a1,CYP26A1
Cyth3,CYTH3
Dact3,DACT3
Dchs1,DCHS1
Ddr2,DDR2
Dhrs3,DHRS3
Dixdc1,DIXDC1
Dkk1,DKK1
Ebf3,EBF3
Emilin1,EMILIN1
Epha2,EPHA2
Epha5,EPHA5
Fbln5,FBLN5
Fgf17,FGF17
Fgfbp3,FGFBP3
Fhl3,FHL3
Fli1,FLI1
Flnc,FLNC
Flrt2,FLRT2
Fn1,FN1
Foxc1,FOXC1
Foxc2,FOXC2
Foxf1,FOXF1
Frmd6,FRMD6
Fzd10,FZD10
Gbx2,GBX2
Gpc3,GPC3
Gsc,GSC
Hand1,HAND1
Hapln1,HAPLN1
Hdac7,HDAC7
Hes3,HES3
Hoxb8,HOXB8
Hoxb9,HOXB9
Irx5,IRX5
Itga8,ITGA8
Itga9,ITGA9
Jpt1,JPT1
Kctd1,KCTD1
Lamp5,LAMP5
Lefty2,LEFTY1
Limch1,LIMCH1
Lmo2,LMO2
Lum,LUM
Meox1,MEOX1
Mesp1,MESP1
Mesp2,MESP2
Mrc2,MRC2
Msx2,MSX2
Nanog,NANOG
Nid1,NID1
Nkd2,NKD2
Nrp1,NRP1
Osr1,OSR1
Pcdh19,PCDH19
Pcdh8,PCDH8
Pcolce,PCOLCE
Pde4a,PDE4A
Pdgfra,PDGFRA
Pdgfrb,PDGFRB
Plagl1,PLAGL1
Plcb1,PLCB1
Plvap,PLVAP
Pou5f1,POU5F1
Ppfibp2,PPFIBP2
Prex2,PREX2
Prrx1,PRRX1
Prrx2,PRRX2
Prtg,PRTG
Psors1c2,PSORS1C2
Rab3il1,RAB3IL1
Rarb,RARB
Rhoj,RHOJ
Rin2,RIN2
S100a6,S100A6
S1pr2,S1PR2
S1pr3,S1PR3
Sct,SCT
Sema3e,SEMA3E
Sema5a,SEMA5A
Serpinf1,SERPINF1
Sertad4,SERTAD4
Sh2d3c,SH2D3C
Sh3bp5,SH3BP5
Six1,SIX1
Six2,SIX2
Smoc1,SMOC1
Smpdl3b,SMPDL3B
Snai2,SNAI2
Sox3,SOX3
Stambpl1,STAMBPL1
Taf4b,TAF4B
Tbx2,TBX2
Tbx3,TBX3
Tbx6,TBX6
Tmem119,TMEM119
Tmem200b,TMEM200B
Tnfaip6,TNFAIP6
Tns1,TNS1
Traf3ip2,TRAF3IP2
Trh,TRH
Tril,TRIL
Twist1,TWIST1
Uap1l1,UAP1L1
Ubl4b,UBL4B
Vasn,VASN
Vcam1,VCAM1
Vegfc,VEGFC
Wnt2,WNT2
Wnt3a,WNT3A
Zfp503,ZNF503
