hsapiens,mmusculus
ABI3BP,Abi3bp
ACTA2,Acta2
ADAM12,Adam12
ANPEP,Anpep
APLP1,Aplp1
AREG,Areg
BASP1,Basp1
BDNF,Bdnf
BGN,Bgn
BMP1,Bmp1
CADM1,Cadm1
CALD1,Cald1
CALU,Calu
CAP2,Cap2
CAPG,Capg
CCN1,Ccn1
CCN2,Ccn2
CD44,Cd44
CD59,Cd59a
CDH11,Cdh11
CDH2,Cdh2
CDH6,Cdh6
COL11A1,Col11a1
COL12A1,Col12a1
COL16A1,Col16a1
COL1A1,Col1a1
COL1A2,Col1a2
COL3A1,Col3a1
COL4A1,Col4a1
COL4A2,Col4a2
COL5A1,Col5a1
COL5A2,Col5a2
COL5A3,Col5a3
COL6A2,Col6a2
COL6A3,Col6a3
COL8A2,Col8a2
COLGALT1,Colgalt1
COMP,Comp
COPA,Copa
CRLF1,Crlf1
CTHRC1,Cthrc1
CXCL12,Cxcl12
CXCL6,Cxcl5
DAB2,Dab2
DCN,Dcn
DKK1,Dkk1
DPYSL3,Dpysl3
DST,Dst
ECM1,Ecm1
ECM2,Ecm2
EDIL3,Edil3
EFEMP2,Efemp2
ELN,Eln
EMP3,Emp3
ENO2,Eno2
FAP,Fap
FAS,Fas
FBLN1,Fbln1
FBLN2,Fbln2
FBLN5,Fbln5
FBN1,Fbn1
FBN2,Fbn2
FERMT2,Fermt2
FGF2,Fgf2
FLNA,Flna
FMOD,Fmod
FN1,Fn1
FOXC2,Foxc2
FSTL1,Fstl1
FSTL3,Fstl3
FUCA1,Fuca1
FZD8,Fzd8
GADD45A,Gadd45a
GADD45B,Gadd45b
GAS1,Gas1
GEM,Gem
GJA1,Gja6
GLIPR1,Glipr1
GPC1,Gpc1
GPX7,Gpx7
GREM1,Grem1
HTRA1,Htra1
ID2,Id2
IGFBP2,Igfbp2
IGFBP3,Igfbp3
IGFBP4,Igfbp4
IL15,Il15
IL6,Il6
INHBA,Inhba
ITGA2,Itga2
ITGA5,Itga5
ITGAV,Itgav
ITGB1,Itgb1
ITGB3,Itgb3
ITGB5,Itgb5
JUN,Jun
LAMA1,Lama1
LAMA2,Lama2
LAMA3,Lama3
LAMC1,Lamc1
LAMC2,Lamc2
LGALS1,Lgals1
LOX,Lox
LOXL1,Loxl1
LOXL2,Loxl2
LRP1,Lrp1
LRRC15,Lrrc15
LUM,Lum
MAGEE1,Magee1
MATN2,Matn2
MATN3,Matn3
MCM7,Mcm7
MEST,Mest
MFAP5,Mfap5
MGP,Mgp
MMP14,Mmp14
MMP1,Mmp1a
MMP2,Mmp2
MMP3,Mmp3
MSX1,Msx1
MYL9,Myl9
MYLK,Mylk
NID2,Nid2
NNMT,Nnmt
NOTCH2,Notch2
NT5E,Nt5e
NTM,Ntm
OXTR,Oxtr
P3H1,P3h1
PCOLCE,Pcolce
PCOLCE2,Pcolce2
PDGFRB,Pdgfrb
PDLIM4,Pdlim4
PFN2,Pfn2
PLAUR,Plaur
PLOD1,Plod1
PLOD2,Plod2
PLOD3,Plod3
PMEPA1,Pmepa1
PMP22,Pmp22
POSTN,Postn
PPIB,Ppib
PRRX1,Prrx1
PRSS2,Prss1
PTHLH,Pthlh
PTX3,Ptx3
PVR,Pvr
QSOX1,Qsox1
RGS4,Rgs4
RHOB,Rhob
SAT1,Sat1
SCG2,Scg2
SDC1,Sdc1
SDC4,Sdc4
SERPINE1,Serpine1
SERPINE2,Serpine2
SERPINH1,Serpinh1
SFRP1,Sfrp1
SFRP4,Sfrp4
SGCB,Sgcb
SGCD,Sgcd
SGCG,Sgcg
SLC6A8,Slc6a8
SLIT2,Slit2
SLIT3,Slit3
SNAI2,Snai2
SNTB1,Sntb1
SPARC,Sparc
SPOCK1,Spock1
SPP1,Spp1
TAGLN,Tagln
TFPI2,Tfpi2
TGFB1,Tgfb1
TGFBI,Tgfbi
TGFBR3,Tgfbr3
TGM2,Tgm2
THBS1,Thbs1
THBS2,Thbs2
THY1,Thy1
TIMP1,Timp1
TIMP3,Timp3
TNC,Tnc
TNFAIP3,Tnfaip3
TNFRSF11B,Tnfrsf11b
TNFRSF12A,Tnfrsf12a
TPM1,Tpm1
TPM2,Tpm2
TPM4,Tpm4
VCAM1,Vcam1
VCAN,Vcan
VEGFA,Vegfa
VEGFC,Vegfc
VIM,Vim
WIPF1,Wipf1
WNT5A,Wnt5a
