hsapiens,mmusculus
POSTN,Postn
SGCG,Sgcg
PMEPA1,Pmepa1
CDH2,Cdh2
MSX1,Msx1
SDC4,Sdc4
LOXL2,Loxl2
SLIT2,Slit2
MFAP5,Mfap5
DKK1,Dkk1
MYL9,Myl9
MAGEE1,Magee1
MMP2,Mmp2
GEM,Gem
VCAN,Vcan
GAS1,Gas1
ITGA2,Itga2
FOXC2,Foxc2
SFRP4,Sfrp4
CXCL6,Cxcl5
LAMA3,Lama3
CDH11,Cdh11
LOXL1,Loxl1
MATN3,Matn3
TIMP1,Timp1
TNFRSF11B,Tnfrsf11b
SNAI2,Snai2
MATN2,Matn2
COL6A2,Col6a2
HTRA1,Htra1
PLAUR,Plaur
EDIL3,Edil3
SERPINE1,Serpine1
TPM2,Tpm2
PLOD3,Plod3
COL4A2,Col4a2
DPYSL3,Dpysl3
LAMA1,Lama1
SLC6A8,Slc6a8
SNTB1,Sntb1
SFRP1,Sfrp1
SERPINH1,Serpinh1
IL15,Il15
TNFRSF12A,Tnfrsf12a
COL4A1,Col4a1
FLNA,Flna
GPX7,Gpx7
TGFBR3,Tgfbr3
PDGFRB,Pdgfrb
COL5A3,Col5a3
LAMC1,Lamc1
PMP22,Pmp22
LAMC2,Lamc2
LGALS1,Lgals1
EFEMP2,Efemp2
ANPEP,Anpep
PRRX1,Prrx1
MEST,Mest
PTX3,Ptx3
SAT1,Sat1
TAGLN,Tagln
MMP14,Mmp14
FBLN1,Fbln1
ADAM12,Adam12
BMP1,Bmp1
LUM,Lum
DCN,Dcn
TIMP3,Timp3
LOX,Lox
ENO2,Eno2
LRRC15,Lrrc15
INHBA,Inhba
PCOLCE,Pcolce
COL12A1,Col12a1
PDLIM4,Pdlim4
TGFB1,Tgfb1
VIM,Vim
PTHLH,Pthlh
TGM2,Tgm2
SGCD,Sgcd
THBS2,Thbs2
MMP1,Mmp1a
MMP1,Mmp1b
PLOD1,Plod1
WNT5A,Wnt5a
CCN2,Ccn2
SPP1,Spp1
GREM1,Grem1
FAS,Fas
IGFBP3,Igfbp3
CCN1,Ccn1
ECM2,Ecm2
COL1A1,Col1a1
NID2,Nid2
CTHRC1,Cthrc1
NT5E,Nt5e
LAMA2,Lama2
CRLF1,Crlf1
AREG,Areg
CAP2,Cap2
DAB2,Dab2
ECM1,Ecm1
SDC1,Sdc1
RHOB,Rhob
BGN,Bgn
PRSS2,Prss1l
PRSS2,Prss3
PRSS2,Prss3l
PRSS2,Try10
PRSS2,Prss1
PRSS2,Prss2
PRSS2,Try5
PRSS2,Try4
P3H1,P3h1
ELN,Eln
SGCB,Sgcb
TNC,Tnc
FN1,Fn1
COL5A1,Col5a1
PCOLCE2,Pcolce2
IL6,Il6
MMP3,Mmp3
COL1A2,Col1a2
COLGALT1,Colgalt1
NTM,Ntm
ITGB5,Itgb5
ITGB3,Itgb3
THBS1,Thbs1
FBLN5,Fbln5
CXCL12,Cxcl12
GLIPR1,Glipr1
FERMT2,Fermt2
FGF2,Fgf2
DST,Dst
ACTA2,Acta2
TPM1,Tpm1
FBN1,Fbn1
CALD1,Cald1
CALU,Calu
FZD8,Fzd8
CD44,Cd44
SPARC,Sparc
FBN2,Fbn2
MGP,Mgp
ITGB1,Itgb1
PPIB,Ppib
VEGFA,Vegfa
MYLK,Mylk
SPOCK1,Spock1
SLIT3,Slit3
GJA1,Gja6
VEGFC,Vegfc
COL6A3,Col6a3
THY1,Thy1
TGFBI,Tgfbi
MCM7,Mcm7
TNFAIP3,Tnfaip3
COMP,Comp
ID2,Id2
CDH6,Cdh6
COL8A2,Col8a2
PVR,Pvr
FBLN2,Fbln2
BASP1,Basp1
TFPI2,Tfpi2
FAP,Fap
NOTCH2,Notch2
OXTR,Oxtr
FUCA1,Fuca1
COL16A1,Col16a1
CAPG,Capg
CD59,Cd59a
CD59,Cd59b
TPM4,Tpm4
GADD45B,Gadd45b
IGFBP2,Igfbp2
ITGA5,Itga5
ITGAV,Itgav
PLOD2,Plod2
CADM1,Cadm1
EMP3,Emp3
APLP1,Aplp1
NNMT,Nnmt
ABI3BP,Abi3bp
COPA,Copa
WIPF1,Wipf1
FSTL1,Fstl1
FSTL3,Fstl3
GPC1,Gpc1
SCG2,Scg2
SERPINE2,Serpine2
BDNF,Bdnf
IGFBP4,Igfbp4
PFN2,Pfn2
GADD45A,Gadd45a
LRP1,Lrp1
COL3A1,Col3a1
COL5A2,Col5a2
QSOX1,Qsox1
FMOD,Fmod
COL11A1,Col11a1
RGS4,Rgs4
JUN,Jun
VCAM1,Vcam1
