hsapiens,mmusculus
ADAMTS6,Adamts6
AKAP12,Akap12
ANXA2,Anxa2
ARF1,Arf1
AUTS2,Auts2
C1orf54,BC028528
BOC,Boc
CALM3,Calm3
CD24,Cd24a
CEBPD,Cebpd
CITED1,Cited1
CITED2,Cited2
CLIC1,Clic1
CNMD,Cnmd
CNN2,Cnn2
CNN3,Cnn3
CNPY2,Cnpy2
COL11A1,Col11a1
COL1A1,Col1a1
COL1A2,Col1a2
COL2A1,Col2a1
COL3A1,Col3a1
COL5A2,Col5a2
COL6A2,Col6a2
COL9A1,Col9a1
COL9A2,Col9a2
CPE,Cpe
CRABP1,Crabp1
CRABP2,Crabp2
CSRP2,Csrp2
CXCL12,Cxcl12
DCN,Dcn
DLK1,Dlk1
EBF2,Ebf2
EEF1G,Eef1g
EGFL6,Egfl6
EGR1,Egr1
FABP5,Fabp5
FLRT3,Flrt3
FOS,Fos
FOXC1,Foxc1
FOXP2,Foxp2
FRZB,Frzb
FSCN1,Fscn1
FSTL1,Fstl1
GABARAP,Gabarap
GAS2,Gas2
GDF5,Gdf5
GNAS,Gnas
GPC3,Gpc3
GYPC,Gypc
HBA1,Hba-a1
HBZ,Hba-x
HDAC2,Hdac2
HES1,Hes1
HIC1,Hic1
HMGA1,Hmga1
IER2,Ier2
IFITM3,Ifitm1
IGFBP2,Igfbp2
IGFBP4,Igfbp4
IGFBP5,Igfbp5
IRF1,Irf1
ISLR,Islr
ITM2A,Itm2a
ITM2C,Itm2c
JUNB,Junb
KCTD12,Kctd12
LAMA4,Lama4
LAPTM4A,Laptm4a
LGALS1,Lgals1
LHFPL6,Lhfpl6
LRRC17,Lrrc17
LUM,Lum
LY6E,Ly6e
MAP1B,Map1b
MARCKS,Marcks
MECOM,Mecom
MEIS2,Meis2
MEOX2,Meox2
MEST,Mest
MFAP2,Mfap2
MFAP4,Mfap4
MIA,Mia
MLLT11,Mllt11
MTCH1,Mtch1
MYL12B,Myl12b
MYL6,Myl6
NBL1,Nbl1
NDFIP1,Ndfip1
NDN,Ndn
NENF,Nenf
NFIB,Nfib
NR2F2,Nr2f2
OGN,Ogn
OSR1,Osr1
OSR2,Osr2
PCOLCE,Pcolce
PDGFRA,Pdgfra
PDIA3,Pdia3
PDIA6,Pdia6
PFN1,Pfn1
PFN2,Pfn2
PGRMC1,Pgrmc1
PHPT1,Phpt1
PMP22,Pmp22
PPP1R14A,Ppp1r14a
PPP1R15A,Ppp1r15a
PRMT1,Prmt1
PTN,Ptn
RGS10,Rgs10
RHOA,Rhoa
RHOBTB3,Rhobtb3
RND3,Rnd3
RPL36A,Rpl36a
RPL37A,Rpl37a
RPS20,Rps20
RPS26,Rps26
RPS29,Rps29
S100A11,S100a11
SELENOP,Selenop
SERPINF1,Serpinf1
SERPINH1,Serpinh1
SIX1,Six1
SOCS3,Socs3
SOX4,Sox4
SOX5,Sox5
SOX6,Sox6
SOX9,Sox9
SPARC,Sparc
SPOCK3,Spock3
SPRY1,Spry1
STMN1,Stmn1
SUB1,Sub1
SULF2,Sulf2
TCF4,Tcf4
TCF7L2,Tcf7l2
TIMP1,Timp1
TPM1,Tpm1
TSHZ2,Tshz2
TUBA1B,Tuba1b
TUBB2B,Tubb2b
TUBB,Tubb5
TUSC3,Tusc3
UBC,Ubc
UCHL1,Uchl1
VIM,Vim
WFDC2,Wfdc2
WWP2,Wwp2
YBX1,Ybx1
ZFP36,Zfp36
ZFP36L1,Zfp36l1
MT-ATP6,mt-Atp6
MT-CO1,mt-Co1
MT-CO2,mt-Co2
MT-CO3,mt-Co3
MT-CYB,mt-Cytb
MT-ND3,mt-Nd3
MT-ND4,mt-Nd4
MT-ND4L,mt-Nd4l
MT-ND5,mt-Nd5
