mmusculus,hsapiens
Cdh2,CDH2
Greb1,GREB1
Sqle,SQLE
Tnfrsf19,TNFRSF19
Rspo3,RSPO3
Epha1,EPHA1
Phldb2,PHLDB2
Fdft1,FDFT1
Gata4,GATA4
Pcdh19,PCDH19
Epha4,EPHA4
Snrpn,SNRPN
Apln,APLN
Crb3,CRB3
Hmga2,HMGA2
Sox4,SOX4
Cyp26a1,CYP26A1
Pmaip1,PMAIP1
Id1,ID1
Grb7,GRB7
Slc25a4,SLC25A4
Bcat1,BCAT1
Zic5,ZIC5
Ap3s1,AP3S1
Nefl,NEFL
Gpc3,GPC3
Bex4,BEX4
Tceal8,TCEAL8
Bex1,BEX1
Bex1,BEX2
Ppic,PPIC
Prdm6,PRDM6
Crabp1,CRABP1
Tspan13,TSPAN13
Ezr,EZR
Igfbp4,IGFBP4
Ppfibp1,PPFIBP1
Wls,WLS
Pid1,PID1
Laptm4b,LAPTM4B
Lmo1,LMO1
Zic3,ZIC3
Prickle1,PRICKLE1
Pdgfra,PDGFRA
Lefty2,LEFTY1
Lefty2,LEFTY2
Ccnd2,CCND2
Fgf8,FGF8
Dusp6,DUSP6
Gsc,GSC
Sall3,SALL3
Tmem47,TMEM47
Lef1,LEF1
Kdr,KDR
Dll1,DLL1
Rasgrp3,RASGRP3
Ina,INA
Wnt2,WNT2
Otx2,OTX2
Msmo1,MSMO1
Amot,AMOT
Stmn2,STMN2
Fst,FST
Nkd1,NKD1
Vim,VIM
Maged1,MAGED1
Bambi,BAMBI
Rab25,RAB25
Tpd52,TPD52
Polg,POLG
Id3,ID3
Fabp5,FABP5
Tcea3,TCEA3
Emb,EMB
Krt8,KRT8
Krt18,KRT18
Zfp36l2,ZFP36L2
Mesp1,MESP1
Mesp2,MESP2
Phlda1,PHLDA1
Chst7,CHST7
Gcat,GCAT
Irx5,IRX5
Tenm4,TENM4
Pcdh8,PCDH8
Crip2,CRIP2
Slc2a1,SLC2A1
Msx1,MSX1
Rbp1,RBP1
Gata6,GATA6
L1td1,L1TD1
Gng3,GNG3
Gas1,GAS1
Smad7,SMAD7
Sema6a,SEMA6A
Syt11,SYT11
Arl4d,ARL4D
Idi1,IDI1
Cachd1,CACHD1
Kcnk1,KCNK1
Pmp22,PMP22
Cited2,CITED2
Dnmt3a,DNMT3A
Epha2,EPHA2
Mrps6,MRPS6
Arl4c,ARL4C
Slc7a3,SLC7A3
Pou3f1,POU3F1
T,TBXT
Efna3,EFNA3
Pcsk1n,PCSK1N
Eras,ERAS
Tcf7l2,TCF7L2
Nrp1,NRP1
Dlc1,DLC1
Pim2,PIM2
Mpc2,MPC2
Dusp9,DUSP9
Mest,MEST
Cldn6,CLDN6
Pdzd4,PDZD4
Hes1,HES1
Pou5f1,POU5F1
Pou5f1,POU5F1B
Psors1c2,PSORS1C2
Hmgcs1,HMGCS1
Tuba1a,TUBA1A
Cxcl12,CXCL12
Cald1,CALD1
Bmp4,BMP4
Rbpms2,RBPMS2
Wnt3,WNT3
Pbx1,PBX1
Bst2,BST2
Pim1,PIM1
Pcdh7,PCDH7
Wfdc2,WFDC2
Rasgrp2,RASGRP2
Mkrn1,MKRN1
Frzb,FRZB
Lhx1,LHX1
Sparc,SPARC
Cmtm8,CMTM8
Hand1,HAND1
Cnn2,CNN2
Foxf1,FOXF1
Cldn7,CLDN7
Foxc2,FOXC2
Fn1,FN1
Epcam,EPCAM
Msx2,MSX2
Igfbp2,IGFBP2
Fdps,FDPS
Asb4,ASB4
S100a11,S100A11
S100a10,S100A10
Axin2,AXIN2
Syce2,SYCE2
Nipsnap1,NIPSNAP1
Aplnr,APLNR
Cdh1,CDH1
Lfng,LFNG
Mixl1,MIXL1
Phgdh,PHGDH
Gclm,GCLM
Fgf3,FGF3
Prtg,PRTG
Meis2,MEIS2
Upp1,UPP1
Sox2,SOX2
Phc1,PHC1
Tax1bp3,TAX1BP3
Etv2,ETV2
Cfc1,CFC1
Cfc1,CFC1B
Chchd10,CHCHD10
Slc6a6,SLC6A6
Dll3,DLL3
Trh,TRH
Nanog,NANOG
Nanog,NANOGP8
Ifitm1,IFITM3
Ifitm1,IFITM2
Ifitm1,IFITM1
Rbms1,RBMS1
Agtrap,AGTRAP
Bcat2,BCAT2
Uchl1,UCHL1
Eomes,EOMES
Cdkn1c,CDKN1C
Phlda2,PHLDA2
Spint2,SPINT2
Snai1,SNAI1
Dnmt3b,DNMT3B
Apoe,APOE
Fgf5,FGF5
Myl7,MYL7
Igf2,IGF2
Tmem88,TMEM88
Nav2,NAV2
Tbx3,TBX3
Cst3,CST3
Mogat2,MOGAT2
Serpinh1,SERPINH1
Sp5,SP5
Peg3,PEG3
