mmusculus,hsapiens
1700017B05Rik,C15orf39
A2m,A2M
Actn1,ACTN1
Adora2b,ADORA2B
Agtrap,AGTRAP
Aimp2,AIMP2
Ak2,AK2
Aldh1a2,ALDH1A2
Alpl,ALPL
Alx1,ALX1
Alx3,ALX3
Alx4,ALX4
Amot,AMOT
Anxa7,ANXA7
Ap3s1,AP3S1
Apln,APLN
Aplnr,APLNR
Apoe,APOE
Arg1,ARG1
Arl4c,ARL4C
Arl4d,ARL4D
Asb4,ASB4
Atad3a,ATAD3A
Atic,ATIC
Axin2,AXIN2
Bambi,BAMBI
Bcat1,BCAT1
Bcat2,BCAT2
Bex1,BEX1
Bex4,BEX4
Bgn,BGN
Bmp4,BMP4
Bmpr1b,BMPR1B
Bst2,BST2
Cachd1,CACHD1
Cadm1,CADM1
Cald1,CALD1
Calm1,CALM1
Car14,CA14
Ccl6,CCL15
Ccnd1,CCND1
Ccnd2,CCND2
Ccnd3,CCND3
Ccnjl,CCNJL
Cd248,CD248
Cd24a,CD24
Cd63,CD63
Cdc14b,CDC14B
Cdc42ep5,CDC42EP5
Cdh1,CDH1
Cdh11,CDH11
Cdh2,CDH2
Cdk6,CDK6
Cdkn1a,CDKN1A
Cdkn1c,CDKN1C
Cdx1,CDX1
Cdx2,CDX2
Cdx4,CDX4
Cfc1,CFC1
Chchd10,CHCHD10
Chd3,CHD3
Chst7,CHST7
Cited1,CITED1
Cited2,CITED2
Cldn6,CLDN6
Cldn7,CLDN7
Clmp,CLMP
Cmtm8,CMTM8
Cnn2,CNN2
Col18a1,COL18A1
Col23a1,COL23A1
Col26a1,COL26A1
Col3a1,COL3A1
Col4a1,COL4A1
Col9a1,COL9A1
Colec12,COLEC12
Cped1,CPED1
Crabp1,CRABP1
Crabp2,CRABP2
Crb3,CRB3
Crip2,CRIP2
Crym,CRYM
Csn3,CSN3
Csrp2,CSRP2
Cst3,CST3
Cxcl12,CXCL12
Cxxc5,CXXC5
Cyp26a1,CYP26A1
Cyth3,CYTH3
Dact3,DACT3
Dchs1,DCHS1
Ddit4,DDIT4
Ddr2,DDR2
Ddx31,DDX31
Ddx56,DDX56
Desi1,DESI1
Dhrs3,DHRS3
Dixdc1,DIXDC1
Dkk1,DKK1
Dlc1,DLC1
Dll1,DLL1
Dll3,DLL3
Dnmt3a,DNMT3A
Dnmt3b,DNMT3B
Dst,DST
Dusp12,DUSP12
Dusp4,DUSP4
Dusp6,DUSP6
Dusp7,DUSP7
Dusp9,DUSP9
Ebf3,EBF3
Eef1d,EEF1D
Eef2k,EEF2K
Efna1,EFNA1
Efna3,EFNA3
Eif4ebp1,EIF4EBP1
Emb,EMB
Emg1,EMG1
Emilin1,EMILIN1
Eml3,EML3
Eomes,EOMES
Epb41l3,EPB41L3
Epcam,EPCAM
Epha1,EPHA1
Epha2,EPHA2
Epha4,EPHA4
Epha5,EPHA5
Eras,ERAS
Ets2,ETS2
Etv2,ETV2
Etv4,ETV4
Eva1b,EVA1B
Evx1,EVX1
Ezr,EZR
Fabp5,FABP5
Fam43a,FAM43A
Farp1,FARP1
Fbln5,FBLN5
Fbn2,FBN2
Fdft1,FDFT1
Fdps,FDPS
Fgf17,FGF17
Fgf3,FGF3
Fgf5,FGF5
Fgf8,FGF8
Fgfbp3,FGFBP3
Fhl3,FHL3
Fli1,FLI1
Flnc,FLNC
Flrt2,FLRT2
Fn1,FN1
Foxc1,FOXC1
Foxc2,FOXC2
Foxf1,FOXF1
Foxp1,FOXP1
Fpgs,FPGS
Frmd6,FRMD6
Frzb,FRZB
Fst,FST
Fstl1,FSTL1
Fzd10,FZD10
Fzd2,FZD2
Gas1,GAS1
Gata4,GATA4
Gata6,GATA6
Gbx2,GBX2
Gcat,GCAT
Gclm,GCLM
Gldc,GLDC
Gnai2,GNAI2
Gng3,GNG3
Gpc3,GPC3
Grb7,GRB7
Greb1,GREB1
Greb1l,GREB1L
Grsf1,GRSF1
Gsc,GSC
Gusb,GUSB
Hand1,HAND1
Hapln1,HAPLN1
Hdac7,HDAC7
Hes1,HES1
Hes3,HES3
Hes7,HES7
Hmces,HMCES
Hmga2,HMGA2
Hmgcs1,HMGCS1
Hopx,HOPX
Hoxa9,HOXA9
Hoxb8,HOXB8
Hoxb9,HOXB9
Hoxc8,HOXC8
Hoxd9,HOXD9
Hspa9,HSPA9
Id1,ID1
Id2,ID2
Id3,ID3
Idi1,IDI1
Ifitm1,IFITM1
Ifrd2,IFRD2
Igdcc3,IGDCC3
Igf2,IGF2
Igfbp2,IGFBP2
Igfbp4,IGFBP4
Il11ra1,IL11RA
Impdh1,IMPDH1
Ina,INA
Irx5,IRX5
Itga8,ITGA8
Itga9,ITGA9
Itgb5,ITGB5
Itm2c,ITM2C
Jpt1,JPT1
Kcnk1,KCNK1
Kctd1,KCTD1
Kdr,KDR
Krt18,KRT18
Krt8,KRT8
L1td1,L1TD1
Lamc1,LAMC1
Lamp5,LAMP5
Laptm4b,LAPTM4B
Lef1,LEF1
Lefty2,LEFTY1
Lfng,LFNG
Lhpp,LHPP
Lhx1,LHX1
Lima1,LIMA1
Limch1,LIMCH1
Lin28a,LIN28A
Lin28b,LIN28B
Lix1,LIX1
Lmo1,LMO1
Lmo2,LMO2
Lrig3,LRIG3
Lrp1,LRP1
Lrrc58,LRRC58
Lum,LUM
Maged1,MAGED1
Maged2,MAGED2
Map1b,MAP1B
Meis2,MEIS2
Meox1,MEOX1
Mesp1,MESP1
Mesp2,MESP2
Mest,MEST
Mettl13,METTL13
Mfap2,MFAP2
Mfap4,MFAP4
Mgst1,MGST1
Mixl1,MIXL1
Mkrn1,MKRN1
Mmp2,MMP2
Mogat2,MOGAT2
Mpc2,MPC2
Mrc2,MRC2
Mrpl12,MRPL12
Mrpl34,MRPL34
Mrps34,MRPS34
Mrps6,MRPS6
Msgn1,MSGN1
Msmo1,MSMO1
Msx1,MSX1
Msx2,MSX2
Mthfd1,MTHFD1
Mthfd2,MTHFD2
Myc,MYC
Myl12b,MYL12B
Myl7,MYL7
Myo1b,MYO1B
Nanog,NANOG
Nav2,NAV2
Ncam1,NCAM1
Ncl,NCL
Nefl,NEFL
Net1,NET1
Nhp2,NHP2
Nid1,NID1
Nin,NIN
Nipsnap1,NIPSNAP1
Nkd1,NKD1
Nkd2,NKD2
Nkx1-2,NKX1-2
Nme1,NME1
Nol9,NOL9
Nolc1,NOLC1
Notch1,NOTCH1
Npm3,NPM3
Nrarp,NRARP
Nrp1,NRP1
Obsl1,OBSL1
Odc1,ODC1
Osr1,OSR1
Otx2,OTX2
Pabpc1,PABPC1
Pacsin2,PACSIN2
Pbx1,PBX1
Pcdh18,PCDH18
Pcdh19,PCDH19
Pcdh7,PCDH7
Pcdh8,PCDH8
Pcolce,PCOLCE
Pcsk1n,PCSK1N
Pde4a,PDE4A
Pdgfra,PDGFRA
Pdgfrb,PDGFRB
Pdlim4,PDLIM4
Pdzd4,PDZD4
Peg3,PEG3
Pgm2,PGM2
Phc1,PHC1
Phgdh,PHGDH
Phlda1,PHLDA1
Phlda2,PHLDA2
Phldb2,PHLDB2
Pid1,PID1
Pim1,PIM1
Pim2,PIM2
Pitrm1,PITRM1
Plagl1,PLAGL1
Plcb1,PLCB1
Plvap,PLVAP
Pmaip1,PMAIP1
Pmp22,PMP22
Polg,POLG
Polr2e,POLR2E
Pou3f1,POU3F1
Pou5f1,POU5F1
Ppan,PPAN
Ppfibp1,PPFIBP1
Ppfibp2,PPFIBP2
Ppib,PPIB
Ppic,PPIC
Prdm6,PRDM6
Prdx6,PRDX6
Prex2,PREX2
Prickle1,PRICKLE1
Prrx1,PRRX1
Prrx2,PRRX2
Prtg,PRTG
Psmg1,PSMG1
Psors1c2,PSORS1C2
Ptgis,PTGIS
Ptk7,PTK7
Ptn,PTN
Pus7,PUS7
Pwp2,PWP2
Rab25,RAB25
Rab3il1,RAB3IL1
Rai14,RAI14
Rarb,RARB
Rarg,RARG
Rasgrp2,RASGRP2
Rasgrp3,RASGRP3
Rbms1,RBMS1
Rbp1,RBP1
Rbpms2,RBPMS2
Reep5,REEP5
Rhod,RHOD
Rhoj,RHOJ
Rin2,RIN2
Rnf213,RNF213
Rrm2,RRM2
Rrp8,RRP8
Rspo3,RSPO3
Ruvbl1,RUVBL1
Ruvbl2,RUVBL2
S100a10,S100A10
S100a11,S100A11
S100a6,S100A6
S1pr2,S1PR2
S1pr3,S1PR3
Sall3,SALL3
Sall4,SALL4
Sct,SCT
Sdc1,SDC1
Sema3e,SEMA3E
Sema5a,SEMA5A
Sema6a,SEMA6A
Serpinf1,SERPINF1
Serpinh1,SERPINH1
Sertad4,SERTAD4
Sfrp2,SFRP2
Sh2d3c,SH2D3C
Sh3bp5,SH3BP5
Shc1,SHC1
Six1,SIX1
Six2,SIX2
Slc1a5,SLC1A5
Slc25a22,SLC25A22
Slc25a4,SLC25A4
Slc2a1,SLC2A1
Slc38a4,SLC38A4
Slc6a6,SLC6A6
Slc7a3,SLC7A3
Slc7a5,SLC7A5
Smad7,SMAD7
Smc6,SMC6
Smoc1,SMOC1
Smpdl3b,SMPDL3B
Snai1,SNAI1
Snai2,SNAI2
Snrpn,SNRPN
Sox2,SOX2
Sox3,SOX3
Sox4,SOX4
Sp5,SP5
Sparc,SPARC
Spint2,SPINT2
Spred2,SPRED2
Spry4,SPRY4
Sqle,SQLE
Srm,SRM
Ssbp3,SSBP3
St6galnac4,ST6GALNAC4
Stambpl1,STAMBPL1
Stmn2,STMN2
Sulf2,SULF2
Syce2,SYCE2
Syt11,SYT11
T,TBXT
Taf4b,TAF4B
Tax1bp3,TAX1BP3
Tbx2,TBX2
Tbx3,TBX3
Tbx6,TBX6
Tcea3,TCEA3
Tceal8,TCEAL8
Tcf15,TCF15
Tcf7l1,TCF7L1
Tcf7l2,TCF7L2
Tenm4,TENM4
Tmem119,TMEM119
Tmem200b,TMEM200B
Tmem47,TMEM47
Tmem88,TMEM88
Tnfaip6,TNFAIP6
Tnfrsf19,TNFRSF19
Tns1,TNS1
Top2a,TOP2A
Tpd52,TPD52
Tpm1,TPM1
Tpm4,TPM4
Traf3ip2,TRAF3IP2
Traf4,TRAF4
Trh,TRH
Tril,TRIL
Tspan13,TSPAN13
Tuba1a,TUBA1A
Tubb2b,TUBB2B
Tubb4b,TUBB4B
Twist1,TWIST1
Uap1l1,UAP1L1
Ubl4b,UBL4B
Uchl1,UCHL1
Upp1,UPP1
Vasn,VASN
Vcam1,VCAM1
Vegfc,VEGFC
Vim,VIM
Wdr74,WDR74
Wdr75,WDR75
Wfdc2,WFDC2
Wls,WLS
Wnt2,WNT2
Wnt3,WNT3
Wnt3a,WNT3A
Wnt5a,WNT5A
Wnt5b,WNT5B
Xpo5,XPO5
Ypel3,YPEL3
Zfp36l2,ZFP36L2
Zfp503,ZNF503
Zic2,ZIC2
Zic3,ZIC3
Zic5,ZIC5
Znhit6,ZNHIT6
