mmusculus,hsapiens
Fbn2,FBN2
Greb1,GREB1
Cdx1,CDX1
Odc1,ODC1
Map1b,MAP1B
Maged2,MAGED2
Rspo3,RSPO3
Rrm2,RRM2
Ncam1,NCAM1
Wnt5a,WNT5A
Id2,ID2
Pcdh19,PCDH19
Gldc,GLDC
Dkk1,DKK1
Wnt3a,WNT3A
Cyp26a1,CYP26A1
Id1,ID1
Lamc1,LAMC1
Calm1,CALM1
Nin,NIN
Lrig3,LRIG3
Epb41l3,EPB41L3
Zic5,ZIC5
Zic2,ZIC2
Gpc3,GPC3
Bex4,BEX4
Bex1,BEX1
Bex1,BEX2
Crabp1,CRABP1
Tubb2b,TUBB2B
Myl12b,MYL12B
Ezr,EZR
Top2a,TOP2A
Igfbp4,IGFBP4
Car14,CA14
Gnai2,GNAI2
Laptm4b,LAPTM4B
Ets2,ETS2
Hes3,HES3
Pabpc1,PABPC1
Pabpc1,PABPC3
Pitrm1,PITRM1
Fgf8,FGF8
Cdx2,CDX2
Npm3,NPM3
Lef1,LEF1
Lin28a,LIN28A
Dll1,DLL1
Lix1,LIX1
Smoc1,SMOC1
Amot,AMOT
Stmn2,STMN2
Ccnjl,CCNJL
Nkd1,NKD1
Sema3e,SEMA3E
Foxp1,FOXP1
Maged1,MAGED1
Id3,ID3
Fabp5,FABP5
Greb1l,GREB1L
Osr1,OSR1
Msgn1,MSGN1
Smc6,SMC6
Cited1,CITED1
Ptk7,PTK7
Cxxc5,CXXC5
Slc2a1,SLC2A1
Msx1,MSX1
Sox3,SOX3
Rbp1,RBP1
Zfp503,ZNF503
Epha5,EPHA5
Plagl1,PLAGL1
Arl4d,ARL4D
Etv4,ETV4
Meox1,MEOX1
Fzd10,FZD10
Cited2,CITED2
Hoxd9,HOXD9
Gbx2,GBX2
Foxc1,FOXC1
Mgst1,MGST1
T,TBXT
Efna1,EFNA1
Grsf1,GRSF1
Hoxc8,HOXC8
Col18a1,COL18A1
Dlc1,DLC1
Pdlim4,PDLIM4
Mest,MEST
Fgfbp3,FGFBP3
Igdcc3,IGDCC3
Nkx1-2,NKX1-2
Lhpp,LHPP
Cald1,CALD1
Ptn,PTN
Ppib,PPIB
Frzb,FRZB
Tpm1,TPM1
Arg1,ARG1
Foxf1,FOXF1
Sfrp2,SFRP2
Foxc2,FOXC2
Fgf17,FGF17
Fn1,FN1
Wnt5b,WNT5B
Limch1,LIMCH1
Ddit4,DDIT4
Uap1l1,UAP1L1
Aldh1a2,ALDH1A2
Msx2,MSX2
Igfbp2,IGFBP2
Dusp4,DUSP4
Hoxa9,HOXA9
Evx1,EVX1
Cdx4,CDX4
S100a11,S100A11
Axin2,AXIN2
Sall4,SALL4
Alpl,ALPL
Cd24a,CD24
Crabp2,CRABP2
Jpt1,JPT1
Notch1,NOTCH1
Fgf3,FGF3
Prtg,PRTG
Meis2,MEIS2
Ccnd1,CCND1
Dst,DST
Dll3,DLL3
Ifitm2,IFITM3
Ifitm2,IFITM2
Ifitm2,IFITM1
Ifitm1,IFITM3
Ifitm1,IFITM2
Ifitm1,IFITM1
Ypel3,YPEL3
Tbx6,TBX6
Cdkn1a,CDKN1A
Uchl1,UCHL1
Phlda2,PHLDA2
Spint2,SPINT2
Snai1,SNAI1
Fzd2,FZD2
Lmo2,LMO2
Hes7,HES7
Igf2,IGF2
Chd3,CHD3
Hoxb9,HOXB9
Hoxb8,HOXB8
Cadm1,CADM1
Rnf213,RNF213
Sct,SCT
Tcf15,TCF15
Sp5,SP5
Peg3,PEG3
Nrarp,NRARP
Tubb4b,TUBB4B
