mmusculus,hsapiens
1700017B05Rik,C15orf39
A2m,A2M
Abi3bp,ABI3BP
Acta2,ACTA2
Actn1,ACTN1
Adam12,ADAM12
Adamts6,ADAMTS6
Adora2b,ADORA2B
Agtrap,AGTRAP
Aimp2,AIMP2
Ak2,AK2
Akap12,AKAP12
Akr1e1,AKR1E2
Aldh1a2,ALDH1A2
Aldoa,ALDOA
Alpl,ALPL
Alx1,ALX1
Alx3,ALX3
Alx4,ALX4
Amot,AMOT
Anpep,ANPEP
Anxa2,ANXA2
Anxa7,ANXA7
Ap3s1,AP3S1
Apln,APLN
Aplnr,APLNR
Aplp1,APLP1
Apod,APOD
Apoe,APOE
Areg,AREG
Arf1,ARF1
Arg1,ARG1
Arhgef26,ARHGEF26
Arl4c,ARL4C
Arl4d,ARL4D
Arpc1b,ARPC1B
Asb4,ASB4
Atad3a,ATAD3A
Atic,ATIC
Auts2,AUTS2
Axin2,AXIN2
BC028528,C1orf54
Bambi,BAMBI
Basp1,BASP1
Bcar3,BCAR3
Bcat1,BCAT1
Bcat2,BCAT2
Bdnf,BDNF
Bex1,BEX1
Bex4,BEX4
Bgn,BGN
Bmp1,BMP1
Bmp4,BMP4
Bmpr1b,BMPR1B
Bnip3,BNIP3
Boc,BOC
Bst2,BST2
Cachd1,CACHD1
Cadm1,CADM1
Cald1,CALD1
Calm1,CALM1
Calm3,CALM3
Calu,CALU
Cap2,CAP2
Capg,CAPG
Capn6,CAPN6
Car14,CA14
Car4,CA4
Ccl6,CCL15
Ccn1,CCN1
Ccn2,CCN2
Ccnd1,CCND1
Ccnd2,CCND2
Ccnd3,CCND3
Ccnjl,CCNJL
Cd248,CD248
Cd24a,CD24
Cd44,CD44
Cd59a,CD59
Cd63,CD63
Cdc14b,CDC14B
Cdc42ep5,CDC42EP5
Cdh1,CDH1
Cdh11,CDH11
Cdh2,CDH2
Cdh6,CDH6
Cdk18,CDK18
Cdk6,CDK6
Cdkn1a,CDKN1A
Cdkn1c,CDKN1C
Cdx1,CDX1
Cdx2,CDX2
Cdx4,CDX4
Cebpd,CEBPD
Celf2,CELF2
Cfc1,CFC1
Chchd10,CHCHD10
Chd3,CHD3
Chst7,CHST7
Cited1,CITED1
Cited2,CITED2
Cldn1,CLDN1
Cldn6,CLDN6
Cldn7,CLDN7
Clic1,CLIC1
Clmp,CLMP
Clu,CLU
Cmtm8,CMTM8
Cnmd,CNMD
Cnn2,CNN2
Cnn3,CNN3
Cnp,CNP
Cnpy2,CNPY2
Col11a1,COL11A1
Col12a1,COL12A1
Col16a1,COL16A1
Col18a1,COL18A1
Col1a1,COL1A1
Col1a2,COL1A2
Col23a1,COL23A1
Col26a1,COL26A1
Col2a1,COL2A1
Col3a1,COL3A1
Col4a1,COL4A1
Col4a2,COL4A2
Col5a1,COL5A1
Col5a2,COL5A2
Col5a3,COL5A3
Col6a2,COL6A2
Col6a3,COL6A3
Col8a2,COL8A2
Col9a1,COL9A1
Col9a2,COL9A2
Colec12,COLEC12
Colgalt1,COLGALT1
Comp,COMP
Copa,COPA
Cox17,COX17
Cpe,CPE
Cped1,CPED1
Crabp1,CRABP1
Crabp2,CRABP2
Crb3,CRB3
Crip2,CRIP2
Crlf1,CRLF1
Crym,CRYM
Csn3,CSN3
Csrp2,CSRP2
Cst3,CST3
Cthrc1,CTHRC1
Cxcl12,CXCL12
Cxcl5,CXCL6
Cxxc5,CXXC5
Cyp26a1,CYP26A1
Cyth3,CYTH3
Dab1,DAB1
Dab2,DAB2
Dact3,DACT3
Dchs1,DCHS1
Dcn,DCN
Ddit4,DDIT4
Ddr2,DDR2
Ddt,DDT
Ddx31,DDX31
Ddx56,DDX56
Desi1,DESI1
Dhrs3,DHRS3
Dixdc1,DIXDC1
Dkk1,DKK1
Dlc1,DLC1
Dlk1,DLK1
Dll1,DLL1
Dll3,DLL3
Dlx1,DLX1
Dlx2,DLX2
Dlx5,DLX5
Dnmt3a,DNMT3A
Dnmt3b,DNMT3B
Dpysl3,DPYSL3
Dpysl5,DPYSL5
Dst,DST
Dtx4,DTX4
Dusp12,DUSP12
Dusp4,DUSP4
Dusp6,DUSP6
Dusp7,DUSP7
Dusp9,DUSP9
Ebf2,EBF2
Ebf3,EBF3
Ecm1,ECM1
Ecm2,ECM2
Edil3,EDIL3
Ednrb,EDNRB
Eef1d,EEF1D
Eef1g,EEF1G
Eef2k,EEF2K
Efemp2,EFEMP2
Efna1,EFNA1
Efna3,EFNA3
Egfl6,EGFL6
Egr1,EGR1
Eif4ebp1,EIF4EBP1
Eln,ELN
Emb,EMB
Emg1,EMG1
Emilin1,EMILIN1
Eml3,EML3
Emp3,EMP3
Eno2,ENO2
Enpp2,ENPP2
Eomes,EOMES
Epb41l3,EPB41L3
Epcam,EPCAM
Epha1,EPHA1
Epha2,EPHA2
Epha4,EPHA4
Epha5,EPHA5
Eras,ERAS
Erbb3,ERBB3
Esr1,ESR1
Ets1,ETS1
Ets2,ETS2
Etv2,ETV2
Etv4,ETV4
Eva1b,EVA1B
Evx1,EVX1
Eya1,EYA1
Ezr,EZR
Fabp5,FABP5
Fam181b,FAM181B
Fam43a,FAM43A
Fam89a,FAM89A
Fap,FAP
Farp1,FARP1
Fas,FAS
Fbln1,FBLN1
Fbln2,FBLN2
Fbln5,FBLN5
Fbn1,FBN1
Fbn2,FBN2
Fdft1,FDFT1
Fdps,FDPS
Fermt2,FERMT2
Fgf17,FGF17
Fgf2,FGF2
Fgf3,FGF3
Fgf5,FGF5
Fgf8,FGF8
Fgfbp3,FGFBP3
Fgfr2,FGFR2
Fhl3,FHL3
Fli1,FLI1
Flna,FLNA
Flnc,FLNC
Flrt2,FLRT2
Flrt3,FLRT3
Fmod,FMOD
Fn1,FN1
Fos,FOS
Foxc1,FOXC1
Foxc2,FOXC2
Foxd3,FOXD3
Foxf1,FOXF1
Foxp1,FOXP1
Foxp2,FOXP2
Fpgs,FPGS
Frmd6,FRMD6
Frzb,FRZB
Fscn1,FSCN1
Fst,FST
Fstl1,FSTL1
Fstl3,FSTL3
Fuca1,FUCA1
Fyn,FYN
Fzd10,FZD10
Fzd2,FZD2
Fzd8,FZD8
Gabarap,GABARAP
Gadd45a,GADD45A
Gadd45b,GADD45B
Galk1,GALK1
Gas1,GAS1
Gas2,GAS2
Gata4,GATA4
Gata5,GATA5
Gata6,GATA6
Gbx2,GBX2
Gcat,GCAT
Gclm,GCLM
Gdf5,GDF5
Gdpd5,GDPD5
Gem,GEM
Gfra1,GFRA1
Gja6,GJA1
Gldc,GLDC
Glipr1,GLIPR1
Gnai2,GNAI2
Gnas,GNAS
Gng3,GNG3
Gpc1,GPC1
Gpc3,GPC3
Gpx3,GPX3
Gpx7,GPX7
Grb7,GRB7
Greb1,GREB1
Greb1l,GREB1L
Grem1,GREM1
Grsf1,GRSF1
Gsc,GSC
Gusb,GUSB
Gypc,GYPC
Hand1,HAND1
Hapln1,HAPLN1
Hba-a1,HBA1
Hba-x,HBZ
Hbb-y,HBE1
Hdac2,HDAC2
Hdac7,HDAC7
Hes1,HES1
Hes3,HES3
Hes7,HES7
Hic1,HIC1
Hmces,HMCES
Hmga1,HMGA1
Hmga2,HMGA2
Hmgcs1,HMGCS1
Homer2,HOMER2
Hopx,HOPX
Hoxa1,HOXA1
Hoxa5,HOXA5
Hoxa7,HOXA7
Hoxa9,HOXA9
Hoxb1,HOXB1
Hoxb6,HOXB6
Hoxb7,HOXB7
Hoxb8,HOXB8
Hoxb9,HOXB9
Hoxc4,HOXC4
Hoxc6,HOXC6
Hoxc8,HOXC8
Hoxc9,HOXC9
Hoxd9,HOXD9
Hsd11b2,HSD11B2
Hspa1a,HSPA1A
Hspa9,HSPA9
Htra1,HTRA1
Id1,ID1
Id2,ID2
Id3,ID3
Idi1,IDI1
Ier2,IER2
Ifitm1,IFITM1
Ifitm3,IFITM3
Ifrd2,IFRD2
Igdcc3,IGDCC3
Igf2,IGF2
Igfbp2,IGFBP2
Igfbp3,IGFBP3
Igfbp4,IGFBP4
Igfbp5,IGFBP5
Igfbpl1,IGFBPL1
Il11ra1,IL11RA
Il15,IL15
Il6,IL6
Impdh1,IMPDH1
Ina,INA
Inhba,INHBA
Irf1,IRF1
Irx1,IRX1
Irx3,IRX3
Irx5,IRX5
Isl1,ISL1
Islr,ISLR
Itga2,ITGA2
Itga5,ITGA5
Itga6,ITGA6
Itga8,ITGA8
Itga9,ITGA9
Itgav,ITGAV
Itgb1,ITGB1
Itgb3,ITGB3
Itgb5,ITGB5
Itm2a,ITM2A
Itm2c,ITM2C
Jpt1,JPT1
Jun,JUN
Junb,JUNB
Kcnk1,KCNK1
Kctd1,KCTD1
Kctd12,KCTD12
Kdr,KDR
Krt18,KRT18
Krt8,KRT8
L1td1,L1TD1
Lama1,LAMA1
Lama2,LAMA2
Lama3,LAMA3
Lama4,LAMA4
Lamc1,LAMC1
Lamc2,LAMC2
Lamp5,LAMP5
Laptm4a,LAPTM4A
Laptm4b,LAPTM4B
Lef1,LEF1
Lefty2,LEFTY1
Lfng,LFNG
Lgals1,LGALS1
Lhfpl6,LHFPL6
Lhpp,LHPP
Lhx1,LHX1
Lima1,LIMA1
Limch1,LIMCH1
Lin28a,LIN28A
Lin28b,LIN28B
Lix1,LIX1
Lmo1,LMO1
Lmo2,LMO2
Lox,LOX
Loxl1,LOXL1
Loxl2,LOXL2
Lpar1,LPAR1
Lrig3,LRIG3
Lrp1,LRP1
Lrrc15,LRRC15
Lrrc17,LRRC17
Lrrc58,LRRC58
Lsr,LSR
Lum,LUM
Ly6e,LY6E
Mab21l1,MAB21L1
Mab21l2,MAB21L2
Maged1,MAGED1
Maged2,MAGED2
Magee1,MAGEE1
Map1b,MAP1B
Marcks,MARCKS
Matn2,MATN2
Matn3,MATN3
Mcm7,MCM7
Mdk,MDK
Mecom,MECOM
Mef2c,MEF2C
Meis2,MEIS2
Meox1,MEOX1
Meox2,MEOX2
Mesp1,MESP1
Mesp2,MESP2
Mest,MEST
Mettl13,METTL13
Mfap2,MFAP2
Mfap4,MFAP4
Mfap5,MFAP5
Mgp,MGP
Mgst1,MGST1
Mia,MIA
Mixl1,MIXL1
Mkrn1,MKRN1
Mllt11,MLLT11
Mmd,MMD
Mmp14,MMP14
Mmp1a,MMP1
Mmp2,MMP2
Mmp3,MMP3
Mogat2,MOGAT2
Mpc2,MPC2
Mpped2,MPPED2
Mrc2,MRC2
Mrpl12,MRPL12
Mrpl34,MRPL34
Mrps34,MRPS34
Mrps6,MRPS6
Msgn1,MSGN1
Msmo1,MSMO1
Msx1,MSX1
Msx2,MSX2
Mtch1,MTCH1
Mthfd1,MTHFD1
Mthfd2,MTHFD2
Myc,MYC
Mycn,MYCN
Myl12b,MYL12B
Myl4,MYL4
Myl6,MYL6
Myl7,MYL7
Myl9,MYL9
Mylk,MYLK
Myo1b,MYO1B
Nanog,NANOG
Nav2,NAV2
Nbl1,NBL1
Ncam1,NCAM1
Ncl,NCL
Ndfip1,NDFIP1
Ndn,NDN
Nedd9,NEDD9
Nefl,NEFL
Nenf,NENF
Net1,NET1
Neurog2,NEUROG2
Nfib,NFIB
Ngfr,NGFR
Nhp2,NHP2
Nid1,NID1
Nid2,NID2
Nin,NIN
Nipsnap1,NIPSNAP1
Nkd1,NKD1
Nkd2,NKD2
Nkx1-2,NKX1-2
Nkx2-5,NKX2-5
Nme1,NME1
Nmnat2,NMNAT2
Nnmt,NNMT
Nol9,NOL9
Nolc1,NOLC1
Notch1,NOTCH1
Notch2,NOTCH2
Npm3,NPM3
Npr3,NPR3
Nr2f2,NR2F2
Nrarp,NRARP
Nrp1,NRP1
Nrp2,NRP2
Nt5e,NT5E
Ntm,NTM
Obsl1,OBSL1
Odc1,ODC1
Ogn,OGN
Osr1,OSR1
Osr2,OSR2
Otx2,OTX2
Oxtr,OXTR
P3h1,P3H1
Pabpc1,PABPC1
Pacsin2,PACSIN2
Pax3,PAX3
Pbx1,PBX1
Pcbd1,PCBD1
Pcdh18,PCDH18
Pcdh19,PCDH19
Pcdh7,PCDH7
Pcdh8,PCDH8
Pcolce,PCOLCE
Pcolce2,PCOLCE2
Pcsk1n,PCSK1N
Pcsk9,PCSK9
Pdcd4,PDCD4
Pde4a,PDE4A
Pdgfra,PDGFRA
Pdgfrb,PDGFRB
Pdia3,PDIA3
Pdia6,PDIA6
Pdlim4,PDLIM4
Pdzd4,PDZD4
Peg3,PEG3
Pfn1,PFN1
Pfn2,PFN2
Pgm2,PGM2
Pgrmc1,PGRMC1
Phactr1,PHACTR1
Phc1,PHC1
Phgdh,PHGDH
Phlda1,PHLDA1
Phlda2,PHLDA2
Phldb2,PHLDB2
Phpt1,PHPT1
Pid1,PID1
Pim1,PIM1
Pim2,PIM2
Pitrm1,PITRM1
Pla2g7,PLA2G7
Plagl1,PLAGL1
Plaur,PLAUR
Plcb1,PLCB1
Plcg2,PLCG2
Plod1,PLOD1
Plod2,PLOD2
Plod3,PLOD3
Plp1,PLP1
Plvap,PLVAP
Pmaip1,PMAIP1
Pmepa1,PMEPA1
Pmp22,PMP22
Polg,POLG
Polr2e,POLR2E
Postn,POSTN
Pou3f1,POU3F1
Pou5f1,POU5F1
Ppan,PPAN
Ppfibp1,PPFIBP1
Ppfibp2,PPFIBP2
Ppib,PPIB
Ppic,PPIC
Ppp1r14a,PPP1R14A
Ppp1r15a,PPP1R15A
Ppp1r1a,PPP1R1A
Prdm12,PRDM12
Prdm6,PRDM6
Prdx6,PRDX6
Prex2,PREX2
Prickle1,PRICKLE1
Prmt1,PRMT1
Prrx1,PRRX1
Prrx2,PRRX2
Prss1,PRSS2
Prtg,PRTG
Psmg1,PSMG1
Psors1c2,PSORS1C2
Ptgis,PTGIS
Pthlh,PTHLH
Ptk7,PTK7
Ptn,PTN
Ptprz1,PTPRZ1
Ptx3,PTX3
Pus7,PUS7
Pvr,PVR
Pwp2,PWP2
Pxdc1,PXDC1
Qsox1,QSOX1
Rab25,RAB25
Rab3il1,RAB3IL1
Rai14,RAI14
Rarb,RARB
Rarg,RARG
Rasgrp2,RASGRP2
Rasgrp3,RASGRP3
Rbbp9,RBBP9
Rbms1,RBMS1
Rbp1,RBP1
Rbpms2,RBPMS2
Rdh10,RDH10
Reep5,REEP5
Ret,RET
Rgs10,RGS10
Rgs4,RGS4
Rhoa,RHOA
Rhob,RHOB
Rhobtb3,RHOBTB3
Rhod,RHOD
Rhoj,RHOJ
Rin2,RIN2
Rnd3,RND3
Rnf213,RNF213
Rpl36a,RPL36A
Rpl37a,RPL37A
Rps20,RPS20
Rps26,RPS26
Rps29,RPS29
Rras2,RRAS2
Rrm2,RRM2
Rrp8,RRP8
Rspo3,RSPO3
Ruvbl1,RUVBL1
Ruvbl2,RUVBL2
S100a10,S100A10
S100a11,S100A11
S100a6,S100A6
S1pr2,S1PR2
S1pr3,S1PR3
Sall3,SALL3
Sall4,SALL4
Sat1,SAT1
Scg2,SCG2
Sct,SCT
Sdc1,SDC1
Sdc4,SDC4
Selenop,SELENOP
Sema3e,SEMA3E
Sema5a,SEMA5A
Sema6a,SEMA6A
Serpine1,SERPINE1
Serpine2,SERPINE2
Serpinf1,SERPINF1
Serpinh1,SERPINH1
Sertad4,SERTAD4
Sfrp1,SFRP1
Sfrp2,SFRP2
Sfrp4,SFRP4
Sfrp5,SFRP5
Sgcb,SGCB
Sgcd,SGCD
Sgcg,SGCG
Sgpp2,SGPP2
Sh2d3c,SH2D3C
Sh3bp5,SH3BP5
Shc1,SHC1
Six1,SIX1
Six2,SIX2
Slc16a3,SLC16A3
Slc1a5,SLC1A5
Slc25a22,SLC25A22
Slc25a4,SLC25A4
Slc2a1,SLC2A1
Slc38a4,SLC38A4
Slc6a6,SLC6A6
Slc6a8,SLC6A8
Slc7a3,SLC7A3
Slc7a5,SLC7A5
Slit1,SLIT1
Slit2,SLIT2
Slit3,SLIT3
Slitrk2,SLITRK2
Smad7,SMAD7
Smarcd3,SMARCD3
Smc6,SMC6
Smoc1,SMOC1
Smpdl3b,SMPDL3B
Smtnl2,SMTNL2
Snai1,SNAI1
Snai2,SNAI2
Snrpn,SNRPN
Sntb1,SNTB1
Socs3,SOCS3
Sox10,SOX10
Sox2,SOX2
Sox3,SOX3
Sox4,SOX4
Sox5,SOX5
Sox6,SOX6
Sox9,SOX9
Sp5,SP5
Sparc,SPARC
Spata13,SPATA13
Spint2,SPINT2
Spock1,SPOCK1
Spock3,SPOCK3
Spp1,SPP1
Spred2,SPRED2
Spry1,SPRY1
Spry4,SPRY4
Sqle,SQLE
Srm,SRM
Ssbp3,SSBP3
St6galnac4,ST6GALNAC4
Stambpl1,STAMBPL1
Stmn1,STMN1
Stmn2,STMN2
Sub1,SUB1
Sulf2,SULF2
Syce2,SYCE2
Synpo,SYNPO
Syt11,SYT11
T,TBXT
