mmusculus,hsapiens
1700017B05Rik,C15orf39
A2m,A2M
Actn1,ACTN1
Adora2b,ADORA2B
Aimp2,AIMP2
Ak2,AK2
Alx1,ALX1
Alx3,ALX3
Alx4,ALX4
Amot,AMOT
Anxa7,ANXA7
Arg1,ARG1
Atad3a,ATAD3A
Atic,ATIC
Bgn,BGN
Bmpr1b,BMPR1B
Ccl6,CCL15
Ccnd3,CCND3
Cd248,CD248
Cd63,CD63
Cdc14b,CDC14B
Cdc42ep5,CDC42EP5
Cdh11,CDH11
Cdk6,CDK6
Cited1,CITED1
Clmp,CLMP
Cnn2,CNN2
Col23a1,COL23A1
Col26a1,COL26A1
Col3a1,COL3A1
Col4a1,COL4A1
Col9a1,COL9A1
Colec12,COLEC12
Cped1,CPED1
Crym,CRYM
Csn3,CSN3
Csrp2,CSRP2
Cyth3,CYTH3
Dact3,DACT3
Dchs1,DCHS1
Ddr2,DDR2
Ddx31,DDX31
Ddx56,DDX56
Desi1,DESI1
Dhrs3,DHRS3
Dixdc1,DIXDC1
Dlc1,DLC1
Dusp12,DUSP12
Dusp6,DUSP6
Dusp7,DUSP7
Ebf3,EBF3
Eef1d,EEF1D
Eef2k,EEF2K
Eif4ebp1,EIF4EBP1
Emg1,EMG1
Emilin1,EMILIN1
Eml3,EML3
Eva1b,EVA1B
Fam43a,FAM43A
Farp1,FARP1
Fbln5,FBLN5
Fhl3,FHL3
Fli1,FLI1
Flnc,FLNC
Flrt2,FLRT2
Foxc1,FOXC1
Fpgs,FPGS
Frmd6,FRMD6
Fstl1,FSTL1
Fzd2,FZD2
Gusb,GUSB
Hapln1,HAPLN1
Hdac7,HDAC7
Hmces,HMCES
Hopx,HOPX
Hspa9,HSPA9
Id1,ID1
Ifrd2,IFRD2
Igfbp4,IGFBP4
Il11ra1,IL11RA
Impdh1,IMPDH1
Itga8,ITGA8
Itga9,ITGA9
Itgb5,ITGB5
Itm2c,ITM2C
Kctd1,KCTD1
Lamp5,LAMP5
Lima1,LIMA1
Lin28b,LIN28B
Lrig3,LRIG3
Lrp1,LRP1
Lrrc58,LRRC58
Lum,LUM
Meis2,MEIS2
Mest,MEST
Mettl13,METTL13
Mfap2,MFAP2
Mfap4,MFAP4
Mmp2,MMP2
Mogat2,MOGAT2
Mrc2,MRC2
Mrpl12,MRPL12
Mrpl34,MRPL34
Mrps34,MRPS34
Mthfd1,MTHFD1
Mthfd2,MTHFD2
Myc,MYC
Myo1b,MYO1B
Ncl,NCL
Net1,NET1
Nhp2,NHP2
Nid1,NID1
Nkd2,NKD2
Nme1,NME1
Nol9,NOL9
Nolc1,NOLC1
Obsl1,OBSL1
Pacsin2,PACSIN2
Pcdh18,PCDH18
Pcolce,PCOLCE
Pde4a,PDE4A
Pdgfra,PDGFRA
Pdgfrb,PDGFRB
Pdlim4,PDLIM4
Peg3,PEG3
Pgm2,PGM2
Phlda1,PHLDA1
Plcb1,PLCB1
Plvap,PLVAP
Polr2e,POLR2E
Ppan,PPAN
Ppfibp2,PPFIBP2
Prdx6,PRDX6
Prex2,PREX2
Prickle1,PRICKLE1
Prrx1,PRRX1
Prrx2,PRRX2
Psmg1,PSMG1
Ptgis,PTGIS
Pus7,PUS7
Pwp2,PWP2
Rab3il1,RAB3IL1
Rai14,RAI14
Rarb,RARB
Rarg,RARG
Rbp1,RBP1
Reep5,REEP5
Rhod,RHOD
Rhoj,RHOJ
Rin2,RIN2
Rrp8,RRP8
Ruvbl1,RUVBL1
Ruvbl2,RUVBL2
S100a6,S100A6
S1pr2,S1PR2
S1pr3,S1PR3
Sdc1,SDC1
Sema5a,SEMA5A
Serpinf1,SERPINF1
Sertad4,SERTAD4
Sh2d3c,SH2D3C
Sh3bp5,SH3BP5
Shc1,SHC1
Six1,SIX1
Six2,SIX2
Slc1a5,SLC1A5
Slc25a22,SLC25A22
Slc25a4,SLC25A4
Slc38a4,SLC38A4
Slc7a5,SLC7A5
Smpdl3b,SMPDL3B
Snai1,SNAI1
Snai2,SNAI2
Spred2,SPRED2
Spry4,SPRY4
Srm,SRM
Ssbp3,SSBP3
St6galnac4,ST6GALNAC4
Stambpl1,STAMBPL1
Sulf2,SULF2
Taf4b,TAF4B
Tbx2,TBX2
Tbx3,TBX3
Tcf7l1,TCF7L1
Tmem119,TMEM119
Tmem200b,TMEM200B
Tnfaip6,TNFAIP6
Tns1,TNS1
Tpm4,TPM4
Traf3ip2,TRAF3IP2
Traf4,TRAF4
Tril,TRIL
Twist1,TWIST1
Ubl4b,UBL4B
Vasn,VASN
Vcam1,VCAM1
Vegfc,VEGFC
Wdr74,WDR74
Wdr75,WDR75
Wnt5a,WNT5A
Xpo5,XPO5
Znhit6,ZNHIT6
