mmusculus,hsapiens
Agtrap,AGTRAP
Aldh1a2,ALDH1A2
Alpl,ALPL
Amot,AMOT
Ap3s1,AP3S1
Apln,APLN
Aplnr,APLNR
Apoe,APOE
Arg1,ARG1
Arl4c,ARL4C
Arl4d,ARL4D
Asb4,ASB4
Axin2,AXIN2
Bambi,BAMBI
Bcat1,BCAT1
Bcat2,BCAT2
Bex1,BEX1
Bex1,BEX2
Bex4,BEX4
Bmp4,BMP4
Bst2,BST2
Cachd1,CACHD1
Cadm1,CADM1
Cald1,CALD1
Calm1,CALM1
Car14,CA14
Ccnd1,CCND1
Ccnd2,CCND2
Ccnjl,CCNJL
Cd24a,CD24
Cdh1,CDH1
Cdh2,CDH2
Cdkn1a,CDKN1A
Cdkn1c,CDKN1C
Cdx1,CDX1
Cdx2,CDX2
Cdx4,CDX4
Cfc1,CFC1
Cfc1,CFC1B
Chchd10,CHCHD10
Chd3,CHD3
Chst7,CHST7
Cited1,CITED1
Cited2,CITED2
Cldn6,CLDN6
Cldn7,CLDN7
Cmtm8,CMTM8
Cnn2,CNN2
Col18a1,COL18A1
Crabp1,CRABP1
Crabp2,CRABP2
Crb3,CRB3
Crip2,CRIP2
Cst3,CST3
Cxcl12,CXCL12
Cxxc5,CXXC5
Cyp26a1,CYP26A1
Ddit4,DDIT4
Dkk1,DKK1
Dlc1,DLC1
Dll1,DLL1
Dll3,DLL3
Dnmt3a,DNMT3A
Dnmt3b,DNMT3B
Dst,DST
Dusp4,DUSP4
Dusp6,DUSP6
Dusp9,DUSP9
Efna1,EFNA1
Efna3,EFNA3
Emb,EMB
Eomes,EOMES
Epb41l3,EPB41L3
Epcam,EPCAM
Epha1,EPHA1
Epha2,EPHA2
Epha4,EPHA4
Epha5,EPHA5
Eras,ERAS
Ets2,ETS2
Etv2,ETV2
Etv4,ETV4
Evx1,EVX1
Ezr,EZR
Fabp5,FABP5
Fbn2,FBN2
Fdft1,FDFT1
Fdps,FDPS
Fgf17,FGF17
Fgf3,FGF3
Fgf5,FGF5
Fgf8,FGF8
Fgfbp3,FGFBP3
Fn1,FN1
Foxc1,FOXC1
Foxc2,FOXC2
Foxf1,FOXF1
Foxp1,FOXP1
Frzb,FRZB
Fst,FST
Fzd10,FZD10
Fzd2,FZD2
Gas1,GAS1
Gata4,GATA4
Gata6,GATA6
Gbx2,GBX2
Gcat,GCAT
Gclm,GCLM
Gldc,GLDC
Gnai2,GNAI2
Gng3,GNG3
Gpc3,GPC3
Grb7,GRB7
Greb1,GREB1
Greb1l,GREB1L
Grsf1,GRSF1
Gsc,GSC
Hand1,HAND1
Hes1,HES1
Hes3,HES3
Hes7,HES7
Hmga2,HMGA2
Hmgcs1,HMGCS1
Hoxa9,HOXA9
Hoxb8,HOXB8
Hoxb9,HOXB9
Hoxc8,HOXC8
Hoxd9,HOXD9
Id1,ID1
Id2,ID2
Id3,ID3
Idi1,IDI1
Ifitm1,IFITM1
Ifitm1,IFITM2
Ifitm1,IFITM3
Ifitm2,IFITM1
Ifitm2,IFITM2
Ifitm2,IFITM3
Igdcc3,IGDCC3
Igf2,IGF2
Igfbp2,IGFBP2
Igfbp4,IGFBP4
Ina,INA
Irx5,IRX5
Jpt1,JPT1
Kcnk1,KCNK1
Kdr,KDR
Krt18,KRT18
Krt8,KRT8
L1td1,L1TD1
Lamc1,LAMC1
Laptm4b,LAPTM4B
Lef1,LEF1
Lefty2,LEFTY1
Lefty2,LEFTY2
Lfng,LFNG
Lhpp,LHPP
Lhx1,LHX1
Limch1,LIMCH1
Lin28a,LIN28A
Lix1,LIX1
Lmo1,LMO1
Lmo2,LMO2
Lrig3,LRIG3
Maged1,MAGED1
Maged2,MAGED2
Map1b,MAP1B
Meis2,MEIS2
Meox1,MEOX1
Mesp1,MESP1
Mesp2,MESP2
Mest,MEST
Mgst1,MGST1
Mixl1,MIXL1
Mkrn1,MKRN1
Mogat2,MOGAT2
Mpc2,MPC2
Mrps6,MRPS6
Msgn1,MSGN1
Msmo1,MSMO1
Msx1,MSX1
Msx2,MSX2
Myl12b,MYL12B
Myl7,MYL7
Nanog,NANOG
Nanog,NANOGP8
Nav2,NAV2
Ncam1,NCAM1
Nefl,NEFL
Nin,NIN
Nipsnap1,NIPSNAP1
Nkd1,NKD1
Nkx1-2,NKX1-2
Notch1,NOTCH1
Npm3,NPM3
Nrarp,NRARP
Nrp1,NRP1
Odc1,ODC1
Osr1,OSR1
Otx2,OTX2
Pabpc1,PABPC1
Pabpc1,PABPC3
Pbx1,PBX1
Pcdh19,PCDH19
Pcdh7,PCDH7
Pcdh8,PCDH8
Pcsk1n,PCSK1N
Pdgfra,PDGFRA
Pdlim4,PDLIM4
Pdzd4,PDZD4
Peg3,PEG3
Phc1,PHC1
Phgdh,PHGDH
Phlda1,PHLDA1
Phlda2,PHLDA2
Phldb2,PHLDB2
Pid1,PID1
Pim1,PIM1
Pim2,PIM2
Pitrm1,PITRM1
Plagl1,PLAGL1
Pmaip1,PMAIP1
Pmp22,PMP22
Polg,POLG
Pou3f1,POU3F1
Pou5f1,POU5F1
Pou5f1,POU5F1B
Ppfibp1,PPFIBP1
Ppib,PPIB
Ppic,PPIC
Prdm6,PRDM6
Prickle1,PRICKLE1
Prtg,PRTG
Psors1c2,PSORS1C2
Ptk7,PTK7
Ptn,PTN
Rab25,RAB25
Rasgrp2,RASGRP2
Rasgrp3,RASGRP3
Rbms1,RBMS1
Rbp1,RBP1
Rbpms2,RBPMS2
Rnf213,RNF213
Rrm2,RRM2
Rspo3,RSPO3
S100a10,S100A10
S100a11,S100A11
Sall3,SALL3
Sall4,SALL4
Sct,SCT
Sema3e,SEMA3E
Sema6a,SEMA6A
Serpinh1,SERPINH1
Sfrp2,SFRP2
Slc25a4,SLC25A4
Slc2a1,SLC2A1
Slc6a6,SLC6A6
Slc7a3,SLC7A3
Smad7,SMAD7
Smc6,SMC6
Smoc1,SMOC1
Snai1,SNAI1
Snrpn,SNRPN
Sox2,SOX2
Sox3,SOX3
Sox4,SOX4
Sp5,SP5
Sparc,SPARC
Spint2,SPINT2
Sqle,SQLE
Stmn2,STMN2
Syce2,SYCE2
Syt11,SYT11
T,TBXT
Tax1bp3,TAX1BP3
Tbx3,TBX3
Tbx6,TBX6
Tcea3,TCEA3
Tceal8,TCEAL8
Tcf15,TCF15
Tcf7l2,TCF7L2
Tenm4,TENM4
Tmem47,TMEM47
Tmem88,TMEM88
Tnfrsf19,TNFRSF19
Top2a,TOP2A
Tpd52,TPD52
Tpm1,TPM1
Trh,TRH
Tspan13,TSPAN13
Tuba1a,TUBA1A
Tubb2b,TUBB2B
Tubb4b,TUBB4B
Uap1l1,UAP1L1
Uchl1,UCHL1
Upp1,UPP1
Vim,VIM
Wfdc2,WFDC2
Wls,WLS
Wnt2,WNT2
Wnt3,WNT3
Wnt3a,WNT3A
Wnt5a,WNT5A
Wnt5b,WNT5B
Ypel3,YPEL3
Zfp36l2,ZFP36L2
Zfp503,ZNF503
Zic2,ZIC2
Zic3,ZIC3
Zic5,ZIC5
